Iowa, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,2.9,-10.1
189602,15.8,2.8
189702,15.1,2.1
189802,13,0.0
189902,.5,-12.5
190002,2.7,-10.3
190102,5.8,-7.2
190202,6,-7.0
190302,8.4,-4.6
190402,2.7,-10.3
190502,.7,-12.3
190602,11.1,-1.9
190702,13.7,0.7
190802,14.2,1.2
190902,14.8,1.8
191002,5.6,-7.4
191102,17,4.0
191202,7.6,-5.4
191302,7.3,-5.7
191402,5.1,-7.9
191502,20.7,7.7
191602,8.3,-4.7
191702,1.9,-11.1
191802,9.9,-3.1
191902,14.4,1.4
192002,14.6,1.6
192102,19.2,6.2
192202,10.9,-2.1
192302,7.4,-5.6
192402,14.8,1.8
192502,16.5,3.5
192602,21.3,8.3
192702,19.9,6.9
192802,17.8,4.8
192902,2.3,-10.7
193002,24,11.0
193102,23,10.0
193202,16.9,3.9
193302,9.2,-3.8
193402,12.5,-0.5
193502,20.2,7.2
193602,-5.7,-18.7
193702,8.6,-4.4
193802,18.7,5.7
193902,6.8,-6.2
194002,14.8,1.8
194102,11.4,-1.6
194202,14.3,1.3
194302,14.5,1.5
194402,14.3,1.3
194502,15,2.0
194602,15.9,2.9
194702,7.1,-5.9
194802,11.4,-1.6
194902,7.6,-5.4
195002,11,-2.0
195102,13.2,0.2
195202,22.1,9.1
195302,17.2,4.2
195402,24.8,11.8
195502,9.3,-3.7
195602,10.9,-2.1
195702,19,6.0
195802,5.3,-7.7
195902,9,-4.0
196002,10.5,-2.5
196102,17.5,4.5
196202,12.5,-0.5
196302,7.9,-5.1
196402,15.3,2.3
196502,7.8,-5.2
196602,11.6,-1.4
196702,8,-5.0
196802,10.7,-2.3
196902,15.9,2.9
197002,11.6,-1.4
197102,12.1,-0.9
197202,7.1,-5.9
197302,17.5,4.5
197402,15.6,2.6
197502,12.2,-0.8
197602,21.3,8.3
197702,14.5,1.5
197802,1.6,-11.4
197902,.6,-12.4
198002,10.3,-2.7
198102,16,3.0
198202,10.8,-2.2
198302,21.6,8.6
198402,22.8,9.8
198502,10.7,-2.3
198602,12.1,-0.9
198702,22.7,9.7
198802,8.3,-4.7
198902,3.9,-9.1
199002,17.2,4.2
199102,19.5,6.5
199202,24.7,11.7
199302,12,-1.0
199402,7.5,-5.5
199502,15.8,2.8
199602,13.7,0.7
199702,17.5,4.5
199802,28.5,15.5
199902,24.7,11.7
200002,23,10.0
200102,9.2,-3.8
200202,19.9,6.9
200302,9.6,-3.4
200402,14.5,1.5
200502,22.8,9.8
200602,14.1,1.1
200702,7.7,-5.3
200802,8.2,-4.8
200902,16.5,3.5
201002,8.5,-4.5
201102,14.1,1.1
201202,20.8,7.8
201302,15.8,2.8
201402,3.2,-9.8
201502,4.7,-8.3
