Michigan, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.6,-8.4
189602,10.6,0.6
189702,12.8,2.8
189802,10.8,0.8
189902,-.2,-10.2
190002,3,-7.0
190102,2.6,-7.4
190202,7.6,-2.4
190302,9.1,-0.9
190402,-5,-15.0
190502,1.6,-8.4
190602,7.7,-2.3
190702,5,-5.0
190802,7.8,-2.2
190902,13.2,3.2
191002,5.8,-4.2
191102,14.5,4.5
191202,2.7,-7.3
191302,4.6,-5.4
191402,-.5,-10.5
191502,16.5,6.5
191602,6.3,-3.7
191702,-.9,-10.9
191802,4.7,-5.3
191902,14.7,4.7
192002,5.3,-4.7
192102,15.4,5.4
192202,10,0.0
192302,2.9,-7.1
192402,8.6,-1.4
192502,12.9,2.9
192602,10.9,0.9
192702,15.2,5.2
192802,10,0.0
192902,3.3,-6.7
193002,15.4,5.4
193102,17.9,7.9
193202,15.8,5.8
193302,8.5,-1.5
193402,-1.1,-11.1
193502,10.2,0.2
193602,-2.8,-12.8
193702,12.9,2.9
193802,15.1,5.1
193902,8.1,-1.9
194002,12.6,2.6
194102,11.1,1.1
194202,9.8,-0.2
194302,10.7,0.7
194402,13.4,3.4
194502,11.6,1.6
194602,9.1,-0.9
194702,8.2,-1.8
194802,6.8,-3.2
194902,13.5,3.5
195002,10.7,0.7
195102,12,2.0
195202,14.5,4.5
195302,15.7,5.7
195402,19.6,9.6
195502,11.2,1.2
195602,10.9,0.9
195702,13.3,3.3
195802,7.5,-2.5
195902,5.6,-4.4
196002,12.8,2.8
196102,14.1,4.1
196202,6.3,-3.7
196302,1,-9.0
196402,12.2,2.2
196502,9,-1.0
196602,13.4,3.4
196702,4.6,-5.4
196802,6.8,-3.2
196902,12.4,2.4
197002,7.4,-2.6
197102,11.3,1.3
197202,7.6,-2.4
197302,10.7,0.7
197402,6.2,-3.8
197502,14.5,4.5
197602,16.5,6.5
197702,10.5,0.5
197802,1.6,-8.4
197902,.3,-9.7
198002,8.4,-1.6
198102,15.6,5.6
198202,7.8,-2.2
198302,19.2,9.2
198402,20.8,10.8
198502,9.2,-0.8
198602,11.5,1.5
198702,15.9,5.9
198802,7.4,-2.6
198902,7.3,-2.7
199002,13.9,3.9
199102,16.5,6.5
199202,17.5,7.5
199302,8.2,-1.8
199402,3.9,-6.1
199502,10.5,0.5
199602,9.5,-0.5
199702,15,5.0
199802,25,15.0
199902,18.6,8.6
200002,16.9,6.9
200102,14.1,4.1
200202,18.6,8.6
200302,6.8,-3.2
200402,12.9,2.9
200502,17.2,7.2
200602,14.4,4.4
200702,7.1,-2.9
200802,9.1,-0.9
200902,13.3,3.3
201002,15.8,5.8
201102,12.8,2.8
201202,20.7,10.7
201302,12.9,2.9
201402,3.3,-6.7
201502,-2.5,-12.5
201602,17.2,7.2
