Illinois, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,8.8,-8.0
189601,20.8,4.0
189701,15.7,-1.1
189801,22,5.2
189901,16.8,0.0
190001,21.4,4.6
190101,19.6,2.8
190201,16.6,-0.2
190301,17,0.2
190401,9.8,-7.0
190501,10.2,-6.6
190601,22.2,5.4
190701,21.3,4.5
190801,18.8,2.0
190901,19.3,2.5
191001,17.7,0.9
191101,19.7,2.9
191201,4.6,-12.2
191301,20.2,3.4
191401,25,8.2
191501,13.4,-3.4
191601,18.7,1.9
191701,16.4,-0.4
191801,1.7,-15.1
191901,20.6,3.8
192001,12.1,-4.7
192101,24.9,8.1
192201,14.1,-2.7
192301,24.7,7.9
192401,10.2,-6.6
192501,15.4,-1.4
192601,18.8,2.0
192701,16.4,-0.4
192801,18.8,2.0
192901,9.6,-7.2
193001,10,-6.8
193101,23.1,6.3
193201,26.8,10.0
193301,27.7,10.9
193401,23.9,7.1
193501,19.1,2.3
193601,10.6,-6.2
193701,17.3,0.5
193801,18.5,1.7
193901,24.8,8.0
194001,4.8,-12.0
194101,22.1,5.3
194201,17.1,0.3
194301,17,0.2
194401,21.6,4.8
194501,14.4,-2.4
194601,19.6,2.8
194701,21.9,5.1
194801,11.8,-5.0
194901,20.8,4.0
195001,22.2,5.4
195101,17.9,1.1
195201,20.4,3.6
195301,23.1,6.3
195401,18.8,2.0
195501,18.4,1.6
195601,16.9,0.1
195701,12.2,-4.6
195801,19,2.2
195901,11.6,-5.2
196001,21.5,4.7
196101,14.3,-2.5
196201,11.1,-5.7
196301,7.4,-9.4
196401,20.4,3.6
196501,17.2,0.4
196601,12.1,-4.7
196701,20.4,3.6
196801,15.4,-1.4
196901,15.1,-1.7
197001,8.8,-8.0
197101,12.4,-4.4
197201,14.4,-2.4
197301,20.8,4.0
197401,18.5,1.7
197501,21.4,4.6
197601,13.5,-3.3
197701,.9,-15.9
197801,7.4,-9.4
197901,4.4,-12.4
198001,19.1,2.3
198101,16,-0.8
198201,7.2,-9.6
198301,22.6,5.8
198401,13.8,-3.0
198501,9.3,-7.5
198601,18.2,1.4
198701,19.4,2.6
198801,14.5,-2.3
198901,26.3,9.5
199001,27.2,10.4
199101,16.3,-0.5
199201,23.9,7.1
199301,20.5,3.7
199401,12.3,-4.5
199501,18.9,2.1
199601,15.6,-1.2
199701,12.2,-4.6
199801,25.3,8.5
199901,16.8,0.0
200001,18.6,1.8
200101,18,1.2
200201,24.6,7.8
200301,14.3,-2.5
200401,16.6,-0.2
200501,21.8,5.0
200601,30.6,13.8
200701,22.7,5.9
200801,17.2,0.4
200901,11.9,-4.9
201001,14.8,-2.0
201101,15.2,-1.6
201201,22.7,5.9
201301,20,3.2
201401,9.2,-7.6
201501,17.6,0.8
201601,18.8,2.0
