Idaho, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,13.5,-3.8
189602,20.2,2.9
189702,17.4,0.1
189802,20,2.7
189902,12.2,-5.1
190002,16.7,-0.6
190102,15.6,-1.7
190202,22.3,5.0
190302,4.8,-12.5
190402,18,0.7
190502,11.9,-5.4
190602,19,1.7
190702,23.5,6.2
190802,17.9,0.6
190902,21.3,4.0
191002,11.3,-6.0
191102,11.1,-6.2
191202,20.6,3.3
191302,9.1,-8.2
191402,16.6,-0.7
191502,23,5.7
191602,18.5,1.2
191702,13.8,-3.5
191802,15,-2.3
191902,17.9,0.6
192002,17.6,0.3
192102,17.7,0.4
192202,10.4,-6.9
192302,8.7,-8.6
192402,23.9,6.6
192502,23.7,6.4
192602,23.7,6.4
192702,20.7,3.4
192802,14.8,-2.5
192902,6.5,-10.8
193002,24.2,6.9
193102,15.9,-1.4
193202,10.8,-6.5
193302,4.6,-12.7
193402,25.5,8.2
193502,16.2,-1.1
193602,9.9,-7.4
193702,11.7,-5.6
193802,20.4,3.1
193902,11,-6.3
194002,22.6,5.3
194102,20.1,2.8
194202,10.9,-6.4
194302,16.1,-1.2
194402,17.3,0.0
194502,21.4,4.1
194602,15.3,-2.0
194702,20.3,3.0
194802,16.7,-0.6
194902,11.7,-5.6
195002,17.2,-0.1
195102,18.6,1.3
195202,10.6,-6.7
195302,19.8,2.5
195402,21.8,4.5
195502,10.4,-6.9
195602,9.6,-7.7
195702,17.7,0.4
195802,24.7,7.4
195902,19.2,1.9
196002,13.1,-4.2
196102,25.5,8.2
196202,18.4,1.1
196302,25.8,8.5
196402,9.3,-8.0
196502,18.5,1.2
196602,15.7,-1.6
196702,19.7,2.4
196802,21.5,4.2
196902,16.1,-1.2
197002,22.1,4.8
197102,18.5,1.2
197202,18.8,1.5
197302,16.7,-0.6
197402,18.5,1.2
197502,15.9,-1.4
197602,16.2,-1.1
197702,17.1,-0.2
197802,22.3,5.0
197902,18.7,1.4
198002,23.1,5.8
198102,19.3,2.0
198202,13.4,-3.9
198302,22.3,5.0
198402,14.1,-3.2
198502,8,-9.3
198602,23.6,6.3
198702,20.7,3.4
198802,18.7,1.4
198902,9.3,-8.0
199002,14.8,-2.5
199102,24.3,7.0
199202,24.8,7.5
199302,13.1,-4.2
199402,15.8,-1.5
199502,23.5,6.2
199602,17.2,-0.1
199702,17.4,0.1
199802,20.8,3.5
199902,18.5,1.2
200002,23.7,6.4
200102,15.8,-1.5
200202,13,-4.3
200302,17.6,0.3
200402,17.5,0.2
200502,17,-0.3
200602,13.9,-3.4
200702,22.1,4.8
200802,18.5,1.2
200902,17.6,0.3
201002,19.9,2.6
201102,15,-2.3
201202,18.8,1.5
201302,18.4,1.1
201402,19.8,2.5
201502,25.5,8.2
201602,22.6,5.3
