Nebraska, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,53.1,-2.2
189606,54.7,-0.6
189706,54.5,-0.8
189806,56.7,1.4
189906,54.8,-0.5
190006,56.4,1.1
190106,56,0.7
190206,52.7,-2.6
190306,51.2,-4.1
190406,53.4,-1.9
190506,55.9,0.6
190606,51.4,-3.9
190706,53.2,-2.1
190806,53.7,-1.6
190906,56,0.7
191006,54.8,-0.5
191106,58.2,2.9
191206,51.3,-4.0
191306,56.8,1.5
191406,58.1,2.8
191506,51.9,-3.4
191606,51,-4.3
191706,51.8,-3.5
191806,57.9,2.6
191906,56.8,1.5
192006,55.5,0.2
192106,58.7,3.4
192206,56.6,1.3
192306,57.2,1.9
192406,53.2,-2.1
192506,56.3,1.0
192606,52.8,-2.5
192706,53.8,-1.5
192806,50.3,-5.0
192906,53.1,-2.2
193006,53.3,-2.0
193106,60.5,5.2
193206,56.1,0.8
193306,60.9,5.6
193406,58.7,3.4
193506,53.3,-2.0
193606,57.1,1.8
193706,54.8,-0.5
193806,56.4,1.1
193906,55.3,0.0
194006,55.7,0.4
194106,56,0.7
194206,55.9,0.6
194306,55.6,0.3
194406,55.8,0.5
194506,50.4,-4.9
194606,55.4,0.1
194706,52.6,-2.7
194806,54.7,-0.6
194906,56.9,1.6
195006,53.5,-1.8
195106,50.6,-4.7
195206,59.7,4.4
195306,58.7,3.4
195406,56.9,1.6
195506,53.4,-1.9
195606,59.2,3.9
195706,53.9,-1.4
195806,54.1,-1.2
195906,58.1,2.8
196006,54.7,-0.6
196106,55.3,0.0
196206,55.6,0.3
196306,59.1,3.8
196406,54.4,-0.9
196506,56.5,1.2
196606,55.5,0.2
196706,54.1,-1.2
196806,55.8,0.5
196906,50.6,-4.7
197006,55.4,0.1
197106,58.5,3.2
197206,56,0.7
197306,54.8,-0.5
197406,53.3,-2.0
197506,54.1,-1.2
197606,53.8,-1.5
197706,58.9,3.6
197806,55.8,0.5
197906,54.6,-0.7
198006,57.4,2.1
198106,56.2,0.9
198206,51.7,-3.6
198306,54.9,-0.4
198406,56.2,0.9
198506,51.9,-3.4
198606,58.8,3.5
198706,57.1,1.8
198806,60.3,5.0
198906,52.5,-2.8
199006,57.5,2.2
199106,60,4.7
199206,53.6,-1.7
199306,53.3,-2.0
199406,58.2,2.9
199506,54.6,-0.7
199606,57.1,1.8
199706,56.6,1.3
199806,52.5,-2.8
199906,55.6,0.3
200006,53.1,-2.2
200106,55.1,-0.2
200206,59.9,4.6
200306,54,-1.3
200406,52.7,-2.6
200506,58.4,3.1
200606,57.7,2.4
200706,56.7,1.4
200806,54.4,-0.9
200906,55.3,0.0
201006,57.5,2.2
201106,55.7,0.4
201206,58.9,3.6
201306,55.6,0.3
201406,55.8,0.5
201506,58.2,2.9
