Oklahoma, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,35.9,-1.0
189603,32.3,-4.6
189703,38.3,1.4
189803,36.3,-0.6
189903,32,-4.9
190003,36.2,-0.7
190103,34.1,-2.8
190203,38.1,1.2
190303,37.2,0.3
190403,39.3,2.4
190503,43.7,6.8
190603,30.2,-6.7
190703,45.8,8.9
190803,41.4,4.5
190903,35.7,-1.2
191003,44,7.1
191103,40.2,3.3
191203,31.3,-5.6
191303,32.3,-4.6
191403,34.9,-2.0
191503,29.7,-7.2
191603,38.7,1.8
191703,35.9,-1.0
191803,40.3,3.4
191903,38.3,1.4
192003,36.8,-0.1
192103,43.7,6.8
192203,36.8,-0.1
192303,33.2,-3.7
192403,31.7,-5.2
192503,40.1,3.2
192603,35.7,-1.2
192703,37.4,0.5
192803,39.2,2.3
192903,39.5,2.6
193003,33.9,-3.0
193103,33.1,-3.8
193203,31.3,-5.6
193303,38.8,1.9
193403,33.8,-3.1
193503,44.5,7.6
193603,40.3,3.4
193703,34.2,-2.7
193803,44.4,7.5
193903,39,2.1
194003,37,0.1
194103,33.9,-3.0
194203,35.9,-1.0
194303,31.8,-5.1
194403,34.8,-2.1
194503,41.4,4.5
194603,43.5,6.6
194703,32,-4.9
194803,32.9,-4.0
194903,36.7,-0.2
195003,33.6,-3.3
195103,33.8,-3.1
195203,34.4,-2.5
195303,41.6,4.7
195403,34.3,-2.6
195503,36,-0.9
195603,36.4,-0.5
195703,36.8,-0.1
195803,32.3,-4.6
195903,35.4,-1.5
196003,29,-7.9
196103,38.9,2.0
196203,33.5,-3.4
196303,39,2.1
196403,32.8,-4.1
196503,28.3,-8.6
196603,38.3,1.4
196703,41.2,4.3
196803,38,1.1
196903,30.2,-6.7
197003,33.8,-3.1
197103,34.2,-2.7
197203,39.1,2.2
197303,42.2,5.3
197403,41.6,4.7
197503,34.4,-2.5
197603,38.2,1.3
197703,38.7,1.8
197803,34.1,-2.8
197903,38.5,1.6
198003,33.4,-3.5
198103,38.6,1.7
198203,39,2.1
198303,37,0.1
198403,34.9,-2.0
198503,42.1,5.2
198603,40.9,4.0
198703,36.8,-0.1
198803,35.4,-1.5
198903,36.4,-0.5
199003,40.5,3.6
199103,39.5,2.6
199203,40,3.1
199303,36.4,-0.5
199403,38.1,1.2
199503,39.3,2.4
199603,31.4,-5.5
199703,38,1.1
199803,36.3,-0.6
199903,37.7,0.8
200003,41.7,4.8
200103,36.6,-0.3
200203,33.2,-3.7
200303,37,0.1
200403,43.7,6.8
200503,38.1,1.2
200603,41,4.1
200703,46.9,10.0
200803,37.5,0.6
200903,39.8,2.9
201003,37.2,0.3
201103,40.2,3.3
201203,47.8,10.9
201303,35.2,-1.7
201403,32.3,-4.6
201503,39.1,2.2
201603,41.5,4.6
