Utah, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,54.7,-0.4
189608,55.4,0.3
189708,54.9,-0.2
189808,56.7,1.6
189908,50.7,-4.4
190008,51.4,-3.7
190108,57.3,2.2
190208,53.1,-2.0
190308,54.3,-0.8
190408,54.7,-0.4
190508,54.8,-0.3
190608,54.7,-0.4
190708,52.8,-2.3
190808,53.4,-1.7
190908,56.8,1.7
191008,54.3,-0.8
191108,53.2,-1.9
191208,52.5,-2.6
191308,55.1,0.0
191408,54.2,-0.9
191508,53.3,-1.8
191608,52.4,-2.7
191708,53,-2.1
191808,52.6,-2.5
191908,55.3,0.2
192008,53.5,-1.6
192108,54.9,-0.2
192208,57,1.9
192308,53.2,-1.9
192408,52.7,-2.4
192508,54.5,-0.6
192608,55.2,0.1
192708,53.8,-1.3
192808,52.6,-2.5
192908,57.3,2.2
193008,56.3,1.2
193108,56.5,1.4
193208,54.6,-0.5
193308,54,-1.1
193408,58,2.9
193508,56.5,1.4
193608,56.8,1.7
193708,56.3,1.2
193808,56.3,1.2
193908,55.5,0.4
194008,56,0.9
194108,54.8,-0.3
194208,54.2,-0.9
194308,56.4,1.3
194408,52.9,-2.2
194508,56.4,1.3
194608,56.5,1.4
194708,55.7,0.6
194808,53.9,-1.2
194908,53.2,-1.9
195008,51.7,-3.4
195108,55,-0.1
195208,56.6,1.5
195308,54.2,-0.9
195408,53.2,-1.9
195508,57.8,2.7
195608,51.9,-3.2
195708,56.5,1.4
195808,57.5,2.4
195908,55.2,0.1
196008,53.2,-1.9
196108,57.8,2.7
196208,53.2,-1.9
196308,57.6,2.5
196408,54.2,-0.9
196508,53.8,-1.3
196608,55,-0.1
196708,56.5,1.4
196808,51.9,-3.2
196908,58.2,3.1
197008,57.8,2.7
197108,57.7,2.6
197208,54.4,-0.7
197308,55.3,0.2
197408,52.2,-2.9
197508,51.9,-3.2
197608,52.2,-2.9
197708,56.4,1.3
197808,52.9,-2.2
197908,54.1,-1.0
198008,53.6,-1.5
198108,56,0.9
198208,57.6,2.5
198308,57.8,2.7
198408,56.9,1.8
198508,54.1,-1.0
198608,57.5,2.4
198708,54.1,-1.0
198808,55.3,0.2
198908,54.4,-0.7
199008,55.2,0.1
199108,56.8,1.7
199208,56,0.9
199308,53.5,-1.6
199408,58.6,3.5
199508,57,1.9
199608,56.1,1.0
199708,56.8,1.7
199808,57.1,2.0
199908,55.5,0.4
200008,58.9,3.8
200108,57.6,2.5
200208,55,-0.1
200308,58.5,3.4
200408,54.2,-0.9
200508,54.8,-0.3
200608,55.2,0.1
200708,58.5,3.4
200808,56.7,1.6
200908,54,-1.1
201008,54.9,-0.2
201108,57.4,2.3
201208,58.6,3.5
201308,57.3,2.2
201408,54.7,-0.4
201508,56.8,1.7
