Washington, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,48.4,-1.4
189608,50.2,0.4
189708,50.6,0.8
189808,52.9,3.1
189908,47.6,-2.2
190008,48,-1.8
190108,50,0.2
190208,47.4,-2.4
190308,49.8,0.0
190408,49.1,-0.7
190508,48.9,-0.9
190608,49.1,-0.7
190708,47.5,-2.3
190808,48.6,-1.2
190908,45.7,-4.1
191008,45.9,-3.9
191108,47.4,-2.4
191208,48.6,-1.2
191308,50.2,0.4
191408,48.4,-1.4
191508,51.9,2.1
191608,48.8,-1.0
191708,49.1,-0.7
191808,48.8,-1.0
191908,48.9,-0.9
192008,49.9,0.1
192108,49.2,-0.6
192208,50.4,0.6
192308,50.6,0.8
192408,49.1,-0.7
192508,48.7,-1.1
192608,49.6,-0.2
192708,50.3,0.5
192808,47.7,-2.1
192908,49.6,-0.2
193008,50.3,0.5
193108,48,-1.8
193208,49.6,-0.2
193308,50,0.2
193408,50.1,0.3
193508,47.6,-2.2
193608,49.5,-0.3
193708,47.6,-2.2
193808,46.9,-2.9
193908,49.6,-0.2
194008,49.4,-0.4
194108,51.2,1.4
194208,51.8,2.0
194308,48.3,-1.5
194408,49.2,-0.6
194508,49.6,-0.2
194608,49.6,-0.2
194708,48.2,-1.6
194808,49.8,0.0
194908,49.1,-0.7
195008,50.1,0.3
195108,48.7,-1.1
195208,49.7,-0.1
195308,50.2,0.4
195408,48.6,-1.2
195508,47.3,-2.5
195608,49.9,0.1
195708,47.6,-2.2
195808,52.4,2.6
195908,47.9,-1.9
196008,49.4,-0.4
196108,53.1,3.3
196208,49.5,-0.3
196308,50.8,1.0
196408,48,-1.8
196508,52.3,2.5
196608,49.7,-0.1
196708,52.1,2.3
196808,49.8,0.0
196908,47.4,-2.4
197008,49.1,-0.7
197108,52.4,2.6
197208,51.3,1.5
197308,48.7,-1.1
197408,50.6,0.8
197508,49.1,-0.7
197608,50.3,0.5
197708,53.8,4.0
197808,50.9,1.1
197908,51.7,1.9
198008,47.9,-1.9
198108,52.3,2.5
198208,50.7,0.9
198308,52.3,2.5
198408,50.1,0.3
198508,48.8,-1.0
198608,53.4,3.6
198708,49.9,0.1
198808,49.7,-0.1
198908,50.5,0.7
199008,53.3,3.5
199108,53.1,3.3
199208,51.3,1.5
199308,50.2,0.4
199408,51.3,1.5
199508,47.7,-2.1
199608,50.7,0.9
199708,53.4,3.6
199808,52.5,2.7
199908,53.3,3.5
200008,49.5,-0.3
200108,52.6,2.8
200208,49.7,-0.1
200308,51.6,1.8
200408,54.8,5.0
200508,51.2,1.4
200608,49.8,0.0
200708,50.3,0.5
200808,51.3,1.5
200908,52.5,2.7
201008,50.6,0.8
201108,51.1,1.3
201208,51.9,2.1
201308,53.7,3.9
201408,54.6,4.8
201508,53.4,3.6
