Montana, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,9.8,-1.6
189612,21,9.6
189712,11.1,-0.3
189812,9.3,-2.1
189912,11.9,0.5
190012,19.1,7.7
190112,14.8,3.4
190212,7,-4.4
190312,16.8,5.4
190412,14.5,3.1
190512,14,2.6
190612,11.8,0.4
190712,14.6,3.2
190812,13.1,1.7
190912,3.6,-7.8
191012,13.9,2.5
191112,11.1,-0.3
191212,16.2,4.8
191312,12.2,0.8
191412,3.8,-7.6
191512,13.5,2.1
191612,.9,-10.5
191712,7.2,-4.2
191812,16.8,5.4
191912,5.1,-6.3
192012,13.8,2.4
192112,10.6,-0.8
192212,4.5,-6.9
192312,12.9,1.5
192412,.8,-10.6
192512,18.7,7.3
192612,9.4,-2.0
192712,-3.3,-14.7
192812,11.8,0.4
192912,10.7,-0.7
193012,16.5,5.1
193112,13.2,1.8
193212,6.2,-5.2
193312,11.5,0.1
193412,13,1.6
193512,14.8,3.4
193612,11.7,0.3
193712,11.5,0.1
193812,15.2,3.8
193912,20.1,8.7
194012,16.6,5.2
194112,15,3.6
194212,13.2,1.8
194312,14.6,3.2
194412,9.8,-1.6
194512,8.8,-2.6
194612,12.5,1.1
194712,15.4,4.0
194812,2.8,-8.6
194912,5.4,-6.0
195012,15.8,4.4
195112,2.8,-8.6
195212,14.8,3.4
195312,18.1,6.7
195412,15.8,4.4
195512,6.6,-4.8
195612,15,3.6
195712,20.4,9.0
195812,14.1,2.7
195912,18.6,7.2
196012,12.7,1.3
196112,7.4,-4.0
196212,17.6,6.2
196312,9.2,-2.2
196412,2.8,-8.6
196512,14.6,3.2
196612,14.1,2.7
196712,8.1,-3.3
196812,4.9,-6.5
196912,15.3,3.9
197012,8.4,-3.0
197112,4.3,-7.1
197212,4.8,-6.6
197312,15.9,4.5
197412,16.2,4.8
197512,14.9,3.5
197612,15.2,3.8
197712,8.3,-3.1
197812,3.4,-8.0
197912,16.8,5.4
198012,14.5,3.1
198112,13.2,1.8
198212,13.4,2.0
198312,-6.1,-17.5
198412,2.4,-9.0
198512,9.4,-2.0
198612,15.5,4.1
198712,14.3,2.9
198812,13.6,2.2
198912,10.9,-0.5
199012,2.1,-9.3
199112,17,5.6
199212,5.6,-5.8
199312,17.8,6.4
199412,14.6,3.2
199512,11.1,-0.3
199612,6.3,-5.1
199712,16.4,5.0
199812,12.1,0.7
199912,20.2,8.8
200012,5.9,-5.5
200112,12.6,1.2
200212,17.2,5.8
200312,15.9,4.5
200412,17.6,6.2
200512,12,0.6
200612,15.3,3.9
200712,12,0.6
200812,4.1,-7.3
200912,2.6,-8.8
201012,10.2,-1.2
201112,16.4,5.0
201212,12.8,1.4
201312,6.6,-4.8
201412,16.5,5.1
201512,15.1,3.7
