Utah, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,32.4,-0.3
189604,30.4,-2.3
189704,33,0.3
189804,34.5,1.8
189904,32.2,-0.5
190004,32.2,-0.5
190104,30.8,-1.9
190204,33.1,0.4
190304,31.3,-1.4
190404,33.1,0.4
190504,34,1.3
190604,34.2,1.5
190704,35.3,2.6
190804,33.1,0.4
190904,30.2,-2.5
191004,34.6,1.9
191104,31,-1.7
191204,29.9,-2.8
191304,31.9,-0.8
191404,35.9,3.2
191504,37.3,4.6
191604,33.8,1.1
191704,29.6,-3.1
191804,30.4,-2.3
191904,33.9,1.2
192004,28.7,-4.0
192104,30.1,-2.6
192204,28.3,-4.4
192304,32.1,-0.6
192404,30.9,-1.8
192504,33.9,1.2
192604,37,4.3
192704,32.1,-0.6
192804,30.8,-1.9
192904,30.6,-2.1
193004,37.5,4.8
193104,33.2,0.5
193204,32.9,0.2
193304,29,-3.7
193404,36.3,3.6
193504,33.9,1.2
193604,34.7,2.0
193704,30.8,-1.9
193804,33.7,1.0
193904,35.4,2.7
194004,34.9,2.2
194104,31.5,-1.2
194204,34.1,1.4
194304,37.4,4.7
194404,31.2,-1.5
194504,28.8,-3.9
194604,37.1,4.4
194704,32.8,0.1
194804,33,0.3
194904,35,2.3
195004,31.8,-0.9
195104,33.6,0.9
195204,34.3,1.6
195304,30.5,-2.2
195404,35.2,2.5
195504,29.4,-3.3
195604,33.1,0.4
195704,33,0.3
195804,30.7,-2.0
195904,33.2,0.5
196004,33,0.3
196104,32.1,-0.6
196204,35.1,2.4
196304,30.5,-2.2
196404,32,-0.7
196504,34.2,1.5
196604,31,-1.7
196704,29.7,-3.0
196804,29.8,-2.9
196904,33.1,0.4
197004,27.4,-5.3
197104,31.9,-0.8
197204,32.6,-0.1
197304,30.5,-2.2
197404,30.6,-2.1
197504,27.9,-4.8
197604,31.9,-0.8
197704,33.6,0.9
197804,34.5,1.8
197904,32.4,-0.3
198004,32.7,0.0
198104,36.3,3.6
198204,29.7,-3.0
198304,29.6,-3.1
198404,30.1,-2.6
198504,35.6,2.9
198604,34.1,1.4
198704,35.5,2.8
198804,34.3,1.6
198904,37.7,5.0
199004,37.3,4.6
199104,30.7,-2.0
199204,38.9,6.2
199304,32.7,0.0
199404,35.2,2.5
199504,31.9,-0.8
199604,32.5,-0.2
199704,30.6,-2.1
199804,31.4,-1.3
199904,30.1,-2.6
200004,36.8,4.1
200104,34.7,2.0
200204,35.7,3.0
200304,33.1,0.4
200404,35.7,3.0
200504,32.9,0.2
200604,34.9,2.2
200704,35,2.3
200804,28.7,-4.0
200904,32.2,-0.5
201004,31.7,-1.0
201104,31,-1.7
201204,35.6,2.9
201304,32,-0.7
201404,33.7,1.0
201504,33.6,0.9
