New Hampshire, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,42.5,2.5
189605,42.6,2.6
189705,41.9,1.9
189805,41.1,1.1
189905,39.2,-0.8
190005,35.4,-4.6
190105,41.7,1.7
190205,39.1,-0.9
190305,39.3,-0.7
190405,44,4.0
190505,39.5,-0.5
190605,38.8,-1.2
190705,35.9,-4.1
190805,43.2,3.2
190905,39.5,-0.5
191005,40.4,0.4
191105,44.2,4.2
191205,41.3,1.3
191305,37.9,-2.1
191405,39.9,-0.1
191505,36.9,-3.1
191605,40.5,0.5
191705,34.7,-5.3
191805,44.2,4.2
191905,40.9,0.9
192005,37.2,-2.8
192105,39.8,-0.2
192205,40.7,0.7
192305,37.3,-2.7
192405,38.3,-1.7
192505,37.1,-2.9
192605,36.6,-3.4
192705,38.2,-1.8
192805,38.9,-1.1
192905,39.8,-0.2
193005,41.8,1.8
193105,41,1.0
193205,39.2,-0.8
193305,40.7,0.7
193405,40.7,0.7
193505,36.3,-3.7
193605,42.2,2.2
193705,40.6,0.6
193805,38.8,-1.2
193905,38.8,-1.2
194005,40.9,0.9
194105,39.4,-0.6
194205,44.6,4.6
194305,40.1,0.1
194405,42.1,2.1
194505,39.2,-0.8
194605,39,-1.0
194705,40,0.0
194805,40.7,0.7
194905,39.8,-0.2
195005,39.7,-0.3
195105,39.2,-0.8
195205,38,-2.0
195305,42.4,2.4
195405,40.4,0.4
195505,42.3,2.3
195605,34.5,-5.5
195705,39.9,-0.1
195805,37.7,-2.3
195905,42.1,2.1
196005,44.1,4.1
196105,38.7,-1.3
196205,39.1,-0.9
196305,38.2,-1.8
196405,41.3,1.3
196505,40.4,0.4
196605,36.6,-3.4
196705,34.3,-5.7
196805,37.6,-2.4
196905,38.1,-1.9
197005,42.2,2.2
197105,39.6,-0.4
197205,40.6,0.6
197305,40.5,0.5
197405,38.2,-1.8
197505,44,4.0
197605,39.4,-0.6
197705,41.1,1.1
197805,42.3,2.3
197905,44.1,4.1
198005,39.9,-0.1
198105,41.7,1.7
198205,41.1,1.1
198305,40.8,0.8
198405,39.3,-0.7
198505,40.3,0.3
198605,42.9,2.9
198705,40.4,0.4
198805,42.9,2.9
198905,43.4,3.4
199005,38.5,-1.5
199105,43.2,3.2
199205,38.1,-1.9
199305,41,1.0
199405,38.9,-1.1
199505,39.7,-0.3
199605,38.8,-1.2
199705,37.8,-2.2
199805,44.7,4.7
199905,42,2.0
200005,41,1.0
200105,41.2,1.2
200205,38.5,-1.5
200305,41.2,1.2
200405,43.1,3.1
200505,38.4,-1.6
200605,43.7,3.7
200705,40.7,0.7
200805,38.1,-1.9
200905,41.2,1.2
201005,43,3.0
201105,45.4,5.4
201205,46,6.0
201305,41.4,1.4
201405,42.5,2.5
201505,44.2,4.2
