Colorado, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,17.4,-3.1
189603,18.4,-2.1
189703,17.5,-3.0
189803,16.4,-4.1
189903,18.7,-1.8
190003,21.9,1.4
190103,17.9,-2.6
190203,18.6,-1.9
190303,18.8,-1.7
190403,22.3,1.8
190503,26.6,6.1
190603,17.3,-3.2
190703,26.3,5.8
190803,22.6,2.1
190903,19.7,-0.8
191003,26.2,5.7
191103,24.8,4.3
191203,17.3,-3.2
191303,17.7,-2.8
191403,19.8,-0.7
191503,18,-2.5
191603,23.8,3.3
191703,13.9,-6.6
191803,24.8,4.3
191903,20.3,-0.2
192003,18,-2.5
192103,24,3.5
192203,17.9,-2.6
192303,14.6,-5.9
192403,14.4,-6.1
192503,22.7,2.2
192603,19.9,-0.6
192703,19.3,-1.2
192803,22.9,2.4
192903,19.9,-0.6
193003,17.7,-2.8
193103,17.5,-3.0
193203,16.2,-4.3
193303,21.8,1.3
193403,24.2,3.7
193503,21.5,1.0
193603,20.9,0.4
193703,19.2,-1.3
193803,23.9,3.4
193903,20.6,0.1
194003,23.1,2.6
194103,21.4,0.9
194203,16.7,-3.8
194303,17.5,-3.0
194403,17.8,-2.7
194503,20.4,-0.1
194603,23.3,2.8
194703,19.6,-0.9
194803,13.9,-6.6
194903,22.1,1.6
195003,19.3,-1.2
195103,18.1,-2.4
195203,16.1,-4.4
195303,22.7,2.2
195403,18.9,-1.6
195503,17.2,-3.3
195603,18.9,-1.6
195703,21.7,1.2
195803,18.2,-2.3
195903,19.3,-1.2
196003,20.6,0.1
196103,22.5,2.0
196203,16,-4.5
196303,20.3,-0.2
196403,14.5,-6.0
196503,13.1,-7.4
196603,20.9,0.4
196703,24.5,4.0
196803,20.5,0.0
196903,14.4,-6.1
197003,17.9,-2.6
197103,18.9,-1.6
197203,24.6,4.1
197303,21.8,1.3
197403,24.7,4.2
197503,19.9,-0.6
197603,18.1,-2.4
197703,18.3,-2.2
197803,24.4,3.9
197903,22.3,1.8
198003,19.1,-1.4
198103,23,2.5
198203,22.9,2.4
198303,23.5,3.0
198403,19.7,-0.8
198503,22.9,2.4
198603,26.6,6.1
198703,19.5,-1.0
198803,18.9,-1.6
198903,24.4,3.9
199003,24.7,4.2
199103,22.3,1.8
199203,25.5,5.0
199303,23.5,3.0
199403,23.8,3.3
199503,23.3,2.8
199603,19.6,-0.9
199703,22.7,2.2
199803,20.6,0.1
199903,24.8,4.3
200003,24.2,3.7
200103,24.2,3.7
200203,17,-3.5
200303,23.9,3.4
200403,27,6.5
200503,22,1.5
200603,21.7,1.2
200703,26.8,6.3
200803,20.1,-0.4
200903,22.7,2.2
201003,22.1,1.6
201103,24.1,3.6
201203,26.6,6.1
201303,21,0.5
201403,22.1,1.6
201503,26.3,5.8
201603,23.9,3.4
