Alabama, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,42.4,-0.5
189603,41.2,-1.7
189703,50.4,7.5
189803,48.5,5.6
189903,43.5,0.6
190003,41.3,-1.6
190103,41.1,-1.8
190203,44,1.1
190303,50.5,7.6
190403,45.8,2.9
190503,46.7,3.8
190603,39.9,-3.0
190703,51.2,8.3
190803,49.8,6.9
190903,44,1.1
191003,45.9,3.0
191103,44.2,1.3
191203,41.1,-1.8
191303,43.5,0.6
191403,37.8,-5.1
191503,34.5,-8.4
191603,40.6,-2.3
191703,44.2,1.3
191803,49,6.1
191903,43.2,0.3
192003,40.5,-2.4
192103,51,8.1
192203,44.3,1.4
192303,41.7,-1.2
192403,39,-3.9
192503,43.5,0.6
192603,38.1,-4.8
192703,44.5,1.6
192803,43.4,0.5
192903,46.9,4.0
193003,40.4,-2.5
193103,37.5,-5.4
193203,38.4,-4.5
193303,42.4,-0.5
193403,40.2,-2.7
193503,48.6,5.7
193603,45.2,2.3
193703,39.5,-3.4
193803,50.1,7.2
193903,45.2,2.3
194003,41.6,-1.3
194103,37.4,-5.5
194203,42,-0.9
194303,41,-1.9
194403,44,1.1
194503,51.3,8.4
194603,48,5.1
194703,36.6,-6.3
194803,47.1,4.2
194903,41.7,-1.2
195003,40.2,-2.7
195103,45,2.1
195203,40.8,-2.1
195303,46.2,3.3
195403,41.9,-1.0
195503,45.6,2.7
195603,41.6,-1.3
195703,41.7,-1.2
195803,40.6,-2.3
195903,39.5,-3.4
196003,34.3,-8.6
196103,45.6,2.7
196203,39.5,-3.4
196303,44.7,1.8
196403,41.4,-1.5
196503,40.6,-2.3
196603,40.6,-2.3
196703,44.8,1.9
196803,38,-4.9
196903,35.3,-7.6
197003,41.2,-1.7
197103,37.4,-5.5
197203,42.1,-0.8
197303,49.3,6.4
197403,47.4,4.5
197503,41.4,-1.5
197603,46.6,3.7
197703,45.7,2.8
197803,38.8,-4.1
197903,42.6,-0.3
198003,41.1,-1.8
198103,38.5,-4.4
198203,47,4.1
198303,40.8,-2.1
198403,40.7,-2.2
198503,46.4,3.5
198603,41.3,-1.6
198703,43.6,0.7
198803,41.2,-1.7
198903,46,3.1
199003,45.9,3.0
199103,44.6,1.7
199203,42,-0.9
199303,40.4,-2.5
199403,42.3,-0.6
199503,46.9,4.0
199603,39,-3.9
199703,48.4,5.5
199803,42.2,-0.7
199903,39.5,-3.4
200003,45.6,2.7
200103,41.1,-1.8
200203,41.6,-1.3
200303,46.9,4.0
200403,45.5,2.6
200503,41.7,-1.2
200603,43.1,0.2
200703,45.4,2.5
200803,41.3,-1.6
200903,45.6,2.7
201003,39.7,-3.2
201103,45.6,2.7
201203,52.8,9.9
201303,37.2,-5.7
201403,39.6,-3.3
201503,46.9,4.0
201603,47.9,5.0
