North Dakota, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,40.2,-0.4
189605,44.5,3.9
189705,40.6,0.0
189805,38.8,-1.8
189905,39.5,-1.1
190005,43.2,2.6
190105,44.8,4.2
190205,43.9,3.3
190305,39.4,-1.2
190405,40.7,0.1
190505,37.5,-3.1
190605,40.3,-0.3
190705,31.2,-9.4
190805,38.6,-2.0
190905,39.3,-1.3
191005,36.1,-4.5
191105,40.9,0.3
191205,42.6,2.0
191305,39,-1.6
191405,41.6,1.0
191505,39,-1.6
191605,38.3,-2.3
191705,35.6,-5.0
191805,38.2,-2.4
191905,42.6,2.0
192005,40.7,0.1
192105,41.5,0.9
192205,44.9,4.3
192305,40.3,-0.3
192405,33.7,-6.9
192505,38.3,-2.3
192605,43.8,3.2
192705,38.8,-1.8
192805,42.9,2.3
192905,35.2,-5.4
193005,38.4,-2.2
193105,38.1,-2.5
193205,42.5,1.9
193305,42.4,1.8
193405,46.6,6.0
193505,39,-1.6
193605,45.1,4.5
193705,43.7,3.1
193805,40.7,0.1
193905,45.6,5.0
194005,40.7,0.1
194105,45.9,5.3
194205,38.5,-2.1
194305,37.4,-3.2
194405,45.1,4.5
194505,34.6,-6.0
194605,37.6,-3.0
194705,36.1,-4.5
194805,41.5,0.9
194905,42.4,1.8
195005,38.5,-2.1
195105,41.8,1.2
195205,40.7,0.1
195305,40.2,-0.4
195405,36.5,-4.1
195505,44.1,3.5
195605,40.7,0.1
195705,40.7,0.1
195805,41.3,0.7
195905,38.4,-2.2
196005,40.3,-0.3
196105,38.1,-2.5
196205,42.4,1.8
196305,39.5,-1.1
196405,43,2.4
196505,40.3,-0.3
196605,37.8,-2.8
196705,35.9,-4.7
196805,37,-3.6
196905,40.6,0.0
197005,40,-0.6
197105,38.8,-1.8
197205,44.6,4.0
197305,39.6,-1.0
197405,39.2,-1.4
197505,41.7,1.1
197605,40,-0.6
197705,49.3,8.7
197805,44.4,3.8
197905,36.7,-3.9
198005,43.3,2.7
198105,40.8,0.2
198205,43.1,2.5
198305,36.4,-4.2
198405,38.1,-2.5
198505,44.4,3.8
198605,42.3,1.7
198705,46.2,5.6
198805,45.8,5.2
198905,42.2,1.6
199005,39.3,-1.3
199105,45.6,5.0
199205,42,1.4
199305,40.8,0.2
199405,43.1,2.5
199505,39.9,-0.7
199605,39.1,-1.5
199705,38.2,-2.4
199805,43.6,3.0
199905,43.3,2.7
200005,42.1,1.5
200105,42.8,2.2
200205,34.6,-6.0
200305,41.5,0.9
200405,37.7,-2.9
200505,39.8,-0.8
200605,42.5,1.9
200705,43.5,2.9
200805,37.7,-2.9
200905,38,-2.6
201005,41.6,1.0
201105,40.6,0.0
201205,42.1,1.5
201305,41,0.4
201405,41.7,1.1
201505,39.9,-0.7
