Virginia, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,41.8,0.1
189604,46.2,4.5
189704,40.9,-0.8
189804,38.7,-3.0
189904,41.3,-0.4
190004,42.3,0.6
190104,38.7,-3.0
190204,40.1,-1.6
190304,41.8,0.1
190404,38.5,-3.2
190504,41.9,0.2
190604,41.6,-0.1
190704,36.4,-5.3
190804,44.4,2.7
190904,42.3,0.6
191004,43.6,1.9
191104,39.2,-2.5
191204,44.9,3.2
191304,42.3,0.6
191404,41.4,-0.3
191504,41.6,-0.1
191604,40.4,-1.3
191704,41.9,0.2
191804,40.8,-0.9
191904,40.9,-0.8
192004,40.8,-0.9
192104,44.9,3.2
192204,44.3,2.6
192304,39.8,-1.9
192404,39.3,-2.4
192504,43.5,1.8
192604,38,-3.7
192704,40.9,-0.8
192804,39.5,-2.2
192904,44.8,3.1
193004,40.9,-0.8
193104,40.2,-1.5
193204,39.8,-1.9
193304,41.7,0.0
193404,41.9,0.2
193504,41.4,-0.3
193604,39.4,-2.3
193704,41.7,0.0
193804,43.7,2.0
193904,40.9,-0.8
194004,39.4,-2.3
194104,44.3,2.6
194204,41.9,0.2
194304,38.6,-3.1
194404,40.7,-1.0
194504,44.7,3.0
194604,42.7,1.0
194704,43.4,1.7
194804,44.6,2.9
194904,41,-0.7
195004,38.4,-3.3
195104,41.1,-0.6
195204,43.3,1.6
195304,41.9,0.2
195404,45.8,4.1
195504,45.4,3.7
195604,40.1,-1.6
195704,45.2,3.5
195804,42.8,1.1
195904,43.6,1.9
196004,44.2,2.5
196104,38.5,-3.2
196204,40.6,-1.1
196304,42,0.3
196404,42.5,0.8
196504,41.5,-0.2
196604,40.2,-1.5
196704,43.1,1.4
196804,41.8,0.1
196904,43.2,1.5
197004,42.2,0.5
197104,37,-4.7
197204,40.3,-1.4
197304,42.8,1.1
197404,42.6,0.9
197504,38.4,-3.3
197604,40.3,-1.4
197704,43.7,2.0
197804,41.9,0.2
197904,43.2,1.5
198004,42.7,1.0
198104,44.7,3.0
198204,38.8,-2.9
198304,40.6,-1.1
198404,41.2,-0.5
198504,44.3,2.6
198604,42.9,1.2
198704,41,-0.7
198804,40.8,-0.9
198904,40.3,-1.4
199004,41.6,-0.1
199104,44.7,3.0
199204,42.1,0.4
199304,40.4,-1.3
199404,44.8,3.1
199504,41,-0.7
199604,41.9,0.2
199704,38.6,-3.1
199804,43.3,1.6
199904,43.5,1.8
200004,42.8,1.1
200104,43.5,1.8
200204,44.8,3.1
200304,43,1.3
200404,43.8,2.1
200504,42.4,0.7
200604,44.4,2.7
200704,41.4,-0.3
200804,44.9,3.2
200904,42.9,1.2
201004,44,2.3
201104,46.3,4.6
201204,43.1,1.4
201304,43.6,1.9
201404,42,0.3
201504,43.8,2.1
