Ohio, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,47.6,-0.4
189605,55.6,7.6
189705,44.7,-3.3
189805,50.1,2.1
189905,51.7,3.7
190005,49.2,1.2
190105,47.4,-0.6
190205,49.8,1.8
190305,50.7,2.7
190405,48.8,0.8
190505,49.2,1.2
190605,48.5,0.5
190705,42.7,-5.3
190805,51.9,3.9
190905,47.2,-0.8
191005,44.7,-3.3
191105,51.8,3.8
191205,50.5,2.5
191305,47.4,-0.6
191405,48.2,0.2
191505,45.9,-2.1
191605,50,2.0
191705,42.6,-5.4
191805,53.4,5.4
191905,46.8,-1.2
192005,45.3,-2.7
192105,49.6,1.6
192205,51.6,3.6
192305,44.1,-3.9
192405,42.9,-5.1
192505,41.2,-6.8
192605,45.5,-2.5
192705,49,1.0
192805,44.8,-3.2
192905,46.2,-1.8
193005,49.5,1.5
193105,45.8,-2.2
193205,47.4,-0.6
193305,52.6,4.6
193405,48.4,0.4
193505,44,-4.0
193605,49.5,1.5
193705,47.5,-0.5
193805,48.2,0.2
193905,49.2,1.2
194005,46.1,-1.9
194105,47.9,-0.1
194205,50.1,2.1
194305,50.2,2.2
194405,53.7,5.7
194505,43.9,-4.1
194605,47.8,-0.2
194705,45.8,-2.2
194805,46.3,-1.7
194905,48.5,0.5
195005,48.8,0.8
195105,48.3,0.3
195205,47.5,-0.5
195305,51.7,3.7
195405,43.9,-4.1
195505,49.6,1.6
195605,47.4,-0.6
195705,48.3,0.3
195805,45.7,-2.3
195905,52.6,4.6
196005,47.3,-0.7
196105,43.4,-4.6
196205,53.8,5.8
196305,44.8,-3.2
196405,50.4,2.4
196505,52.7,4.7
196605,43.1,-4.9
196705,43.8,-4.2
196805,46.4,-1.6
196905,47.8,-0.2
197005,50.7,2.7
197105,44.6,-3.4
197205,49.2,1.2
197305,47.6,-0.4
197405,47.8,-0.2
197505,52.1,4.1
197605,45.3,-2.7
197705,51.4,3.4
197805,48.3,0.3
197905,46.8,-1.2
198005,48.6,0.6
198105,46.4,-1.6
198205,53,5.0
198305,45.3,-2.7
198405,45.7,-2.3
198505,49.5,1.5
198605,51.1,3.1
198705,51.1,3.1
198805,47.7,-0.3
198905,46.6,-1.4
199005,47.5,-0.5
199105,56.3,8.3
199205,46.2,-1.8
199305,47.8,-0.2
199405,43.8,-4.2
199505,47.7,-0.3
199605,48.7,0.7
199705,42.9,-5.1
199805,53.9,5.9
199905,48.9,0.9
200005,51.4,3.4
200105,50.2,2.2
200205,44.9,-3.1
200305,49.4,1.4
200405,53.2,5.2
200505,44.1,-3.9
200605,48,0.0
200705,50.2,2.2
200805,45.6,-2.4
200905,49.2,1.2
201005,52.3,4.3
201105,51.7,3.7
201205,54,6.0
201305,51.6,3.6
201405,50.1,2.1
201505,53,5.0
