California, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,41.8,0.2
189604,38.3,-3.3
189704,42.5,0.9
189804,43.3,1.7
189904,41.6,0.0
190004,39.7,-1.9
190104,38.3,-3.3
190204,40.3,-1.3
190304,39.8,-1.8
190404,41.4,-0.2
190504,43,1.4
190604,41.3,-0.3
190704,44.4,2.8
190804,41.3,-0.3
190904,41.2,-0.4
191004,43.6,2.0
191104,40.4,-1.2
191204,39,-2.6
191304,39.6,-2.0
191404,43.2,1.6
191504,43.5,1.9
191604,42.2,0.6
191704,39,-2.6
191804,40.4,-1.2
191904,41.7,0.1
192004,39.3,-2.3
192104,38.9,-2.7
192204,37.3,-4.3
192304,41.3,-0.3
192404,41,-0.6
192504,42.5,0.9
192604,47,5.4
192704,40.5,-1.1
192804,40.7,-0.9
192904,38.2,-3.4
193004,43.6,2.0
193104,43.5,1.9
193204,39.8,-1.8
193304,39.7,-1.9
193404,45.4,3.8
193504,42.7,1.1
193604,43.1,1.5
193704,40.1,-1.5
193804,42,0.4
193904,44.2,2.6
194004,43.7,2.1
194104,40.3,-1.3
194204,41.5,-0.1
194304,44,2.4
194404,39.2,-2.4
194504,39.8,-1.8
194604,42.6,1.0
194704,43.1,1.5
194804,40.7,-0.9
194904,43.2,1.6
195004,42.7,1.1
195104,42.7,1.1
195204,42.2,0.6
195304,40.4,-1.2
195404,44.7,3.1
195504,37.6,-4.0
195604,41.3,-0.3
195704,42,0.4
195804,41.3,-0.3
195904,44.6,3.0
196004,42.1,0.5
196104,41.7,0.1
196204,43.8,2.2
196304,38.8,-2.8
196404,39.5,-2.1
196504,42.9,1.3
196604,43.5,1.9
196704,35.7,-5.9
196804,40.5,-1.1
196904,41.1,-0.5
197004,37.1,-4.5
197104,39.5,-2.1
197204,41.1,-0.5
197304,41,-0.6
197404,39.9,-1.7
197504,36.3,-5.3
197604,38.7,-2.9
197704,42.2,0.6
197804,41.2,-0.4
197904,41.3,-0.3
198004,42.1,0.5
198104,43.5,1.9
198204,40.5,-1.1
198304,39.3,-2.3
198404,40.6,-1.0
198504,44.3,2.7
198604,42.3,0.7
198704,44.5,2.9
198804,43,1.4
198904,46.4,4.8
199004,45.7,4.1
199104,40.4,-1.2
199204,45.9,4.3
199304,43.1,1.5
199404,43.6,2.0
199504,41.1,-0.5
199604,43.7,2.1
199704,43,1.4
199804,40,-1.6
199904,39.4,-2.2
200004,44.6,3.0
200104,39.7,-1.9
200204,43.3,1.7
200304,39.4,-2.2
200404,43.9,2.3
200504,40.4,-1.2
200604,42.1,0.5
200704,43.1,1.5
200804,40.3,-1.3
200904,40.7,-0.9
201004,39,-2.6
201104,41.1,-0.5
201204,43.1,1.5
201304,44.7,3.1
201404,44.4,2.8
201504,43,1.4
