Arizona, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,25.8,-3.2
189612,30.7,1.7
189712,25.2,-3.8
189812,24.2,-4.8
189912,29.7,0.7
190012,28.1,-0.9
190112,27.8,-1.2
190212,29.5,0.5
190312,26.5,-2.5
190412,29.5,0.5
190512,26.4,-2.6
190612,34.5,5.5
190712,30,1.0
190812,30.9,1.9
190912,25.1,-3.9
191012,31.8,2.8
191112,22.2,-6.8
191212,24.6,-4.4
191312,28.9,-0.1
191412,29.7,0.7
191512,28.7,-0.3
191612,24.5,-4.5
191712,28.9,-0.1
191812,28.1,-0.9
191912,30.5,1.5
192012,25.3,-3.7
192112,34,5.0
192212,32.8,3.8
192312,30.5,1.5
192412,26.3,-2.7
192512,29.3,0.3
192612,29,0.0
192712,27.6,-1.4
192812,27.4,-1.6
192912,28.5,-0.5
193012,24.8,-4.2
193112,24.8,-4.2
193212,24.3,-4.7
193312,30,1.0
193412,31.4,2.4
193512,29.9,0.9
193612,29.5,0.5
193712,33.8,4.8
193812,31.1,2.1
193912,32,3.0
194012,34.6,5.6
194112,30.9,1.9
194212,31.1,2.1
194312,31.1,2.1
194412,29.3,0.3
194512,25.3,-3.7
194612,31.4,2.4
194712,26.4,-2.6
194812,29,0.0
194912,26.6,-2.4
195012,31.2,2.2
195112,28.8,-0.2
195212,28.3,-0.7
195312,24.9,-4.1
195412,28.3,-0.7
195512,32,3.0
195612,26.6,-2.4
195712,30.9,1.9
195812,29.8,0.8
195912,31.7,2.7
196012,26.9,-2.1
196112,27.6,-1.4
196212,31.3,2.3
196312,26.3,-2.7
196412,29.8,0.8
196512,31.8,2.8
196612,28.6,-0.4
196712,25,-4.0
196812,24.3,-4.7
196912,31.5,2.5
197012,29,0.0
197112,27.5,-1.5
197212,27,-2.0
197312,28.5,-0.5
197412,25.9,-3.1
197512,29.3,0.3
197612,26.4,-2.6
197712,33.9,4.9
197812,26.6,-2.4
197912,29.9,0.9
198012,33.3,4.3
198112,31.4,2.4
198212,30.1,1.1
198312,33.1,4.1
198412,31.7,2.7
198512,29.6,0.6
198612,30.7,1.7
198712,27.3,-1.7
198812,28,-1.0
198912,27.5,-1.5
199012,24.7,-4.3
199112,31.7,2.7
199212,27.8,-1.2
199312,28.2,-0.8
199412,31.9,2.9
199512,31.2,2.2
199612,31,2.0
199712,28.1,-0.9
199812,29.5,0.5
199912,28,-1.0
200012,30.7,1.7
200112,27.4,-1.6
200212,29.3,0.3
200312,29.7,0.7
200412,31.1,2.1
200512,29.3,0.3
200612,28.4,-0.6
200712,28.4,-0.6
200812,30.8,1.8
200912,27.1,-1.9
201012,34.5,5.5
201112,28.2,-0.8
201212,30.1,1.1
201312,28.9,-0.1
201412,33.5,4.5
201512,28.1,-0.9
