New Mexico, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,18,-5.5
189602,22,-1.5
189702,24.6,1.1
189802,25.9,2.4
189902,18.8,-4.7
190002,22.5,-1.0
190102,24.8,1.3
190202,23.7,0.2
190302,18.2,-5.3
190402,26.7,3.2
190502,23.8,0.3
190602,25.4,1.9
190702,27.7,4.2
190802,24.7,1.2
190902,23.1,-0.4
191002,20.1,-3.4
191102,26.1,2.6
191202,20.1,-3.4
191302,21,-2.5
191402,22.3,-1.2
191502,24,0.5
191602,26.1,2.6
191702,22.8,-0.7
191802,25.5,2.0
191902,20.4,-3.1
192002,28.5,5.0
192102,23.6,0.1
192202,22.8,-0.7
192302,22.9,-0.6
192402,23.6,0.1
192502,25.2,1.7
192602,25.7,2.2
192702,28.9,5.4
192802,23,-0.5
192902,18.2,-5.3
193002,25.9,2.4
193102,27.6,4.1
193202,28.1,4.6
193302,15.9,-7.6
193402,26.3,2.8
193502,23.6,0.1
193602,24,0.5
193702,22.4,-1.1
193802,25.7,2.2
193902,15.3,-8.2
194002,23,-0.5
194102,27.6,4.1
194202,19.2,-4.3
194302,24.4,0.9
194402,23.5,0.0
194502,24.9,1.4
194602,20,-3.5
194702,22.4,-1.1
194802,22.2,-1.3
194902,21.3,-2.2
195002,24.8,1.3
195102,21.7,-1.8
195202,22.1,-1.4
195302,20,-3.5
195402,25.5,2.0
195502,16.7,-6.8
195602,18.3,-5.2
195702,31.6,8.1
195802,26.3,2.8
195902,22.8,-0.7
196002,19.3,-4.2
196102,23,-0.5
196202,26.7,3.2
196302,24.1,0.6
196402,14.6,-8.9
196502,20.1,-3.4
196602,18.5,-5.0
196702,22.7,-0.8
196802,26.3,2.8
196902,23.3,-0.2
197002,25.2,1.7
197102,21.2,-2.3
197202,22.5,-1.0
197302,23.6,0.1
197402,18.3,-5.2
197502,22.4,-1.1
197602,27.3,3.8
197702,22.6,-0.9
197802,23.3,-0.2
197902,22,-1.5
198002,25.5,2.0
198102,22.8,-0.7
198202,22.8,-0.7
198302,25.1,1.6
198402,20.5,-3.0
198502,21.3,-2.2
198602,26.9,3.4
198702,24.8,1.3
198802,24,0.5
198902,24.1,0.6
199002,22.3,-1.2
199102,25.6,2.1
199202,26.6,3.1
199302,25.8,2.3
199402,21.8,-1.7
199502,29.1,5.6
199602,28.2,4.7
199702,24,0.5
199802,24.9,1.4
199902,25.5,2.0
200002,27.6,4.1
200102,25.2,1.7
200202,21.2,-2.3
200302,25.7,2.2
200402,21.4,-2.1
200502,29.9,6.4
200602,23.1,-0.4
200702,24.7,1.2
200802,24.4,0.9
200902,25.1,1.6
201002,23.2,-0.3
201102,18.9,-4.6
201202,24.3,0.8
201302,21.2,-2.3
201402,26.9,3.4
201502,26.7,3.2
