Ohio, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,12.9,-5.8
189601,21.2,2.5
189701,16.3,-2.4
189801,24.1,5.4
189901,17.8,-0.9
190001,22.1,3.4
190101,19.8,1.1
190201,17.6,-1.1
190301,17.9,-0.8
190401,10,-8.7
190501,13,-5.7
190601,25.8,7.1
190701,22.5,3.8
190801,19.2,0.5
190901,23,4.3
191001,19.3,0.6
191101,23.1,4.4
191201,8.3,-10.4
191301,25.5,6.8
191401,25.2,6.5
191501,16.2,-2.5
191601,23.8,5.1
191701,17.1,-1.6
191801,4,-14.7
191901,22.1,3.4
192001,12.2,-6.5
192101,23.3,4.6
192201,15.6,-3.1
192301,23.8,5.1
192401,14.5,-4.2
192501,16.7,-2.0
192601,17.1,-1.6
192701,19.2,0.5
192801,18.8,0.1
192901,15.2,-3.5
193001,17.6,-1.1
193101,21.9,3.2
193201,30.4,11.7
193301,27.6,8.9
193401,23.8,5.1
193501,19.8,1.1
193601,13.5,-5.2
193701,26.2,7.5
193801,20.1,1.4
193901,23.5,4.8
194001,7.2,-11.5
194101,21.6,2.9
194201,17.9,-0.8
194301,19.9,1.2
194401,22.3,3.6
194501,12.7,-6.0
194601,20.1,1.4
194701,24.9,6.2
194801,10.5,-8.2
194901,27.5,8.8
195001,28,9.3
195101,21.9,3.2
195201,24.7,6.0
195301,25.4,6.7
195401,21.2,2.5
195501,18.7,0.0
195601,17.7,-1.0
195701,15.3,-3.4
195801,18.5,-0.2
195901,14,-4.7
196001,23.4,4.7
196101,13.6,-5.1
196201,15.4,-3.3
196301,9.9,-8.8
196401,19.6,0.9
196501,17.9,-0.8
196601,13.9,-4.8
196701,23.3,4.6
196801,13.4,-5.3
196901,17,-1.7
197001,10.6,-8.1
197101,14.2,-4.5
197201,17.8,-0.9
197301,21,2.3
197401,23.3,4.6
197501,23.4,4.7
197601,14.9,-3.8
197701,2.1,-16.6
197801,10.5,-8.2
197901,12.7,-6.0
198001,20.1,1.4
198101,13,-5.7
198201,10.1,-8.6
198301,22.1,3.4
198401,13.7,-5.0
198501,14.3,-4.4
198601,19,0.3
198701,21.4,2.7
198801,15.8,-2.9
198901,26.1,7.4
199001,28.3,9.6
199101,21,2.3
199201,22.2,3.5
199301,25.2,6.5
199401,11.6,-7.1
199501,21.7,3.0
199601,17.2,-1.5
199701,17.3,-1.4
199801,29.4,10.7
199901,19.5,0.8
200001,16.8,-1.9
200101,20.1,1.4
200201,26.1,7.4
200301,14.5,-4.2
200401,15.9,-2.8
200501,21.8,3.1
200601,31.1,12.4
200701,26.1,7.4
200801,20.7,2.0
200901,12.5,-6.2
201001,18.9,0.2
201101,16.1,-2.6
201201,23.8,5.1
201301,22.4,3.7
201401,10.2,-8.5
201501,16.3,-2.4
201601,18.4,-0.3
