New Mexico, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,36.6,1.0
189604,35.4,-0.2
189704,36.4,0.8
189804,38.4,2.8
189904,36.7,1.1
190004,33.8,-1.8
190104,33.7,-1.9
190204,38,2.4
190304,36.5,0.9
190404,36.4,0.8
190504,36.5,0.9
190604,36.9,1.3
190704,35.9,0.3
190804,37.5,1.9
190904,34.2,-1.4
191004,36.5,0.9
191104,38.3,2.7
191204,33.1,-2.5
191304,34.1,-1.5
191404,36.9,1.3
191504,38.1,2.5
191604,35.8,0.2
191704,33.1,-2.5
191804,34.7,-0.9
191904,38,2.4
192004,31.7,-3.9
192104,32.9,-2.7
192204,34.9,-0.7
192304,37.2,1.6
192404,34.5,-1.1
192504,38.4,2.8
192604,37.3,1.7
192704,36.9,1.3
192804,33.8,-1.8
192904,35.5,-0.1
193004,38.9,3.3
193104,36.7,1.1
193204,35.6,0.0
193304,31.1,-4.5
193404,38.9,3.3
193504,37.7,2.1
193604,36.4,0.8
193704,35.2,-0.4
193804,35.4,-0.2
193904,36.3,0.7
194004,35.3,-0.3
194104,35.2,-0.4
194204,36.9,1.3
194304,38.4,2.8
194404,32.7,-2.9
194504,31.8,-3.8
194604,39.8,4.2
194704,34,-1.6
194804,38,2.4
194904,35.6,0.0
195004,36,0.4
195104,34.3,-1.3
195204,36.3,0.7
195304,35,-0.6
195404,39.4,3.8
195504,34.4,-1.2
195604,33.1,-2.5
195704,34.4,-1.2
195804,34.9,-0.7
195904,36.5,0.9
196004,35.7,0.1
196104,34.1,-1.5
196204,37.3,1.7
196304,37,1.4
196404,33.6,-2.0
196504,36.4,0.8
196604,35.9,0.3
196704,37.3,1.7
196804,33.5,-2.1
196904,37.2,1.6
197004,31.8,-3.8
197104,33.5,-2.1
197204,35,-0.6
197304,30.4,-5.2
197404,34.3,-1.3
197504,31.7,-3.9
197604,36.1,0.5
197704,36.6,1.0
197804,36.9,1.3
197904,35.2,-0.4
198004,32.6,-3.0
198104,38.9,3.3
198204,36.3,0.7
198304,31.2,-4.4
198404,32.8,-2.8
198504,37.6,2.0
198604,38.5,2.9
198704,34.1,-1.5
198804,34.6,-1.0
198904,38.4,2.8
199004,38.6,3.0
199104,34.6,-1.0
199204,38.3,2.7
199304,35.7,0.1
199404,36,0.4
199504,33.4,-2.2
199604,36,0.4
199704,34.3,-1.3
199804,32.3,-3.3
199904,34.5,-1.1
200004,38.4,2.8
200104,37.5,1.9
200204,40.4,4.8
200304,36,0.4
200404,37.7,2.1
200504,35.4,-0.2
200604,38.9,3.3
200704,35.7,0.1
200804,33.8,-1.8
200904,35.3,-0.3
201004,37.3,1.7
201104,38.6,3.0
201204,39.4,3.8
201304,35.6,0.0
201404,35.9,0.3
201504,36.9,1.3
