New York, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,4.6,-6.5
189602,11.6,0.5
189702,13.3,2.2
189802,15.9,4.8
189902,8.7,-2.4
190002,10.9,-0.2
190102,5.1,-6.0
190202,9.7,-1.4
190302,15.3,4.2
190402,2.7,-8.4
190502,3.4,-7.7
190602,9.4,-1.7
190702,3.3,-7.8
190802,6.2,-4.9
190902,15.8,4.7
191002,8.2,-2.9
191102,11.4,0.3
191202,7,-4.1
191302,8.6,-2.5
191402,1.5,-9.6
191502,16.1,5.0
191602,7.2,-3.9
191702,5,-6.1
191802,6.2,-4.9
191902,16,4.9
192002,7.9,-3.2
192102,15.2,4.1
192202,13.6,2.5
192302,4.9,-6.2
192402,5.9,-5.2
192502,17.8,6.7
192602,8.2,-2.9
192702,17.5,6.4
192802,11.2,0.1
192902,10.6,-0.5
193002,14.1,3.0
193102,11.9,0.8
193202,15.4,4.3
193302,14.8,3.7
193402,-5.2,-16.3
193502,9.7,-1.4
193602,3.4,-7.7
193702,15.9,4.8
193802,15.2,4.1
193902,12,0.9
194002,10.3,-0.8
194102,10.8,-0.3
194202,9.4,-1.7
194302,12,0.9
194402,10.7,-0.4
194502,13.2,2.1
194602,8.6,-2.5
194702,9.7,-1.4
194802,6.3,-4.8
194902,16.7,5.6
195002,10.7,-0.4
195102,14.5,3.4
195202,15.7,4.6
195302,17.6,6.5
195402,19.3,8.2
195502,12.4,1.3
195602,15.5,4.4
195702,16.8,5.7
195802,7.1,-4.0
195902,6.9,-4.2
196002,16.4,5.3
196102,12.2,1.1
196202,8.2,-2.9
196302,3.2,-7.9
196402,9.4,-1.7
196502,10.8,-0.3
196602,11.8,0.7
196702,5.5,-5.6
196802,6.8,-4.3
196902,13.2,2.1
197002,9.6,-1.5
197102,14.2,3.1
197202,7.8,-3.3
197302,8,-3.1
197402,8.6,-2.5
197502,15.8,4.7
197602,16.5,5.4
197702,13.2,2.1
197802,2.5,-8.6
197902,1.1,-10.0
198002,8.5,-2.6
198102,19.6,8.5
198202,12.3,1.2
198302,15.5,4.4
198402,21.3,10.2
198502,13.9,2.8
198602,12.3,1.2
198702,7.9,-3.2
198802,11.5,0.4
198902,12,0.9
199002,16.1,5.0
199102,18.5,7.4
199202,15.1,4.0
199302,3.4,-7.7
199402,6.4,-4.7
199502,8.4,-2.7
199602,13.2,2.1
199702,17.6,6.5
199802,21.5,10.4
199902,17.3,6.2
200002,16.5,5.4
200102,15.8,4.7
200202,18.6,7.5
200302,8.9,-2.2
200402,11.1,0.0
200502,13.8,2.7
200602,16.1,5.0
200702,7.6,-3.5
200802,14.8,3.7
200902,15,3.9
201002,17.7,6.6
201102,11.3,0.2
201202,21.8,10.7
201302,15.6,4.5
201402,9.5,-1.6
201502,-1.8,-12.9
201602,17.3,6.2
