South Dakota, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,42,-1.0
189605,45.9,2.9
189705,42,-1.0
189805,41.9,-1.1
189905,42.1,-0.9
190005,45.8,2.8
190105,45.1,2.1
190205,45.5,2.5
190305,42.8,-0.2
190405,42.7,-0.3
190505,39.8,-3.2
190605,43,0.0
190705,35,-8.0
190805,40.4,-2.6
190905,40.6,-2.4
191005,38.5,-4.5
191105,43.8,0.8
191205,43.6,0.6
191305,42.1,-0.9
191405,44,1.0
191505,40.3,-2.7
191605,40.5,-2.5
191705,38.2,-4.8
191805,42.9,-0.1
191905,42.6,-0.4
192005,43.4,0.4
192105,44.1,1.1
192205,45.1,2.1
192305,42.4,-0.6
192405,35.6,-7.4
192505,40.6,-2.4
192605,46.9,3.9
192705,41.3,-1.7
192805,44.5,1.5
192905,39.5,-3.5
193005,41.5,-1.5
193105,39.7,-3.3
193205,45.2,2.2
193305,42.9,-0.1
193405,50.6,7.6
193505,40.3,-2.7
193605,47.9,4.9
193705,45.7,2.7
193805,42.9,-0.1
193905,48.5,5.5
194005,41.6,-1.4
194105,48.1,5.1
194205,41.1,-1.9
194305,39,-4.0
194405,47.4,4.4
194505,37.9,-5.1
194605,39.5,-3.5
194705,38.8,-4.2
194805,43.4,0.4
194905,45.6,2.6
195005,39.7,-3.3
195105,43.8,0.8
195205,43.2,0.2
195305,41.5,-1.5
195405,39.4,-3.6
195505,46.2,3.2
195605,44.5,1.5
195705,43.5,0.5
195805,44.9,1.9
195905,42.4,-0.6
196005,41.7,-1.3
196105,41.7,-1.3
196205,47,4.0
196305,43.3,0.3
196405,45.8,2.8
196505,43.5,0.5
196605,39.9,-3.1
196705,38.7,-4.3
196805,38.8,-4.2
196905,44.2,1.2
197005,43.9,0.9
197105,41.3,-1.7
197205,46.1,3.1
197305,40.9,-2.1
197405,41.5,-1.5
197505,43.8,0.8
197605,41.3,-1.7
197705,50.4,7.4
197805,45,2.0
197905,39.9,-3.1
198005,44.5,1.5
198105,42.7,-0.3
198205,45.7,2.7
198305,39.1,-3.9
198405,41.1,-1.9
198505,46.7,3.7
198605,44.4,1.4
198705,49.1,6.1
198805,48.2,5.2
198905,43.1,0.1
199005,42.1,-0.9
199105,47.6,4.6
199205,43.5,0.5
199305,43.5,0.5
199405,46.6,3.6
199505,42.2,-0.8
199605,42.5,-0.5
199705,40.6,-2.4
199805,46.4,3.4
199905,44.2,1.2
200005,45,2.0
200105,45.5,2.5
200205,38.6,-4.4
200305,43.1,0.1
200405,42.7,-0.3
200505,41.8,-1.2
200605,44.1,1.1
200705,47.2,4.2
200805,40.9,-2.1
200905,41.9,-1.1
201005,43.1,0.1
201105,42.2,-0.8
201205,44.9,1.9
201305,43.2,0.2
201405,43.4,0.4
201505,42.3,-0.7
