Kansas, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,42.9,2.5
189604,45.5,5.1
189704,40.2,-0.2
189804,38.8,-1.6
189904,38.4,-2.0
190004,42.8,2.4
190104,39.2,-1.2
190204,39.5,-0.9
190304,39.5,-0.9
190404,36.1,-4.3
190504,38.6,-1.8
190604,43.3,2.9
190704,33.7,-6.7
190804,40.9,0.5
190904,37.1,-3.3
191004,40.7,0.3
191104,38.6,-1.8
191204,40.2,-0.2
191304,40.5,0.1
191404,39.9,-0.5
191504,45.4,5.0
191604,37.8,-2.6
191704,37.8,-2.6
191804,36.1,-4.3
191904,40.9,0.5
192004,34.7,-5.7
192104,40.1,-0.3
192204,42,1.6
192304,40.1,-0.3
192404,39.9,-0.5
192504,46,5.6
192604,35.8,-4.6
192704,44.3,3.9
192804,37.1,-3.3
192904,42.6,2.2
193004,43.7,3.3
193104,39.4,-1.0
193204,43.3,2.9
193304,39.4,-1.0
193404,41.7,1.3
193504,39,-1.4
193604,37.9,-2.5
193704,39.8,-0.6
193804,41.5,1.1
193904,40.1,-0.3
194004,40.1,-0.3
194104,44,3.6
194204,44.7,4.3
194304,42.7,2.3
194404,37.8,-2.6
194504,39.1,-1.3
194604,45.4,5.0
194704,39.5,-0.9
194804,45.6,5.2
194904,40.8,0.4
195004,36.9,-3.5
195104,37.9,-2.5
195204,38.8,-1.6
195304,36.8,-3.6
195404,44.4,4.0
195504,45,4.6
195604,36.3,-4.1
195704,40.9,0.5
195804,39.6,-0.8
195904,39.1,-1.3
196004,43.7,3.3
196104,36.7,-3.7
196204,39.4,-1.0
196304,43.3,2.9
196404,42,1.6
196504,43.6,3.2
196604,37.2,-3.2
196704,44.6,4.2
196804,39.3,-1.1
196904,42.4,2.0
197004,38.9,-1.5
197104,40.8,0.4
197204,40.7,0.3
197304,38.5,-1.9
197404,42.3,1.9
197504,39.8,-0.6
197604,43.5,3.1
197704,45.5,5.1
197804,43.3,2.9
197904,40.3,-0.1
198004,39.2,-1.2
198104,47.5,7.1
198204,37.9,-2.5
198304,36.2,-4.2
198404,38.6,-1.8
198504,44.4,4.0
198604,42.9,2.5
198704,40.7,0.3
198804,38.4,-2.0
198904,42.2,1.8
199004,40.1,-0.3
199104,43.5,3.1
199204,41.2,0.8
199304,38.8,-1.6
199404,39.7,-0.7
199504,37.7,-2.7
199604,38,-2.4
199704,36.5,-3.9
199804,39.6,-0.8
199904,42,1.6
200004,39.2,-1.2
200104,44.9,4.5
200204,42.8,2.4
200304,42.9,2.5
200404,41.9,1.5
200504,42.3,1.9
200604,44.3,3.9
200704,39.3,-1.1
200804,37.7,-2.7
200904,39.1,-1.3
201004,44.7,4.3
201104,41.2,0.8
201204,46.7,6.3
201304,35.8,-4.6
201404,39.6,-0.8
201504,43.1,2.7
