Indiana, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,41.1,1.8
189604,46,6.7
189704,38.8,-0.5
189804,37.1,-2.2
189904,42.2,2.9
190004,39.7,0.4
190104,36.3,-3.0
190204,37.2,-2.1
190304,39.4,0.1
190404,34.7,-4.6
190504,38.8,-0.5
190604,40.2,0.9
190704,31.6,-7.7
190804,39.8,0.5
190904,37,-2.3
191004,38.6,-0.7
191104,37.9,-1.4
191204,40.9,1.6
191304,38.8,-0.5
191404,39.4,0.1
191504,42.9,3.6
191604,38.1,-1.2
191704,37.7,-1.6
191804,37.1,-2.2
191904,39.6,0.3
192004,35.7,-3.6
192104,42.7,3.4
192204,41.5,2.2
192304,36,-3.3
192404,39,-0.3
192504,42.2,2.9
192604,33.1,-6.2
192704,40.7,1.4
192804,35.2,-4.1
192904,42.2,2.9
193004,40.1,0.8
193104,38.9,-0.4
193204,38,-1.3
193304,39.3,0.0
193404,37.7,-1.6
193504,37.9,-1.4
193604,35,-4.3
193704,38.7,-0.6
193804,41.4,2.1
193904,36.7,-2.6
194004,36.5,-2.8
194104,43.2,3.9
194204,41.7,2.4
194304,36.3,-3.0
194404,38.3,-1.0
194504,41.5,2.2
194604,40.2,0.9
194704,39.5,0.2
194804,43.1,3.8
194904,37.8,-1.5
195004,35,-4.3
195104,38.1,-1.2
195204,39.3,0.0
195304,37.1,-2.2
195404,43.9,4.6
195504,44.8,5.5
195604,37,-2.3
195704,42.5,3.2
195804,39.9,0.6
195904,40.7,1.4
196004,42.5,3.2
196104,36,-3.3
196204,37.7,-1.6
196304,40.7,1.4
196404,42.5,3.2
196504,40.6,1.3
196604,38.4,-0.9
196704,41.7,2.4
196804,40.9,1.6
196904,40.6,1.3
197004,41.3,2.0
197104,36.3,-3.0
197204,39,-0.3
197304,41.3,2.0
197404,41.4,2.1
197504,36.1,-3.2
197604,39.9,0.6
197704,43.5,4.2
197804,39.9,0.6
197904,38.6,-0.7
198004,38,-1.3
198104,44,4.7
198204,34.9,-4.4
198304,37.7,-1.6
198404,39.6,0.3
198504,44.6,5.3
198604,41.2,1.9
198704,39.4,0.1
198804,38.1,-1.2
198904,38.9,-0.4
199004,39.4,0.1
199104,44.6,5.3
199204,40.1,0.8
199304,39.1,-0.2
199404,41.1,1.8
199504,38.8,-0.5
199604,36.3,-3.0
199704,34.6,-4.7
199804,41.6,2.3
199904,43.2,3.9
200004,38.4,-0.9
200104,44.5,5.2
200204,42.6,3.3
200304,41.3,2.0
200404,41.7,2.4
200504,41.9,2.6
200604,43.2,3.9
200704,38.4,-0.9
200804,40.9,1.6
200904,40.8,1.5
201004,44.5,5.2
201104,42.2,2.9
201204,40.5,1.2
201304,39.5,0.2
201404,40.4,1.1
201504,41.1,1.8
