Kentucky, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,27.9,0.9
189612,28.2,1.2
189712,28.9,1.9
189812,22.6,-4.4
189912,24.5,-2.5
190012,27.7,0.7
190112,21.9,-5.1
190212,28,1.0
190312,19.4,-7.6
190412,26.2,-0.8
190512,28.1,1.1
190612,30.2,3.2
190712,29,2.0
190812,29.4,2.4
190912,20,-7.0
191012,21,-6.0
191112,32,5.0
191212,26.2,-0.8
191312,30.2,3.2
191412,24.6,-2.4
191512,27.2,0.2
191612,23,-4.0
191712,15.5,-11.5
191812,34.3,7.3
191912,23.5,-3.5
192012,29.1,2.1
192112,30.7,3.7
192212,29.8,2.8
192312,34.9,7.9
192412,24.1,-2.9
192512,24,-3.0
192612,28,1.0
192712,24.9,-2.1
192812,27.1,0.1
192912,28.5,1.5
193012,25.8,-1.2
193112,36.6,9.6
193212,27,0.0
193312,32.6,5.6
193412,27,0.0
193512,20.9,-6.1
193612,29.3,2.3
193712,26.5,-0.5
193812,26.3,-0.7
193912,27.7,0.7
194012,31.9,4.9
194112,32.1,5.1
194212,26.6,-0.4
194312,24.6,-2.4
194412,22.8,-4.2
194512,22.1,-4.9
194612,30.3,3.3
194712,25.3,-1.7
194812,30.2,3.2
194912,28.7,1.7
195012,20.8,-6.2
195112,28.3,1.3
195212,30.2,3.2
195312,25.3,-1.7
195412,27.6,0.6
195512,23.8,-3.2
195612,35.5,8.5
195712,30.7,3.7
195812,19.4,-7.6
195912,30.3,3.3
196012,19.7,-7.3
196112,27.1,0.1
196212,20.7,-6.3
196312,16.4,-10.6
196412,28.5,1.5
196512,29.8,2.8
196612,26.7,-0.3
196712,29.2,2.2
196812,24.9,-2.1
196912,24.2,-2.8
197012,29.5,2.5
197112,35.6,8.6
197212,30.7,3.7
197312,27.6,0.6
197412,29.2,2.2
197512,28.6,1.6
197612,20.2,-6.8
197712,24.1,-2.9
197812,27.3,0.3
197912,27.8,0.8
198012,26.9,-0.1
198112,24.3,-2.7
198212,35,8.0
198312,20.9,-6.1
198412,35.4,8.4
198512,20.8,-6.2
198612,28.3,1.3
198712,30,3.0
198812,26,-1.0
198912,15.3,-11.7
199012,29.6,2.6
199112,31,4.0
199212,28.6,1.6
199312,28.3,1.3
199412,31.8,4.8
199512,24.8,-2.2
199612,31,4.0
199712,28.8,1.8
199812,31.4,4.4
199912,28.5,1.5
200012,18,-9.0
200112,32,5.0
200212,28.7,1.7
200312,28.2,1.2
200412,26.5,-0.5
200512,24.9,-2.1
200612,30.6,3.6
200712,31.8,4.8
200812,26.4,-0.6
200912,27.3,0.3
201012,21.8,-5.2
201112,31.6,4.6
201212,34.3,7.3
201312,28.3,1.3
201412,32.5,5.5
201512,39.2,12.2
