Kansas, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,50.1,-0.8
189605,55.4,4.5
189705,50.1,-0.8
189805,50.2,-0.7
189905,52.3,1.4
190005,52.4,1.5
190105,48.4,-2.5
190205,55.8,4.9
190305,50.3,-0.6
190405,50.1,-0.8
190505,49.9,-1.0
190605,51.1,0.2
190705,44.5,-6.4
190805,49.9,-1.0
190905,47.4,-3.5
191005,47.6,-3.3
191105,53.1,2.2
191205,52.4,1.5
191305,52.6,1.7
191405,52,1.1
191505,47.7,-3.2
191605,49.7,-1.2
191705,44.6,-6.3
191805,53.5,2.6
191905,49.7,-1.2
192005,51.4,0.5
192105,52.2,1.3
192205,51.8,0.9
192305,49.2,-1.7
192405,43.8,-7.1
192505,49.1,-1.8
192605,52.6,1.7
192705,52,1.1
192805,50.5,-0.4
192905,50,-0.9
193005,49.9,-1.0
193105,47.3,-3.6
193205,51.5,0.6
193305,51,0.1
193405,54.5,3.6
193505,48.9,-2.0
193605,55.7,4.8
193705,53.4,2.5
193805,51.6,0.7
193905,53.9,3.0
194005,49.4,-1.5
194105,55.4,4.5
194205,49.5,-1.4
194305,48.6,-2.3
194405,53.8,2.9
194505,47.8,-3.1
194605,47,-3.9
194705,48.3,-2.6
194805,50.7,-0.2
194905,54.4,3.5
195005,49.8,-1.1
195105,51.5,0.6
195205,50.4,-0.5
195305,50,-0.9
195405,47.9,-3.0
195505,53.4,2.5
195605,54.8,3.9
195705,50.9,0.0
195805,53.6,2.7
195905,53.8,2.9
196005,49,-1.9
196105,49.1,-1.8
196205,57.1,6.2
196305,53.8,2.9
196405,54.2,3.3
196505,54.2,3.3
196605,48.8,-2.1
196705,47.5,-3.4
196805,46.9,-4.0
196905,53.1,2.2
197005,53.6,2.7
197105,48.1,-2.8
197205,50.7,-0.2
197305,47.9,-3.0
197405,53.6,2.7
197505,51,0.1
197605,47.5,-3.4
197705,56.6,5.7
197805,50.7,-0.2
197905,48.9,-2.0
198005,49.9,-1.0
198105,48.9,-2.0
198205,52.8,1.9
198305,46.8,-4.1
198405,50.1,-0.8
198505,53,2.1
198605,51.8,0.9
198705,55.9,5.0
198805,53.1,2.2
198905,51.4,0.5
199005,49.1,-1.8
199105,55.4,4.5
199205,50.1,-0.8
199305,51.4,0.5
199405,51.8,0.9
199505,47.5,-3.4
199605,53.7,2.8
199705,47,-3.9
199805,54.5,3.6
199905,50.7,-0.2
200005,53.4,2.5
200105,52.7,1.8
200205,49.1,-1.8
200305,50.3,-0.6
200405,53.5,2.6
200505,50.7,-0.2
200605,52.7,1.8
200705,54.8,3.9
200805,49.7,-1.2
200905,51,0.1
201005,50.3,-0.6
201105,49.3,-1.6
201205,54.7,3.8
201305,50.2,-0.7
201405,50.5,-0.4
201505,51.1,0.2
