Massachusetts, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,45.3,1.2
189605,47,2.9
189705,45.3,1.2
189805,44.6,0.5
189905,43.8,-0.3
190005,40.6,-3.5
190105,43.8,-0.3
190205,43.2,-0.9
190305,43.9,-0.2
190405,46.9,2.8
190505,43.8,-0.3
190605,43.4,-0.7
190705,39.8,-4.3
190805,46.4,2.3
190905,43.3,-0.8
191005,44,-0.1
191105,47.7,3.6
191205,45.7,1.6
191305,42.1,-2.0
191405,44.8,0.7
191505,42,-2.1
191605,44.8,0.7
191705,38.3,-5.8
191805,48.3,4.2
191905,44.9,0.8
192005,41.5,-2.6
192105,43.9,-0.2
192205,45.4,1.3
192305,42.1,-2.0
192405,42,-2.1
192505,41.1,-3.0
192605,41.2,-2.9
192705,42.3,-1.8
192805,42.6,-1.5
192905,43.6,-0.5
193005,45.4,1.3
193105,44.8,0.7
193205,43.7,-0.4
193305,46.4,2.3
193405,45.6,1.5
193505,40.9,-3.2
193605,44.9,0.8
193705,44.7,0.6
193805,42,-2.1
193905,43.6,-0.5
194005,44.4,0.3
194105,43.7,-0.4
194205,48,3.9
194305,45.1,1.0
194405,47.3,3.2
194505,42.6,-1.5
194605,42.9,-1.2
194705,43.5,-0.6
194805,44.4,0.3
194905,44.5,0.4
195005,43,-1.1
195105,44,-0.1
195205,42.4,-1.7
195305,46.3,2.2
195405,43.4,-0.7
195505,45.7,1.6
195605,39.2,-4.9
195705,43.9,-0.2
195805,42.1,-2.0
195905,46.2,2.1
196005,46.1,2.0
196105,42.8,-1.3
196205,42.9,-1.2
196305,42.4,-1.7
196405,44.9,0.8
196505,44.6,0.5
196605,41.6,-2.5
196705,38,-6.1
196805,42,-2.1
196905,43.1,-1.0
197005,46.2,2.1
197105,43.2,-0.9
197205,44.6,0.5
197305,44.3,0.2
197405,42.6,-1.5
197505,47.3,3.2
197605,43.4,-0.7
197705,44.8,0.7
197805,45.1,1.0
197905,48.8,4.7
198005,44.8,0.7
198105,45.1,1.0
198205,45.2,1.1
198305,44.5,0.4
198405,43.1,-1.0
198505,45,0.9
198605,46,1.9
198705,44.4,0.3
198805,45.7,1.6
198905,46.5,2.4
199005,43.1,-1.0
199105,48.4,4.3
199205,42.1,-2.0
199305,45.7,1.6
199405,43,-1.1
199505,43.6,-0.5
199605,43.3,-0.8
199705,42.5,-1.6
199805,48.3,4.2
199905,45.5,1.4
200005,45.3,1.2
200105,45.6,1.5
200205,43.3,-0.8
200305,44.1,0.0
200405,47.2,3.1
200505,41.9,-2.2
200605,46.5,2.4
200705,45.5,1.4
200805,42.7,-1.4
200905,46.2,2.1
201005,47.9,3.8
201105,48.8,4.7
201205,50.7,6.6
201305,45.3,1.2
201405,46.3,2.2
201505,48.3,4.2
