Montana, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,-1,-8.0
189601,5.3,-1.7
189701,5.7,-1.3
189801,10.2,3.2
189901,8.2,1.2
190001,16.3,9.3
190101,8.7,1.7
190201,9.1,2.1
190301,12.8,5.8
190401,11,4.0
190501,5.9,-1.1
190601,12.2,5.2
190701,-6.9,-13.9
190801,12.3,5.3
190901,.4,-6.6
191001,9.3,2.3
191101,2.2,-4.8
191201,3.9,-3.1
191301,1.6,-5.4
191401,13.6,6.6
191501,6.8,-0.2
191601,-14.2,-21.2
191701,3.6,-3.4
191801,4.6,-2.4
191901,17.9,10.9
192001,8.3,1.3
192101,14.3,7.3
192201,3.1,-3.9
192301,13.3,6.3
192401,2.2,-4.8
192501,10.2,3.2
192601,14.3,7.3
192701,7.3,0.3
192801,10.9,3.9
192901,-5.4,-12.4
193001,-8,-15.0
193101,17,10.0
193201,6.2,-0.8
193301,10.7,3.7
193401,17.7,10.7
193501,4.5,-2.5
193601,4.3,-2.7
193701,-12.9,-19.9
193801,13.3,6.3
193901,17,10.0
194001,1.1,-5.9
194101,11.6,4.6
194201,8.4,1.4
194301,-2.6,-9.6
194401,13,6.0
194501,11.7,4.7
194601,13.1,6.1
194701,10.5,3.5
194801,11.9,4.9
194901,-8.3,-15.3
195001,-12.6,-19.6
195101,3.5,-3.5
195201,2,-5.0
195301,18.2,11.2
195401,.5,-6.5
195501,8.9,1.9
195601,5.4,-1.6
195701,-4.8,-11.8
195801,16.7,9.7
195901,7.1,0.1
196001,6.2,-0.8
196101,14.4,7.4
196201,5.3,-1.7
196301,-3,-10.0
196401,13.3,6.3
196501,9.8,2.8
196601,2.6,-4.4
196701,13.8,6.8
196801,5.7,-1.3
196901,-5.5,-12.5
197001,6,-1.0
197101,5.6,-1.4
197201,.9,-6.1
197301,9.5,2.5
197401,6.8,-0.2
197501,10,3.0
197601,11.7,4.7
197701,2.5,-4.5
197801,1.4,-5.6
197901,-8,-15.0
198001,2.2,-4.8
198101,18.5,11.5
198201,-3.1,-10.1
198301,17.5,10.5
198401,14.8,7.8
198501,4.8,-2.2
198601,19.6,12.6
198701,14.3,7.3
198801,6.6,-0.4
198901,11.6,4.6
199001,17.2,10.2
199101,6,-1.0
199201,17.3,10.3
199301,2.1,-4.9
199401,11.9,4.9
199501,12.8,5.8
199601,1.1,-5.9
199701,4.3,-2.7
199801,9.1,2.1
199901,12.8,5.8
200001,12.1,5.1
200101,15,8.0
200201,13.5,6.5
200301,14.5,7.5
200401,8,1.0
200501,7.7,0.7
200601,23,16.0
200701,11.3,4.3
200801,6.6,-0.4
200901,11.1,4.1
201001,11.8,4.8
201101,10.3,3.3
201201,14.9,7.9
201301,12.3,5.3
201401,14.5,7.5
201501,14.8,7.8
201601,14.9,7.9
