California, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,53,-0.7
189606,55.6,1.9
189706,54.5,0.8
189806,53.7,0.0
189906,53.4,-0.3
190006,55,1.3
190106,51.9,-1.8
190206,53.2,-0.5
190306,54.6,0.9
190406,53.5,-0.2
190506,51.7,-2.0
190606,52.2,-1.5
190706,51.7,-2.0
190806,49.2,-4.5
190906,54.2,0.5
191006,51.2,-2.5
191106,51.9,-1.8
191206,53.2,-0.5
191306,52.4,-1.3
191406,52.6,-1.1
191506,51.8,-1.9
191606,51.3,-2.4
191706,52.5,-1.2
191806,58.1,4.4
191906,51.8,-1.9
192006,52.8,-0.9
192106,54.6,0.9
192206,54.7,1.0
192306,49.2,-4.5
192406,53.6,-0.1
192506,54.3,0.6
192606,56.7,3.0
192706,53.5,-0.2
192806,53.3,-0.4
192906,52.7,-1.0
193006,53,-0.7
193106,54.2,0.5
193206,53.6,-0.1
193306,52.1,-1.6
193406,52.5,-1.2
193506,54.7,1.0
193606,55.2,1.5
193706,54.5,0.8
193806,54.7,1.0
193906,52.8,-0.9
194006,57,3.3
194106,52.3,-1.4
194206,52.5,-1.2
194306,50.1,-3.6
194406,50.4,-3.3
194506,53.1,-0.6
194606,52.4,-1.3
194706,53.9,0.2
194806,53.4,-0.3
194906,54.6,0.9
195006,52.2,-1.5
195106,53.5,-0.2
195206,50.7,-3.0
195306,50.6,-3.1
195406,52.4,-1.3
195506,52.4,-1.3
195606,53.7,0.0
195706,56.2,2.5
195806,54.4,0.7
195906,55.7,2.0
196006,57.4,3.7
196106,57.3,3.6
196206,53,-0.7
196306,52.6,-1.1
196406,52.8,-0.9
196506,51.3,-2.4
196606,54.3,0.6
196706,52.7,-1.0
196806,55,1.3
196906,54.6,0.9
197006,55.2,1.5
197106,52.9,-0.8
197206,55.5,1.8
197306,56,2.3
197406,55.4,1.7
197506,53.5,-0.2
197606,52.9,-0.8
197706,57.1,3.4
197806,54.3,0.6
197906,53.8,0.1
198006,51.4,-2.3
198106,58.3,4.6
198206,53.4,-0.3
198306,53.6,-0.1
198406,54.2,0.5
198506,57,3.3
198606,56.5,2.8
198706,56.1,2.4
198806,54.3,0.6
198906,55.4,1.7
199006,54.8,1.1
199106,52.2,-1.5
199206,55.5,1.8
199306,54,0.3
199406,55.6,1.9
199506,52.5,-1.2
199606,55.5,1.8
199706,55,1.3
199806,52.5,-1.2
199906,53.3,-0.4
200006,57.3,3.6
200106,56.4,2.7
200206,56,2.3
200306,56.4,2.7
200406,55.6,1.9
200506,52.6,-1.1
200606,58.6,4.9
200706,55.2,1.5
200806,55.5,1.8
200906,54.3,0.6
201006,55.1,1.4
201106,53.3,-0.4
201206,54.3,0.6
201306,57.6,3.9
201406,56.6,2.9
201506,59.6,5.9
