New Jersey, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,37.2,-1.1
189604,40.2,1.9
189704,36.5,-1.8
189804,35.7,-2.6
189904,36,-2.3
190004,37.8,-0.5
190104,38,-0.3
190204,38,-0.3
190304,38.7,0.4
190404,34.9,-3.4
190504,37.3,-1.0
190604,38.1,-0.2
190704,33.7,-4.6
190804,38.3,0.0
190904,38.2,-0.1
191004,40.7,2.4
191104,35.1,-3.2
191204,38.8,0.5
191304,40.9,2.6
191404,36.4,-1.9
191504,40.6,2.3
191604,37.4,-0.9
191704,37.1,-1.2
191804,38.1,-0.2
191904,37.4,-0.9
192004,36.5,-1.8
192104,43.6,5.3
192204,38.4,0.1
192304,36.7,-1.6
192404,35.8,-2.5
192504,38.6,0.3
192604,34.4,-3.9
192704,34.8,-3.5
192804,35,-3.3
192904,40,1.7
193004,35.5,-2.8
193104,37.2,-1.1
193204,35.4,-2.9
193304,39,0.7
193404,36.7,-1.6
193504,37.8,-0.5
193604,36.1,-2.2
193704,37.8,-0.5
193804,39.9,1.6
193904,37,-1.3
194004,34.4,-3.9
194104,41.1,2.8
194204,39,0.7
194304,32.9,-5.4
194404,36.1,-2.2
194504,41.7,3.4
194604,37.2,-1.1
194704,38.3,0.0
194804,38.9,0.6
194904,39,0.7
195004,35.4,-2.9
195104,39,0.7
195204,42.1,3.8
195304,40.2,1.9
195404,40.4,2.1
195504,41.5,3.2
195604,35.7,-2.6
195704,40.9,2.6
195804,40.2,1.9
195904,40.4,2.1
196004,41.1,2.8
196104,36.7,-1.6
196204,39,0.7
196304,37.7,-0.6
196404,37.5,-0.8
196504,36.5,-1.8
196604,35.9,-2.4
196704,37.4,-0.9
196804,38.7,0.4
196904,40.3,2.0
197004,38.1,-0.2
197104,35.5,-2.8
197204,35.4,-2.9
197304,41.2,2.9
197404,40.8,2.5
197504,34.8,-3.5
197604,40.5,2.2
197704,39.7,1.4
197804,37.7,-0.6
197904,39.2,0.9
198004,41,2.7
198104,41.6,3.3
198204,35.7,-2.6
198304,39.5,1.2
198404,39,0.7
198504,41.1,2.8
198604,39.4,1.1
198704,40.5,2.2
198804,38.4,0.1
198904,37.3,-1.0
199004,39.6,1.3
199104,41.7,3.4
199204,37.7,-0.6
199304,39.4,1.1
199404,41.6,3.3
199504,37.3,-1.0
199604,39.9,1.6
199704,37,-1.3
199804,41.1,2.8
199904,38.7,0.4
200004,39.8,1.5
200104,39.9,1.6
200204,42.3,4.0
200304,38.4,0.1
200404,41.3,3.0
200504,40.1,1.8
200604,41,2.7
200704,38.6,0.3
200804,41.7,3.4
200904,41.4,3.1
201004,42.9,4.6
201104,44,5.7
201204,40.8,2.5
201304,40.3,2.0
201404,38.4,0.1
201504,40.1,1.8
