Kansas, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,12.3,-8.9
189602,22.8,1.6
189702,22.5,1.3
189802,22.3,1.1
189902,7.4,-13.8
190002,14.8,-6.4
190102,15.8,-5.4
190202,15.8,-5.4
190302,15.2,-6.0
190402,17.6,-3.6
190502,9.2,-12.0
190602,21.1,-0.1
190702,20.6,-0.6
190802,23.2,2.0
190902,20.3,-0.9
191002,16.6,-4.6
191102,22.2,1.0
191202,20.5,-0.7
191302,13.1,-8.1
191402,15.9,-5.3
191502,27.3,6.1
191602,18.1,-3.1
191702,15.9,-5.3
191802,19.3,-1.9
191902,21.4,0.2
192002,22.3,1.1
192102,25,3.8
192202,18.2,-3.0
192302,16.7,-4.5
192402,22.3,1.1
192502,25.2,4.0
192602,26.5,5.3
192702,24.5,3.3
192802,23.6,2.4
192902,12.9,-8.3
193002,30.7,9.5
193102,27.8,6.6
193202,26.9,5.7
193302,14.7,-6.5
193402,21.7,0.5
193502,25.5,4.3
193602,8,-13.2
193702,20.2,-1.0
193802,24.5,3.3
193902,15.3,-5.9
194002,23.3,2.1
194102,22.8,1.6
194202,20.6,-0.6
194302,24.2,3.0
194402,23.9,2.7
194502,24.3,3.1
194602,25.2,4.0
194702,17,-4.2
194802,19.4,-1.8
194902,20.6,-0.6
195002,22.4,1.2
195102,22.3,1.1
195202,25.7,4.5
195302,24,2.8
195402,29.8,8.6
195502,16.9,-4.3
195602,20,-1.2
195702,25.7,4.5
195802,19,-2.2
195902,20.7,-0.5
196002,16.4,-4.8
196102,23.8,2.6
196202,23.3,2.1
196302,21.5,0.3
196402,20.7,-0.5
196502,17.7,-3.5
196602,19,-2.2
196702,20.1,-1.1
196802,19.8,-1.4
196902,24,2.8
197002,22,0.8
197102,18.5,-2.7
197202,19.9,-1.3
197302,23.6,2.4
197402,23.9,2.7
197502,18.7,-2.5
197602,27.7,6.5
197702,23.7,2.5
197802,12,-9.2
197902,12.4,-8.8
198002,18.6,-2.6
198102,21.8,0.6
198202,16.6,-4.6
198302,25.8,4.6
198402,26.7,5.5
198502,17.1,-4.1
198602,23.6,2.4
198702,29.2,8.0
198802,18.9,-2.3
198902,13.7,-7.5
199002,24.5,3.3
199102,26.1,4.9
199202,29.7,8.5
199302,19,-2.2
199402,17.2,-4.0
199502,25.8,4.6
199602,20.7,-0.5
199702,24.8,3.6
199802,30.1,8.9
199902,29.2,8.0
200002,27.3,6.1
200102,20.6,-0.6
200202,22.9,1.7
200302,19.6,-1.6
200402,20.2,-1.0
200502,28.1,6.9
200602,19.9,-1.3
200702,19.7,-1.5
200802,20.7,-0.5
200902,24.4,3.2
201002,21,-0.2
201102,17,-4.2
201202,25.6,4.4
201302,21.6,0.4
201402,17,-4.2
201502,18.3,-2.9
