Arkansas, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,26.2,-2.9
189601,31.5,2.4
189701,28.6,-0.5
189801,35.2,6.1
189901,28.3,-0.8
190001,32.1,3.0
190101,33.2,4.1
190201,26.2,-2.9
190301,29.2,0.1
190401,25.3,-3.8
190501,22.5,-6.6
190601,30.7,1.6
190701,38.3,9.2
190801,30.3,1.2
190901,33.6,4.5
191001,29.6,0.5
191101,36.1,7.0
191201,21.8,-7.3
191301,31.5,2.4
191401,33.5,4.4
191501,28.1,-1.0
191601,32.6,3.5
191701,31.6,2.5
191801,15.5,-13.6
191901,29.4,0.3
192001,29.2,0.1
192101,35.5,6.4
192201,29.3,0.2
192301,36.1,7.0
192401,24.9,-4.2
192501,28.7,-0.4
192601,29.4,0.3
192701,31.3,2.2
192801,29.4,0.3
192901,27.5,-1.6
193001,23,-6.1
193101,30.2,1.1
193201,35.2,6.1
193301,37.3,8.2
193401,33.5,4.4
193501,31.5,2.4
193601,25.2,-3.9
193701,32.4,3.3
193801,30.5,1.4
193901,33,3.9
194001,16.8,-12.3
194101,32,2.9
194201,24.6,-4.5
194301,27.8,-1.3
194401,30.5,1.4
194501,29.1,0.0
194601,30.9,1.8
194701,32.9,3.8
194801,22.8,-6.3
194901,32.9,3.8
195001,37.4,8.3
195101,29.3,0.2
195201,36.6,7.5
195301,33.4,4.3
195401,29.9,0.8
195501,30.2,1.1
195601,26.8,-2.3
195701,29.3,0.2
195801,27.2,-1.9
195901,26.7,-2.4
196001,31.3,2.2
196101,23.9,-5.2
196201,24.5,-4.6
196301,21.3,-7.8
196401,27.3,-1.8
196501,31.2,2.1
196601,25.8,-3.3
196701,30,0.9
196801,29.1,0.0
196901,30.6,1.5
197001,23.1,-6.0
197101,28.6,-0.5
197201,29.9,0.8
197301,29.1,0.0
197401,32.6,3.5
197501,32.5,3.4
197601,26.3,-2.8
197701,17.6,-11.5
197801,21.2,-7.9
197901,19.7,-9.4
198001,31.5,2.4
198101,26.2,-2.9
198201,23.9,-5.2
198301,29.5,0.4
198401,23.3,-5.8
198501,22.3,-6.8
198601,27.8,-1.3
198701,28.9,-0.2
198801,25.2,-3.9
198901,34,4.9
199001,34.8,5.7
199101,29.7,0.6
199201,31.2,2.1
199301,30.6,1.5
199401,28,-1.1
199501,31.8,2.7
199601,27.1,-2.0
199701,28.8,-0.3
199801,36.2,7.1
199901,32.4,3.3
200001,31.7,2.6
200101,27.5,-1.6
200201,31.6,2.5
200301,26.2,-2.9
200401,31,1.9
200501,36.2,7.1
200601,35.9,6.8
200701,31.1,2.0
200801,28.6,-0.5
200901,27.8,-1.3
201001,27.6,-1.5
201101,27.5,-1.6
201201,33.4,4.3
201301,32.6,3.5
201401,23,-6.1
201501,28,-1.1
201601,29.5,0.4
