Arkansas, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,64.9,4.0
189609,60.2,-0.7
189709,60.7,-0.2
189809,63.8,2.9
189909,57.1,-3.8
190009,66.9,6.0
190109,58.9,-2.0
190209,56.3,-4.6
190309,57,-3.9
190409,62.8,1.9
190509,62.4,1.5
190609,65.3,4.4
190709,60.3,-0.6
190809,61.5,0.6
190909,60.3,-0.6
191009,63.7,2.8
191109,67.3,6.4
191209,60.8,-0.1
191309,60.9,0.0
191409,62.6,1.7
191509,62.9,2.0
191609,59.1,-1.8
191709,59,-1.9
191809,54,-6.9
191909,61.8,0.9
192009,63.3,2.4
192109,68.3,7.4
192209,61.1,0.2
192309,62.2,1.3
192409,56.9,-4.0
192509,67.4,6.5
192609,65.3,4.4
192709,62.7,1.8
192809,56.3,-4.6
192909,60.6,-0.3
193009,63.1,2.2
193109,64.8,3.9
193209,60.9,0.0
193309,66.6,5.7
193409,59,-1.9
193509,58.6,-2.3
193609,66.6,5.7
193709,60.2,-0.7
193809,60.7,-0.2
193909,64.4,3.5
194009,57.2,-3.7
194109,63.4,2.5
194209,58.9,-2.0
194309,58.8,-2.1
194409,61,0.1
194509,62.8,1.9
194609,59.7,-1.2
194709,61.4,0.5
194809,59,-1.9
194909,56.2,-4.7
195009,60.9,0.0
195109,59.8,-1.1
195209,56.5,-4.4
195309,57.2,-3.7
195409,61.2,0.3
195509,61.3,0.4
195609,56.2,-4.7
195709,59.6,-1.3
195809,63.1,2.2
195909,62.4,1.5
196009,61.8,0.9
196109,60.7,-0.2
196209,61.4,0.5
196309,60.8,-0.1
196409,60.5,-0.4
196509,62.3,1.4
196609,58.6,-2.3
196709,57.7,-3.2
196809,56.3,-4.6
196909,60,-0.9
197009,64.5,3.6
197109,63.1,2.2
197209,65.1,4.2
197309,64.6,3.7
197409,56.9,-4.0
197509,56.9,-4.0
197609,58.6,-2.3
197709,64.9,4.0
197809,63.9,3.0
197909,57.9,-3.0
198009,64.4,3.5
198109,58,-2.9
198209,58.6,-2.3
198309,59.5,-1.4
198409,58.9,-2.0
198509,59.9,-1.0
198609,64.7,3.8
198709,59.3,-1.6
198809,61.7,0.8
198909,59,-1.9
199009,63.6,2.7
199109,61.2,0.3
199209,59.3,-1.6
199309,58.6,-2.3
199409,57.9,-3.0
199509,58.6,-2.3
199609,58.9,-2.0
199709,60.9,0.0
199809,66.5,5.6
199909,58.1,-2.8
200009,60.2,-0.7
200109,59.3,-1.6
200209,63.6,2.7
200309,59.1,-1.8
200409,60.1,-0.8
200509,64.7,3.8
200609,56.9,-4.0
200709,63.5,2.6
200809,61.3,0.4
200909,62.6,1.7
201009,62.5,1.6
201109,57.1,-3.8
201209,62.5,1.6
201309,62.9,2.0
201409,62,1.1
201509,62.7,1.8
