South Carolina, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,40.4,-1.4
189603,39.5,-2.3
189703,45.5,3.7
189803,48.1,6.3
189903,42.6,0.8
190003,39.4,-2.4
190103,39.9,-1.9
190203,41.5,-0.3
190303,50.5,8.7
190403,42.9,1.1
190503,44.7,2.9
190603,39.3,-2.5
190703,48,6.2
190803,48.4,6.6
190903,41.4,-0.4
191003,45.3,3.5
191103,40.1,-1.7
191203,40.8,-1.0
191303,44.8,3.0
191403,36.1,-5.7
191503,32.6,-9.2
191603,38.8,-3.0
191703,41.7,-0.1
191803,46.2,4.4
191903,43.9,2.1
192003,39.2,-2.6
192103,49.2,7.4
192203,43.2,1.4
192303,43.8,2.0
192403,38.5,-3.3
192503,42.6,0.8
192603,35.6,-6.2
192703,44,2.2
192803,42.1,0.3
192903,46.1,4.3
193003,39.1,-2.7
193103,37.1,-4.7
193203,38.6,-3.2
193303,41.3,-0.5
193403,39.2,-2.6
193503,46.7,4.9
193603,44.2,2.4
193703,38.5,-3.3
193803,46.7,4.9
193903,44.5,2.7
194003,38.6,-3.2
194103,35.4,-6.4
194203,42.2,0.4
194303,40.2,-1.6
194403,41.5,-0.3
194503,50,8.2
194603,47.4,5.6
194703,35,-6.8
194803,45.7,3.9
194903,41.3,-0.5
195003,39,-2.8
195103,42.8,1.0
195203,40.8,-1.0
195303,43.2,1.4
195403,41.3,-0.5
195503,43.9,2.1
195603,40.1,-1.7
195703,41.5,-0.3
195803,39,-2.8
195903,39.3,-2.5
196003,31.4,-10.4
196103,44.1,2.3
196203,38.7,-3.1
196303,43.4,1.6
196403,41.1,-0.7
196503,39.8,-2.0
196603,38.2,-3.6
196703,43.1,1.3
196803,38.2,-3.6
196903,35.6,-6.2
197003,41.8,0.0
197103,37.1,-4.7
197203,41,-0.8
197303,47.4,5.6
197403,44.9,3.1
197503,40.7,-1.1
197603,46.4,4.6
197703,45.5,3.7
197803,39.1,-2.7
197903,42.6,0.8
198003,39.9,-1.9
198103,37,-4.8
198203,44.2,2.4
198303,41.7,-0.1
198403,40.8,-1.0
198503,42.9,1.1
198603,41.3,-0.5
198703,41.4,-0.4
198803,40.3,-1.5
198903,44.5,2.7
199003,46,4.2
199103,44.8,3.0
199203,40.5,-1.3
199303,39.8,-2.0
199403,43.7,1.9
199503,44,2.2
199603,38.5,-3.3
199703,47.7,5.9
199803,41.6,-0.2
199903,38,-3.8
200003,44.5,2.7
200103,40.7,-1.1
200203,43,1.2
200303,46.5,4.7
200403,43.7,1.9
200503,40.2,-1.6
200603,42,0.2
200703,44.7,2.9
200803,41.5,-0.3
200903,42.9,1.1
201003,40.1,-1.7
201103,43.6,1.8
201203,51.1,9.3
201303,36.2,-5.6
201403,37.5,-4.3
201503,44.7,2.9
