Ohio, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,9.3,-10.7
189602,21.5,1.5
189702,24.7,4.7
189802,20.8,0.8
189902,12.2,-7.8
190002,15.2,-4.8
190102,11.4,-8.6
190202,12.5,-7.5
190302,20.3,0.3
190402,12.4,-7.6
190502,11.3,-8.7
190602,14.9,-5.1
190702,15.9,-4.1
190802,18.6,-1.4
190902,24.7,4.7
191002,15.3,-4.7
191102,25.4,5.4
191202,11.7,-8.3
191302,16.3,-3.7
191402,10.5,-9.5
191502,25.8,5.8
191602,16.7,-3.3
191702,13.9,-6.1
191802,18.6,-1.4
191902,22.7,2.7
192002,18.9,-1.1
192102,25.8,5.8
192202,24,4.0
192302,16.5,-3.5
192402,19.8,-0.2
192502,25.1,5.1
192602,22.7,2.7
192702,26.5,6.5
192802,21.8,1.8
192902,14.5,-5.5
193002,27.9,7.9
193102,25.3,5.3
193202,27.6,7.6
193302,20.3,0.3
193402,8.4,-11.6
193502,22,2.0
193602,11.2,-8.8
193702,21.3,1.3
193802,27.5,7.5
193902,21.2,1.2
194002,21.1,1.1
194102,17.9,-2.1
194202,17.5,-2.5
194302,20.1,0.1
194402,22.1,2.1
194502,21,1.0
194602,21.9,1.9
194702,13.5,-6.5
194802,18.5,-1.5
194902,24.9,4.9
195002,22.6,2.6
195102,20.1,0.1
195202,24.5,4.5
195302,23.7,3.7
195402,26.8,6.8
195502,21.4,1.4
195602,24.1,4.1
195702,25.4,5.4
195802,14.4,-5.6
195902,20.6,0.6
196002,20.7,0.7
196102,24.4,4.4
196202,19.9,-0.1
196302,10.6,-9.4
196402,17.3,-2.7
196502,17.4,-2.6
196602,20.8,0.8
196702,15.6,-4.4
196802,13.6,-6.4
196902,21.7,1.7
197002,18,-2.0
197102,20.8,0.8
197202,17.2,-2.8
197302,20.1,0.1
197402,19.6,-0.4
197502,23.6,3.6
197602,25.9,5.9
197702,16.6,-3.4
197802,5,-15.0
197902,8.4,-11.6
198002,14.6,-5.4
198102,21.3,1.3
198202,18.5,-1.5
198302,23.9,3.9
198402,26.5,6.5
198502,15.7,-4.3
198602,23.7,3.7
198702,23.2,3.2
198802,18.8,-1.2
198902,20.1,0.1
199002,26.5,6.5
199102,25.6,5.6
199202,26.7,6.7
199302,17.5,-2.5
199402,18.3,-1.7
199502,17.6,-2.4
199602,20.3,0.3
199702,26.4,6.4
199802,31.4,11.4
199902,26.1,6.1
200002,26.8,6.8
200102,25.8,5.8
200202,25,5.0
200302,17.8,-2.2
200402,21.3,1.3
200502,24.5,4.5
200602,23.3,3.3
200702,11.1,-8.9
200802,20.1,0.1
200902,21.9,1.9
201002,19,-1.0
201102,21.9,1.9
201202,26.7,6.7
201302,21.6,1.6
201402,14.1,-5.9
201502,7.1,-12.9
