Texas, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,26.7,-10.0
189602,35.5,-1.2
189702,38.1,1.4
189802,38.3,1.6
189902,25.9,-10.8
190002,34.7,-2.0
190102,34.3,-2.4
190202,34.5,-2.2
190302,34,-2.7
190402,38.4,1.7
190502,27.3,-9.4
190602,34.8,-1.9
190702,36.6,-0.1
190802,37.2,0.5
190902,37.1,0.4
191002,31,-5.7
191102,41.4,4.7
191202,31.8,-4.9
191302,33.6,-3.1
191402,33,-3.7
191502,38.4,1.7
191602,36,-0.7
191702,35.3,-1.4
191802,36.6,-0.1
191902,35.8,-0.9
192002,39.3,2.6
192102,36.7,0.0
192202,38.6,1.9
192302,36.5,-0.2
192402,35.1,-1.6
192502,38.9,2.2
192602,38.8,2.1
192702,41.8,5.1
192802,37,0.3
192902,29.9,-6.8
193002,41.3,4.6
193102,41,4.3
193202,43.7,7.0
193302,33,-3.7
193402,36,-0.7
193502,36.6,-0.1
193602,30.4,-6.3
193702,36.1,-0.6
193802,42.5,5.8
193902,32.7,-4.0
194002,35.7,-1.0
194102,37.5,0.8
194202,35,-1.7
194302,37.6,0.9
194402,41.6,4.9
194502,38.6,1.9
194602,36.8,0.1
194702,30.5,-6.2
194802,36,-0.7
194902,39.1,2.4
195002,40.6,3.9
195102,35.5,-1.2
195202,38.9,2.2
195302,36.1,-0.6
195402,39.9,3.2
195502,35.6,-1.1
195602,36.8,0.1
195702,45.7,9.0
195802,35,-1.7
195902,37.3,0.6
196002,31.3,-5.4
196102,36.8,0.1
196202,40.8,4.1
196302,32.9,-3.8
196402,31.4,-5.3
196502,34.1,-2.6
196602,32.6,-4.1
196702,34.2,-2.5
196802,33.6,-3.1
196902,38.1,1.4
197002,37.2,0.5
197102,35.5,-1.2
197202,36.1,-0.6
197302,35,-1.7
197402,35.2,-1.5
197502,35.2,-1.5
197602,41.3,4.6
197702,36.5,-0.2
197802,30.3,-6.4
197902,33.8,-2.9
198002,34.9,-1.8
198102,37.2,0.5
198202,34.4,-2.3
198302,37,0.3
198402,35.7,-1.0
198502,34.7,-2.0
198602,40.2,3.5
198702,40.1,3.4
198802,35.2,-1.5
198902,34.8,-1.9
199002,40.1,3.4
199102,39.7,3.0
199202,41.5,4.8
199302,37.6,0.9
199402,36,-0.7
199502,39.9,3.2
199602,38.7,2.0
199702,38.9,2.2
199802,39.4,2.7
199902,42.2,5.5
200002,43,6.3
200102,40.4,3.7
200202,33.7,-3.0
200302,37.3,0.6
200402,36.3,-0.4
200502,42.6,5.9
200602,36.3,-0.4
200702,36.5,-0.2
200802,38,1.3
200902,40.6,3.9
201002,33.9,-2.8
201102,34.5,-2.2
201202,40.6,3.9
201302,38.4,1.7
201402,35.7,-1.0
201502,36,-0.7
201602,39.7,3.0
