Massachusetts, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,22.3,-2.3
189603,19.2,-5.4
189703,23.9,-0.7
189803,29,4.4
189903,22.6,-2.0
190003,18.7,-5.9
190103,23.8,-0.8
190203,30.4,5.8
190303,31.3,6.7
190403,21.4,-3.2
190503,21.6,-3.0
190603,18.8,-5.8
190703,24.1,-0.5
190803,24.2,-0.4
190903,23.6,-1.0
191003,27.5,2.9
191103,20.4,-4.2
191203,21.1,-3.5
191303,27.3,2.7
191403,23.6,-1.0
191503,21,-3.6
191603,16.1,-8.5
191703,23.7,-0.9
191803,22.2,-2.4
191903,27.1,2.5
192003,22.7,-1.9
192103,30.3,5.7
192203,24.7,0.1
192303,18.1,-6.5
192403,24,-0.6
192503,27,2.4
192603,19.9,-4.7
192703,26.7,2.1
192803,23.5,-1.1
192903,27.3,2.7
193003,24.6,0.0
193103,27,2.4
193203,21.9,-2.7
193303,24.5,-0.1
193403,20.6,-4.0
193503,25.3,0.7
193603,30.3,5.7
193703,21.1,-3.5
193803,26.1,1.5
193903,20.9,-3.7
194003,20.4,-4.2
194103,20.2,-4.4
194203,28.7,4.1
194303,22.8,-1.8
194403,21.4,-3.2
194503,31.4,6.8
194603,30.3,5.7
194703,23.7,-0.9
194803,22.8,-1.8
194903,25.8,1.2
195003,19.1,-5.5
195103,27.5,2.9
195203,25.5,0.9
195303,28,3.4
195403,25.4,0.8
195503,25,0.4
195603,20.6,-4.0
195703,26.4,1.8
195803,28.7,4.1
195903,23.1,-1.5
196003,18.8,-5.8
196103,24.4,-0.2
196203,25.3,0.7
196303,25.5,0.9
196403,25.8,1.2
196503,24.3,-0.3
196603,25.9,1.3
196703,20.5,-4.1
196803,26.4,1.8
196903,23.2,-1.4
197003,23.2,-1.4
197103,24.2,-0.4
197203,23.2,-1.4
197303,30.8,6.2
197403,25.1,0.5
197503,23.1,-1.5
197603,25.7,1.1
197703,30,5.4
197803,20.8,-3.8
197903,29.2,4.6
198003,24.1,-0.5
198103,26,1.4
198203,23.1,-1.5
198303,29.6,5.0
198403,21.1,-3.5
198503,25.7,1.1
198603,25.7,1.1
198703,26,1.4
198803,24.7,0.1
198903,23.6,-1.0
199003,25.4,0.8
199103,29,4.4
199203,22.8,-1.8
199303,22.2,-2.4
199403,24.9,0.3
199503,28.5,3.9
199603,21.2,-3.4
199703,24.8,0.2
199803,28.6,4.0
199903,26.9,2.3
200003,29.9,5.3
200103,24.8,0.2
200203,27.2,2.6
200303,22.7,-1.9
200403,27.7,3.1
200503,21.3,-3.3
200603,25.2,0.6
200703,23.2,-1.4
200803,25.2,0.6
200903,25.4,0.8
201003,32.2,7.6
201103,26.2,1.6
201203,33.7,9.1
201303,26.7,2.1
201403,18.5,-6.1
201503,19.1,-5.5
