Nevada, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,47.4,-1.0
189606,51.7,3.3
189706,48.8,0.4
189806,50.6,2.2
189906,47.5,-0.9
190006,52.6,4.2
190106,46.9,-1.5
190206,50,1.6
190306,51.6,3.2
190406,48.2,-0.2
190506,45.7,-2.7
190606,45.3,-3.1
190706,43.6,-4.8
190806,43.7,-4.7
190906,50.9,2.5
191006,48.2,-0.2
191106,49.1,0.7
191206,47.7,-0.7
191306,46.7,-1.7
191406,47.3,-1.1
191506,45.8,-2.6
191606,45.5,-2.9
191706,46.6,-1.8
191806,54.9,6.5
191906,47.2,-1.2
192006,47.4,-1.0
192106,51.5,3.1
192206,50.6,2.2
192306,43.8,-4.6
192406,48.5,0.1
192506,48.5,0.1
192606,53.5,5.1
192706,49.5,1.1
192806,47.5,-0.9
192906,46.8,-1.6
193006,48.6,0.2
193106,50.3,1.9
193206,49.1,0.7
193306,49,0.6
193406,46.5,-1.9
193506,49.1,0.7
193606,50.8,2.4
193706,48.2,-0.2
193806,49.4,1.0
193906,47.3,-1.1
194006,52.3,3.9
194106,46.8,-1.6
194206,46.7,-1.7
194306,44.6,-3.8
194406,43.7,-4.7
194506,45.3,-3.1
194606,47.1,-1.3
194706,46.3,-2.1
194806,47.8,-0.6
194906,48.1,-0.3
195006,46,-2.4
195106,47,-1.4
195206,45.8,-2.6
195306,45.1,-3.3
195406,46.7,-1.7
195506,47.6,-0.8
195606,47.8,-0.6
195706,49.5,1.1
195806,48.5,0.1
195906,50.9,2.5
196006,51.5,3.1
196106,52.8,4.4
196206,48,-0.4
196306,46.1,-2.3
196406,47.1,-1.3
196506,46.2,-2.2
196606,48.2,-0.2
196706,47.1,-1.3
196806,49.9,1.5
196906,49.3,0.9
197006,49.5,1.1
197106,47.8,-0.6
197206,51.8,3.4
197306,49.7,1.3
197406,50.5,2.1
197506,47.1,-1.3
197606,47.2,-1.2
197706,53.5,5.1
197806,47.2,-1.2
197906,48,-0.4
198006,46.4,-2.0
198106,52.2,3.8
198206,48.1,-0.3
198306,48.1,-0.3
198406,47.5,-0.9
198506,51.9,3.5
198606,52.3,3.9
198706,51.9,3.5
198806,51.4,3.0
198906,49.8,1.4
199006,49.9,1.5
199106,47.3,-1.1
199206,50.3,1.9
199306,46.7,-1.7
199406,51.1,2.7
199506,45.9,-2.5
199606,50.5,2.1
199706,50.2,1.8
199806,45.7,-2.7
199906,48.7,0.3
200006,51.8,3.4
200106,50.4,2.0
200206,51.1,2.7
200306,51.7,3.3
200406,51,2.6
200506,46.5,-1.9
200606,52.8,4.4
200706,50.7,2.3
200806,48.9,0.5
200906,49.2,0.8
201006,49.7,1.3
201106,47,-1.4
201206,49.1,0.7
201306,51.9,3.5
201406,50.5,2.1
201506,55.2,6.8
