New Mexico, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,20.8,1.0
189601,21.5,1.7
189701,19.9,0.1
189801,17.9,-1.9
189901,16.8,-3.0
190001,23.4,3.6
190101,21.1,1.3
190201,20.9,1.1
190301,21.5,1.7
190401,15.2,-4.6
190501,21.4,1.6
190601,19.2,-0.6
190701,27.1,7.3
190801,20.7,0.9
190901,25.4,5.6
191001,22.4,2.6
191101,27.3,7.5
191201,17.6,-2.2
191301,15,-4.8
191401,24.9,5.1
191501,17,-2.8
191601,24.5,4.7
191701,20.1,0.3
191801,15.8,-4.0
191901,13.7,-6.1
192001,22.2,2.4
192101,22.9,3.1
192201,16.9,-2.9
192301,24.2,4.4
192401,16.4,-3.4
192501,14.7,-5.1
192601,16.3,-3.5
192701,23.8,4.0
192801,20,0.2
192901,18.6,-1.2
193001,15.5,-4.3
193101,18.3,-1.5
193201,16.1,-3.7
193301,18.2,-1.6
193401,18.5,-1.3
193501,23.9,4.1
193601,19.4,-0.4
193701,12.7,-7.1
193801,21,1.2
193901,20.4,0.6
194001,18.6,-1.2
194101,23.1,3.3
194201,19.7,-0.1
194301,21.7,1.9
194401,16.4,-3.4
194501,20.5,0.7
194601,17.6,-2.2
194701,16.9,-2.9
194801,16.8,-3.0
194901,16.6,-3.2
195001,21.1,1.3
195101,18.2,-1.6
195201,24.4,4.6
195301,24.2,4.4
195401,21.3,1.5
195501,18.9,-0.9
195601,24,4.2
195701,24.7,4.9
195801,19,-0.8
195901,18.4,-1.4
196001,17,-2.8
196101,17,-2.8
196201,16.9,-2.9
196301,13.6,-6.2
196401,14.1,-5.7
196501,23.1,3.3
196601,15.5,-4.3
196701,16.8,-3.0
196801,20.2,0.4
196901,25.2,5.4
197001,18,-1.8
197101,18.4,-1.4
197201,19.6,-0.2
197301,18.1,-1.7
197401,19.7,-0.1
197501,19,-0.8
197601,16.9,-2.9
197701,17.1,-2.7
197801,21.8,2.0
197901,17.7,-2.1
198001,24.5,4.7
198101,22.5,2.7
198201,20.7,0.9
198301,21.2,1.4
198401,18.6,-1.2
198501,20.1,0.3
198601,22.5,2.7
198701,18.5,-1.3
198801,17.8,-2.0
198901,19.4,-0.4
199001,18.2,-1.6
199101,20.1,0.3
199201,19.3,-0.5
199301,25.6,5.8
199401,19,-0.8
199501,23.5,3.7
199601,20.7,0.9
199701,20.6,0.8
199801,23.1,3.3
199901,24.1,4.3
200001,23.3,3.5
200101,19.1,-0.7
200201,21.7,1.9
200301,24.5,4.7
200401,23.3,3.5
200501,27.4,7.6
200601,21.6,1.8
200701,18.8,-1.0
200801,18.5,-1.3
200901,22,2.2
201001,19.8,0.0
201101,17.9,-1.9
201201,23.8,4.0
201301,17.6,-2.2
201401,20,0.2
201501,23.4,3.6
201601,21.2,1.4
