Louisiana, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,70.2,0.8
189606,69.6,0.2
189706,70.5,1.1
189806,70.8,1.4
189906,69.6,0.2
190006,71.2,1.8
190106,69.6,0.2
190206,69.9,0.5
190306,65.3,-4.1
190406,69.3,-0.1
190506,71.9,2.5
190606,70.6,1.2
190706,68.4,-1.0
190806,70.9,1.5
190906,70.5,1.1
191006,67.6,-1.8
191106,71.5,2.1
191206,68.7,-0.7
191306,68,-1.4
191406,72.2,2.8
191506,71,1.6
191606,69.8,0.4
191706,67.4,-2.0
191806,71.6,2.2
191906,69.2,-0.2
192006,67.7,-1.7
192106,70.1,0.7
192206,70.1,0.7
192306,69.5,0.1
192406,71.6,2.2
192506,70.8,1.4
192606,68.3,-1.1
192706,70.9,1.5
192806,69.8,0.4
192906,68.6,-0.8
193006,66.1,-3.3
193106,67.4,-2.0
193206,70.4,1.0
193306,66.1,-3.3
193406,70.7,1.3
193506,69,-0.4
193606,69.1,-0.3
193706,69.9,0.5
193806,68.6,-0.8
193906,70.7,1.3
194006,68.9,-0.5
194106,70.2,0.8
194206,70.5,1.1
194306,71.4,2.0
194406,70.6,1.2
194506,70.1,0.7
194606,68.4,-1.0
194706,70.2,0.8
194806,69.5,0.1
194906,70.6,1.2
195006,69.7,0.3
195106,69.9,0.5
195206,70.5,1.1
195306,72.1,2.7
195406,69.5,0.1
195506,64.9,-4.5
195606,67.7,-1.7
195706,70.5,1.1
195806,70.7,1.3
195906,69.5,0.1
196006,68.7,-0.7
196106,66.9,-2.5
196206,68.9,-0.5
196306,69.4,0.0
196406,69.1,-0.3
196506,68.1,-1.3
196606,66.6,-2.8
196706,69.4,0.0
196806,69.2,-0.2
196906,68.9,-0.5
197006,68.3,-1.1
197106,69,-0.4
197206,69.2,-0.2
197306,69.5,0.1
197406,66.8,-2.6
197506,69.4,0.0
197606,66.3,-3.1
197706,70.1,0.7
197806,69.7,0.3
197906,68.4,-1.0
198006,70.2,0.8
198106,71.9,2.5
198206,69.3,-0.1
198306,67.8,-1.6
198406,68.3,-1.1
198506,69.1,-0.3
198606,71,1.6
198706,69.6,0.2
198806,66.9,-2.5
198906,69.3,-0.1
199006,71.5,2.1
199106,70.8,1.4
199206,69.2,-0.2
199306,70.7,1.3
199406,71.4,2.0
199506,67.4,-2.0
199606,69,-0.4
199706,69.2,-0.2
199806,73.4,4.0
199906,70.7,1.3
200006,70.1,0.7
200106,69,-0.4
200206,69.2,-0.2
200306,70.6,1.2
200406,70.7,1.3
200506,69.7,0.3
200606,68.7,-0.7
200706,70.4,1.0
200806,71.3,1.9
200906,70.9,1.5
201006,74,4.6
201106,72.7,3.3
201206,70.1,0.7
201306,71.6,2.2
201406,71.3,1.9
201506,71.5,2.1
