New Mexico, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,45.3,1.2
189605,45.8,1.7
189705,47.8,3.7
189805,44.5,0.4
189905,42.5,-1.6
190005,46.2,2.1
190105,46,1.9
190205,45.3,1.2
190305,42.5,-1.6
190405,44.9,0.8
190505,44.3,0.2
190605,43.5,-0.6
190705,40.7,-3.4
190805,41.4,-2.7
190905,41,-3.1
191005,45.5,1.4
191105,44.9,0.8
191205,43.5,-0.6
191305,44.4,0.3
191405,45.7,1.6
191505,41.6,-2.5
191605,43,-1.1
191705,39.6,-4.5
191805,43.8,-0.3
191905,45.6,1.5
192005,44.8,0.7
192105,44.8,0.7
192205,45.1,1.0
192305,44.8,0.7
192405,43.9,-0.2
192505,47.3,3.2
192605,44.8,0.7
192705,45.4,1.3
192805,45.8,1.7
192905,44.2,0.1
193005,41.6,-2.5
193105,43.1,-1.0
193205,44.1,0.0
193305,41,-3.1
193405,48.4,4.3
193505,43,-1.1
193605,46.7,2.6
193705,46.2,2.1
193805,43.4,-0.7
193905,44.7,0.6
194005,45.4,1.3
194105,46.6,2.5
194205,41.9,-2.2
194305,44.2,0.1
194405,43,-1.1
194505,43.8,-0.3
194605,42.5,-1.6
194705,45.6,1.5
194805,45.1,1.0
194905,44.2,0.1
195005,42,-2.1
195105,44.3,0.2
195205,44.7,0.6
195305,40.8,-3.3
195405,45.5,1.4
195505,43.8,-0.3
195605,45.2,1.1
195705,43.3,-0.8
195805,46.5,2.4
195905,44.5,0.4
196005,42.2,-1.9
196105,43.8,-0.3
196205,43.2,-0.9
196305,46,1.9
196405,44.6,0.5
196505,43.2,-0.9
196605,45.4,1.3
196705,41.7,-2.4
196805,43,-1.1
196905,44.7,0.6
197005,43.1,-1.0
197105,41.5,-2.6
197205,42.6,-1.5
197305,42.7,-1.4
197405,45.9,1.8
197505,39.9,-4.2
197605,43.3,-0.8
197705,44,-0.1
197805,43.4,-0.7
197905,44,-0.1
198005,42.4,-1.7
198105,44.8,0.7
198205,43.1,-1.0
198305,40.4,-3.7
198405,47.2,3.1
198505,45.3,1.2
198605,44.1,0.0
198705,44,-0.1
198805,43.3,-0.8
198905,46.3,2.2
199005,43.9,-0.2
199105,43.7,-0.4
199205,46,1.9
199305,44.3,0.2
199405,45.8,1.7
199505,43.2,-0.9
199605,48.5,4.4
199705,46.1,2.0
199805,43.8,-0.3
199905,44,-0.1
200005,47.9,3.8
200105,46.5,2.4
200205,44.7,0.6
200305,46,1.9
200405,46,1.9
200505,45.9,1.8
200605,47.6,3.5
200705,45.3,1.2
200805,43.4,-0.7
200905,47.9,3.8
201005,43,-1.1
201105,42.4,-1.7
201205,46.6,2.5
201305,44.7,0.6
201405,43.7,-0.4
201505,43.8,-0.3
