Wisconsin, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,-2.7,-5.7
189601,6.5,3.5
189701,3.9,0.9
189801,9.4,6.4
189901,.3,-2.7
190001,10.9,7.9
190101,4.7,1.7
190201,6,3.0
190301,3.5,0.5
190401,-4.4,-7.4
190501,-4.5,-7.5
190601,9.3,6.3
190701,1.3,-1.7
190801,7.1,4.1
190901,5.8,2.8
191001,2.7,-0.3
191101,1.7,-1.3
191201,-15.2,-18.2
191301,3.4,0.4
191401,12.5,9.5
191501,1.2,-1.8
191601,2.7,-0.3
191701,-4.3,-7.3
191801,-7.3,-10.3
191901,11.4,8.4
192001,-5.2,-8.2
192101,12.3,9.3
192201,-.8,-3.8
192301,7.1,4.1
192401,-7.2,-10.2
192501,2.9,-0.1
192601,3.3,0.3
192701,.3,-2.7
192801,6.2,3.2
192901,-10.3,-13.3
193001,-3.8,-6.8
193101,13.6,10.6
193201,13.1,10.1
193301,12.8,9.8
193401,12.5,9.5
193501,-.7,-3.7
193601,-2.1,-5.1
193701,-3.1,-6.1
193801,3.9,0.9
193901,11.1,8.1
194001,-1.8,-4.8
194101,8.8,5.8
194201,7.7,4.7
194301,-.5,-3.5
194401,14,11.0
194501,1.5,-1.5
194601,6.6,3.6
194701,8.5,5.5
194801,-3.8,-6.8
194901,7.4,4.4
195001,-.1,-3.1
195101,-.5,-3.5
195201,3.9,0.9
195301,9.4,6.4
195401,2.6,-0.4
195501,3.9,0.9
195601,4.6,1.6
195701,-2.5,-5.5
195801,9.9,6.9
195901,-3.6,-6.6
196001,9.3,6.3
196101,3.4,0.4
196201,-.1,-3.1
196301,-5.2,-8.2
196401,10.4,7.4
196501,.5,-2.5
196601,-5.5,-8.5
196701,6.9,3.9
196801,4.6,1.6
196901,2.6,-0.4
197001,-3.4,-6.4
197101,-3.7,-6.7
197201,-3.7,-6.7
197301,8.4,5.4
197401,5,2.0
197501,6.5,3.5
197601,-.7,-3.7
197701,-9.7,-12.7
197801,-2.1,-5.1
197901,-7,-10.0
198001,5,2.0
198101,4.8,1.8
198201,-7.7,-10.7
198301,11.1,8.1
198401,1.9,-1.1
198501,.4,-2.6
198601,5,2.0
198701,11.4,8.4
198801,-.4,-3.4
198901,11.9,8.9
199001,14.7,11.7
199101,.8,-2.2
199201,13.1,10.1
199301,5.6,2.6
199401,-6.2,-9.2
199501,9.2,6.2
199601,-1.2,-4.2
199701,2.9,-0.1
199801,13.8,10.8
199901,3.3,0.3
200001,5.3,2.3
200101,10,7.0
200201,15.9,12.9
200301,4.9,1.9
200401,2.3,-0.7
200501,5.8,2.8
200601,21.1,18.1
200701,12.3,9.3
200801,6.1,3.1
200901,-4.7,-7.7
201001,7.4,4.4
201101,4.4,1.4
201201,11.8,8.8
201301,7.5,4.5
201401,-4.2,-7.2
201501,7.7,4.7
201601,8.7,5.7
