New Hampshire, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,28.9,-0.6
189604,29.9,0.4
189704,30.2,0.7
189804,27.4,-2.1
189904,26.9,-2.6
190004,29,-0.5
190104,32.8,3.3
190204,31.2,1.7
190304,28.6,-0.9
190404,28,-1.5
190504,28,-1.5
190604,27.7,-1.8
190704,25.8,-3.7
190804,26.5,-3.0
190904,28.4,-1.1
191004,33.9,4.4
191104,24.7,-4.8
191204,28.1,-1.4
191304,31.4,1.9
191404,26.4,-3.1
191504,32.9,3.4
191604,29.4,-0.1
191704,28.6,-0.9
191804,28,-1.5
191904,29.3,-0.2
192004,28,-1.5
192104,34.3,4.8
192204,29.3,-0.2
192304,27.6,-1.9
192404,28.4,-1.1
192504,29.8,0.3
192604,24.2,-5.3
192704,27.7,-1.8
192804,27.3,-2.2
192904,30,0.5
193004,26.2,-3.3
193104,30,0.5
193204,28.8,-0.7
193304,30.6,1.1
193404,30.5,1.0
193504,29.8,0.3
193604,30.1,0.6
193704,28.4,-1.1
193804,31.3,1.8
193904,26.7,-2.8
194004,26.9,-2.6
194104,32.5,3.0
194204,31.1,1.6
194304,24.2,-5.3
194404,25.3,-4.2
194504,33.2,3.7
194604,28.7,-0.8
194704,27.7,-1.8
194804,29.7,0.2
194904,32,2.5
195004,27.3,-2.2
195104,32.6,3.1
195204,32.3,2.8
195304,32.9,3.4
195404,29.1,-0.4
195504,32.3,2.8
195604,27.1,-2.4
195704,30.9,1.4
195804,31,1.5
195904,29.9,0.4
196004,31.2,1.7
196104,30.2,0.7
196204,29.2,-0.3
196304,28.1,-1.4
196404,28.5,-1.0
196504,27,-2.5
196604,27.3,-2.2
196704,27.2,-2.3
196804,31.3,1.8
196904,29,-0.5
197004,28.6,-0.9
197104,27.2,-2.3
197204,25.3,-4.2
197304,32.4,2.9
197404,30.6,1.1
197504,25.7,-3.8
197604,32.3,2.8
197704,29.9,0.4
197804,27.8,-1.7
197904,31.2,1.7
198004,31.3,1.8
198104,32.2,2.7
198204,26.7,-2.8
198304,32.5,3.0
198404,31.6,2.1
198504,30.2,0.7
198604,33.2,3.7
198704,33.6,4.1
198804,31.6,2.1
198904,27.4,-2.1
199004,31.7,2.2
199104,32.3,2.8
199204,28.6,-0.9
199304,31.1,1.6
199404,30.2,0.7
199504,26.6,-2.9
199604,30.7,1.2
199704,27.5,-2.0
199804,31.3,1.8
199904,30.2,0.7
200004,31.6,2.1
200104,28,-1.5
200204,32.7,3.2
200304,27.3,-2.2
200404,31.1,1.6
200504,31.2,1.7
200604,31.2,1.7
200704,29.4,-0.1
200804,30.8,1.3
200904,32.3,2.8
201004,34.3,4.8
201104,32.2,2.7
201204,31.8,2.3
201304,29.9,0.4
201404,29.3,-0.2
201504,29.2,-0.3
