Oregon, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,31.7,-0.8
189604,30.2,-2.3
189704,33.7,1.2
189804,32.9,0.4
189904,31.4,-1.1
190004,32.6,0.1
190104,29.9,-2.6
190204,31.4,-1.1
190304,29.7,-2.8
190404,34.1,1.6
190504,32.8,0.3
190604,32.8,0.3
190704,32.2,-0.3
190804,31.5,-1.0
190904,29.2,-3.3
191004,34.5,2.0
191104,28.5,-4.0
191204,31.4,-1.1
191304,31.5,-1.0
191404,34.2,1.7
191504,35,2.5
191604,32.3,-0.2
191704,31.6,-0.9
191804,29.7,-2.8
191904,32.7,0.2
192004,30.1,-2.4
192104,31.1,-1.4
192204,28.8,-3.7
192304,32.3,-0.2
192404,30.1,-2.4
192504,34.7,2.2
192604,36.4,3.9
192704,30.6,-1.9
192804,32,-0.5
192904,30.3,-2.2
193004,35.4,2.9
193104,32.5,0.0
193204,33.1,0.6
193304,30.8,-1.7
193404,36.7,4.2
193504,32.5,0.0
193604,35.8,3.3
193704,32.2,-0.3
193804,34.2,1.7
193904,33.4,0.9
194004,34.9,2.4
194104,33.6,1.1
194204,33.6,1.1
194304,35.9,3.4
194404,32.7,0.2
194504,31.6,-0.9
194604,32.9,0.4
194704,33.9,1.4
194804,31.4,-1.1
194904,33,0.5
195004,30.7,-1.8
195104,32,-0.5
195204,32.7,0.2
195304,31.5,-1.0
195404,32.3,-0.2
195504,29.6,-2.9
195604,32.8,0.3
195704,33.6,1.1
195804,33,0.5
195904,32.6,0.1
196004,33.2,0.7
196104,32,-0.5
196204,33.8,1.3
196304,31.6,-0.9
196404,29.5,-3.0
196504,34.7,2.2
196604,31.5,-1.0
196704,29.1,-3.4
196804,29.4,-3.1
196904,32,-0.5
197004,28.3,-4.2
197104,30.8,-1.7
197204,29.9,-2.6
197304,31.2,-1.3
197404,32.5,0.0
197504,28.5,-4.0
197604,30.7,-1.8
197704,32.3,-0.2
197804,33.7,1.2
197904,33.6,1.1
198004,34.2,1.7
198104,33.9,1.4
198204,29,-3.5
198304,31.3,-1.2
198404,32.3,-0.2
198504,34.5,2.0
198604,31.7,-0.8
198704,35.3,2.8
198804,34.9,2.4
198904,36.2,3.7
199004,36.7,4.2
199104,32,-0.5
199204,36.7,4.2
199304,33.9,1.4
199404,35.3,2.8
199504,32,-0.5
199604,34.3,1.8
199704,32.5,0.0
199804,33.1,0.6
199904,30.3,-2.2
200004,35.1,2.6
200104,31,-1.5
200204,33.2,0.7
200304,32.1,-0.4
200404,34.2,1.7
200504,33.6,1.1
200604,33.3,0.8
200704,32.6,0.1
200804,28.4,-4.1
200904,31.2,-1.3
201004,30.9,-1.6
201104,29.4,-3.1
201204,34.6,2.1
201304,32.8,0.3
201404,33.7,1.2
201504,31.9,-0.6
