Colorado, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,36.7,-1.2
189605,38.1,0.2
189705,40.6,2.7
189805,36.6,-1.3
189905,35.9,-2.0
190005,39,1.1
190105,39.1,1.2
190205,38.7,0.8
190305,34.9,-3.0
190405,37.6,-0.3
190505,36.6,-1.3
190605,37.6,-0.3
190705,33.9,-4.0
190805,34.5,-3.4
190905,34.5,-3.4
191005,37.2,-0.7
191105,38,0.1
191205,36.9,-1.0
191305,38.4,0.5
191405,39.6,1.7
191505,35.3,-2.6
191605,35.3,-2.6
191705,33.9,-4.0
191805,36.6,-1.3
191905,37.8,-0.1
192005,38.6,0.7
192105,38.4,0.5
192205,37,-0.9
192305,37.9,0.0
192405,34.4,-3.5
192505,39.8,1.9
192605,39.3,1.4
192705,37.8,-0.1
192805,39.7,1.8
192905,36.2,-1.7
193005,35.3,-2.6
193105,35.4,-2.5
193205,38.6,0.7
193305,35.3,-2.6
193405,42.6,4.7
193505,36.6,-1.3
193605,40.1,2.2
193705,39,1.1
193805,37.3,-0.6
193905,39,1.1
194005,39.2,1.3
194105,41.2,3.3
194205,35.9,-2.0
194305,36.7,-1.2
194405,38.1,0.2
194505,37.5,-0.4
194605,35.7,-2.2
194705,38.9,1.0
194805,38.8,0.9
194905,39.5,1.6
195005,34.6,-3.3
195105,38.8,0.9
195205,38.6,0.7
195305,35.8,-2.1
195405,38.9,1.0
195505,38.3,0.4
195605,40.3,2.4
195705,37.3,-0.6
195805,41.1,3.2
195905,39,1.1
196005,36.9,-1.0
196105,38.3,0.4
196205,38.5,0.6
196305,40.1,2.2
196405,38.4,0.5
196505,37.8,-0.1
196605,38.2,0.3
196705,35.9,-2.0
196805,35.7,-2.2
196905,40.4,2.5
197005,37.7,-0.2
197105,35.8,-2.1
197205,37.1,-0.8
197305,37.2,-0.7
197405,38.7,0.8
197505,35.8,-2.1
197605,37.9,0.0
197705,39.6,1.7
197805,37,-0.9
197905,37.7,-0.2
198005,37.6,-0.3
198105,38.7,0.8
198205,37.5,-0.4
198305,35.3,-2.6
198405,39.9,2.0
198505,40.3,2.4
198605,37.2,-0.7
198705,40.6,2.7
198805,38.3,0.4
198905,39.9,2.0
199005,36.6,-1.3
199105,39.3,1.4
199205,40.9,3.0
199305,39.1,1.2
199405,41.1,3.2
199505,36.1,-1.8
199605,41,3.1
199705,38.5,0.6
199805,39.4,1.5
199905,37,-0.9
200005,40.8,2.9
200105,39.9,2.0
200205,37.6,-0.3
200305,39.7,1.8
200405,39.8,1.9
200505,38.8,0.9
200605,39.9,2.0
200705,39.5,1.6
200805,36.3,-1.6
200905,41.1,3.2
201005,36.1,-1.8
201105,35.8,-2.1
201205,39.8,1.9
201305,38.4,0.5
201405,38.5,0.6
201505,38.4,0.5
