Georgia, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,33.2,-2.8
189612,34.9,-1.1
189712,38,2.0
189812,36,0.0
189912,34.4,-1.6
190012,36.3,0.3
190112,31.2,-4.8
190212,35.6,-0.4
190312,28.5,-7.5
190412,35.7,-0.3
190512,34.6,-1.4
190612,36.8,0.8
190712,35.6,-0.4
190812,39.6,3.6
190912,30.9,-5.1
191012,29.5,-6.5
191112,38.8,2.8
191212,38.5,2.5
191312,37.9,1.9
191412,36.1,0.1
191512,32.9,-3.1
191612,35.3,-0.7
191712,28.1,-7.9
191812,41.1,5.1
191912,35.4,-0.6
192012,35,-1.0
192112,39.3,3.3
192212,42.8,6.8
192312,43.2,7.2
192412,37.5,1.5
192512,34.5,-1.5
192612,39.1,3.1
192712,35.5,-0.5
192812,35.1,-0.9
192912,32.9,-3.1
193012,32.9,-3.1
193112,45.1,9.1
193212,41.8,5.8
193312,41.5,5.5
193412,34.1,-1.9
193512,28.6,-7.4
193612,39.7,3.7
193712,33.9,-2.1
193812,34.2,-1.8
193912,35.2,-0.8
194012,39.6,3.6
194112,38,2.0
194212,36.1,0.1
194312,34.3,-1.7
194412,31.6,-4.4
194512,30.5,-5.5
194612,36.4,0.4
194712,35.9,-0.1
194812,40.1,4.1
194912,37.7,1.7
195012,31.2,-4.8
195112,38.9,2.9
195212,34.2,-1.8
195312,36,0.0
195412,33.2,-2.8
195512,34.8,-1.2
195612,41.9,5.9
195712,35.6,-0.4
195812,32.5,-3.5
195912,35.9,-0.1
196012,28.8,-7.2
196112,36.3,0.3
196212,32.1,-3.9
196312,27.9,-8.1
196412,39.1,3.1
196512,34.4,-1.6
196612,34.9,-1.1
196712,39.8,3.8
196812,31.1,-4.9
196912,32,-4.0
197012,37.2,1.2
197112,45.9,9.9
197212,41.9,5.9
197312,35.3,-0.7
197412,36.9,0.9
197512,34.7,-1.3
197612,32.3,-3.7
197712,34.6,-1.4
197812,36,0.0
197912,35.2,-0.8
198012,32.9,-3.1
198112,33.4,-2.6
198212,43.2,7.2
198312,33.5,-2.5
198412,42.8,6.8
198512,31.9,-4.1
198612,39.2,3.2
198712,39.6,3.6
198812,34.1,-1.9
198912,29.5,-6.5
199012,40.7,4.7
199112,39.6,3.6
199212,38,2.0
199312,34.6,-1.4
199412,41,5.0
199512,34.2,-1.8
199612,37.1,1.1
199712,37.1,1.1
199812,42.7,6.7
199912,35.3,-0.7
200012,30,-6.0
200112,40.9,4.9
200212,34.7,-1.3
200312,31.6,-4.4
200412,34.8,-1.2
200512,33,-3.0
200612,39.6,3.6
200712,41.4,5.4
200812,40.7,4.7
200912,36.4,0.4
201012,28.3,-7.7
201112,39.7,3.7
201212,41.4,5.4
201312,40.7,4.7
201412,40.3,4.3
201512,48.5,12.5
