Kentucky, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,19.4,-4.8
189601,26,1.8
189701,20.6,-3.6
189801,29.9,5.7
189901,23.6,-0.6
190001,26.1,1.9
190101,25.5,1.3
190201,22.6,-1.6
190301,24.2,0.0
190401,21.1,-3.1
190501,17.4,-6.8
190601,28.7,4.5
190701,32,7.8
190801,24.2,0.0
190901,28.7,4.5
191001,23.2,-1.0
191101,29.8,5.6
191201,14.8,-9.4
191301,30.8,6.6
191401,29.8,5.6
191501,22.8,-1.4
191601,28.7,4.5
191701,25.1,0.9
191801,10,-14.2
191901,25.5,1.3
192001,22.6,-1.6
192101,28.6,4.4
192201,23.6,-0.6
192301,29.8,5.6
192401,19.2,-5.0
192501,24.8,0.6
192601,23.1,-1.1
192701,25.5,1.3
192801,23.4,-0.8
192901,22.8,-1.4
193001,23.9,-0.3
193101,26.8,2.6
193201,33.3,9.1
193301,32.4,8.2
193401,29.1,4.9
193501,26.2,2.0
193601,18.8,-5.4
193701,33.7,9.5
193801,25,0.8
193901,29,4.8
194001,10.6,-13.6
194101,26.6,2.4
194201,20.3,-3.9
194301,26.2,2.0
194401,25.9,1.7
194501,22.3,-1.9
194601,25.5,1.3
194701,30.3,6.1
194801,15.8,-8.4
194901,33.4,9.2
195001,34.3,10.1
195101,26.5,2.3
195201,31.1,6.9
195301,31,6.8
195401,26,1.8
195501,24,-0.2
195601,22,-2.2
195701,23.3,-0.9
195801,22.4,-1.8
195901,20.9,-3.3
196001,28.4,4.2
196101,18.5,-5.7
196201,21.2,-3.0
196301,15.2,-9.0
196401,21.9,-2.3
196501,24.1,-0.1
196601,18.5,-5.7
196701,27.1,2.9
196801,20.4,-3.8
196901,22.6,-1.6
197001,15.8,-8.4
197101,22,-2.2
197201,25.2,1.0
197301,24.2,0.0
197401,33,8.8
197501,27.9,3.7
197601,20.3,-3.9
197701,8.2,-16.0
197801,14,-10.2
197901,16.8,-7.4
198001,27.1,2.9
198101,18.8,-5.4
198201,18.4,-5.8
198301,25.8,1.6
198401,19.2,-5.0
198501,17.2,-7.0
198601,21.5,-2.7
198701,24.6,0.4
198801,21.1,-3.1
198901,30.2,6.0
199001,32,7.8
199101,26.2,2.0
199201,26.4,2.2
199301,29,4.8
199401,18.6,-5.6
199501,26.8,2.6
199601,23.4,-0.8
199701,22.6,-1.6
199801,33.2,9.0
199901,27.7,3.5
200001,24.3,0.1
200101,22.3,-1.9
200201,27.6,3.4
200301,19.8,-4.4
200401,22.6,-1.6
200501,31.1,6.9
200601,32.9,8.7
200701,29.4,5.2
200801,23.8,-0.4
200901,21,-3.2
201001,22.1,-2.1
201101,22,-2.2
201201,28.2,4.0
201301,27.9,3.7
201401,15.6,-8.6
201501,22.8,-1.4
201601,21.7,-2.5
