Montana, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,29.9,1.2
189604,25.9,-2.8
189704,30.9,2.2
189804,29.7,1.0
189904,26.2,-2.5
190004,33.5,4.8
190104,28.4,-0.3
190204,27,-1.7
190304,27.4,-1.3
190404,29.3,0.6
190504,27.8,-0.9
190604,31.9,3.2
190704,25.3,-3.4
190804,30.2,1.5
190904,22.8,-5.9
191004,34.1,5.4
191104,27.2,-1.5
191204,30.7,2.0
191304,29.5,0.8
191404,30.1,1.4
191504,35.8,7.1
191604,28.6,-0.1
191704,26.8,-1.9
191804,27.3,-1.4
191904,30.9,2.2
192004,24.8,-3.9
192104,27.8,-0.9
192204,28.5,-0.2
192304,27.2,-1.5
192404,28.4,-0.3
192504,33.2,4.5
192604,29.2,0.5
192704,27.9,-0.8
192804,26,-2.7
192904,25.9,-2.8
193004,34.7,6.0
193104,28.3,-0.4
193204,31.5,2.8
193304,27.5,-1.2
193404,31.2,2.5
193504,23.8,-4.9
193604,26.8,-1.9
193704,29.6,0.9
193804,29.4,0.7
193904,30.3,1.6
194004,28.9,0.2
194104,29.9,1.2
194204,30.7,2.0
194304,32.6,3.9
194404,29.4,0.7
194504,24.9,-3.8
194604,31.6,2.9
194704,29.3,0.6
194804,28.5,-0.2
194904,31.3,2.6
195004,26.1,-2.6
195104,24.1,-4.6
195204,30.6,1.9
195304,25.3,-3.4
195404,25.8,-2.9
195504,27.8,-0.9
195604,25.1,-3.6
195704,27.9,-0.8
195804,29.6,0.9
195904,27.5,-1.2
196004,28.7,0.0
196104,26.3,-2.4
196204,30.4,1.7
196304,28.8,0.1
196404,28.3,-0.4
196504,29.7,1.0
196604,25.8,-2.9
196704,24.6,-4.1
196804,25.5,-3.2
196904,31.9,3.2
197004,25.9,-2.8
197104,28.7,0.0
197204,27.4,-1.3
197304,26.6,-2.1
197404,30.9,2.2
197504,23.3,-5.4
197604,30.3,1.6
197704,29.5,0.8
197804,31.6,2.9
197904,26.8,-1.9
198004,32,3.3
198104,30.9,2.2
198204,24.6,-4.1
198304,25.9,-2.8
198404,28.6,-0.1
198504,31.5,2.8
198604,28.8,0.1
198704,32.9,4.2
198804,29.8,1.1
198904,29.3,0.6
199004,29.6,0.9
199104,30.2,1.5
199204,30.9,2.2
199304,30,1.3
199404,29.9,1.2
199504,26.9,-1.8
199604,30.2,1.5
199704,24.6,-4.1
199804,31.1,2.4
199904,28.1,-0.6
200004,29.7,1.0
200104,29.3,0.6
200204,25.1,-3.6
200304,32.1,3.4
200404,30.5,1.8
200504,30,1.3
200604,32.3,3.6
200704,29.2,0.5
200804,24.1,-4.6
200904,28.2,-0.5
201004,29.2,0.5
201104,27,-1.7
201204,31.8,3.1
201304,25.2,-3.5
201404,28.5,-0.2
201504,29.1,0.4
