Maryland, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,27.5,0.8
189612,24.9,-1.8
189712,28.5,1.8
189812,25,-1.7
189912,25.5,-1.2
190012,25.5,-1.2
190112,23.3,-3.4
190212,25.1,-1.6
190312,21.2,-5.5
190412,20.2,-6.5
190512,27,0.3
190612,27.1,0.4
190712,28.1,1.4
190812,27.1,0.4
190912,21.8,-4.9
191012,20.2,-6.5
191112,31,4.3
191212,27.8,1.1
191312,29.4,2.7
191412,24.6,-2.1
191512,24.6,-2.1
191612,24.5,-2.2
191712,18.3,-8.4
191812,31.6,4.9
191912,20.4,-6.3
192012,29.8,3.1
192112,26.8,0.1
192212,27.4,0.7
192312,33.7,7.0
192412,25.7,-1.0
192512,27.6,0.9
192612,23.7,-3.0
192712,27.9,1.2
192812,26.7,0.0
192912,27.3,0.6
193012,25.2,-1.5
193112,33.1,6.4
193212,27.2,0.5
193312,26.6,-0.1
193412,25.8,-0.9
193512,22.5,-4.2
193612,28.7,2.0
193712,25.5,-1.2
193812,27.2,0.5
193912,28.7,2.0
194012,30.5,3.8
194112,29.8,3.1
194212,23.9,-2.8
194312,23.5,-3.2
194412,23.4,-3.3
194512,22.6,-4.1
194612,28,1.3
194712,24.1,-2.6
194812,28.5,1.8
194912,28.3,1.6
195012,23.5,-3.2
195112,27.5,0.8
195212,28.4,1.7
195312,29.1,2.4
195412,26.3,-0.4
195512,21.6,-5.1
195612,33.8,7.1
195712,29.7,3.0
195812,19.3,-7.4
195912,29.6,2.9
196012,17.6,-9.1
196112,25.5,-1.2
196212,21.7,-5.0
196312,20.7,-6.0
196412,29.3,2.6
196512,28.6,1.9
196612,26.3,-0.4
196712,28,1.3
196812,24.7,-2.0
196912,25.3,-1.4
197012,27.8,1.1
197112,33.2,6.5
197212,32.9,6.2
197312,28.9,2.2
197412,29.3,2.6
197512,27.6,0.9
197612,21.6,-5.1
197712,25.2,-1.5
197812,27.8,1.1
197912,29.3,2.6
198012,24.8,-1.9
198112,26.1,-0.6
198212,33.4,6.7
198312,24.8,-1.9
198412,33.8,7.1
198512,24,-2.7
198612,28.8,2.1
198712,30.3,3.6
198812,25.8,-0.9
198912,16,-10.7
199012,31.2,4.5
199112,30,3.3
199212,29.4,2.7
199312,26.6,-0.1
199412,31.6,4.9
199512,24.4,-2.3
199612,31.6,4.9
199712,29.2,2.5
199812,32.1,5.4
199912,29.9,3.2
200012,20.5,-6.2
200112,33.1,6.4
200212,25.8,-0.9
200312,28.1,1.4
200412,28.3,1.6
200512,25.4,-1.3
200612,32.3,5.6
200712,30.4,3.7
200812,29.3,2.6
200912,27.3,0.6
201012,23.6,-3.1
201112,32.3,5.6
201212,33.9,7.2
201312,29.9,3.2
201412,32,5.3
201512,40.1,13.4
