Montana, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,16.8,-1.8
189603,12.8,-5.8
189703,5.3,-13.3
189803,10.3,-8.3
189903,6.4,-12.2
190003,21,2.4
190103,20.5,1.9
190203,19.1,0.5
190303,13.3,-5.3
190403,11.6,-7.0
190503,25.4,6.8
190603,11.5,-7.1
190703,19.1,0.5
190803,17.4,-1.2
190903,19,0.4
191003,28.6,10.0
191103,23.7,5.1
191203,5.9,-12.7
191303,12.1,-6.5
191403,20.6,2.0
191503,18.3,-0.3
191603,21.8,3.2
191703,10.2,-8.4
191803,23.8,5.2
191903,13.1,-5.5
192003,16.8,-1.8
192103,19.2,0.6
192203,16.6,-2.0
192303,16.6,-2.0
192403,18.1,-0.5
192503,20.7,2.1
192603,21,2.4
192703,20.6,2.0
192803,22.2,3.6
192903,22.2,3.6
193003,17.9,-0.7
193103,19.6,1.0
193203,12.8,-5.8
193303,21.6,3.0
193403,21.9,3.3
193503,16.3,-2.3
193603,18.9,0.3
193703,18.1,-0.5
193803,21.4,2.8
193903,18.5,-0.1
194003,23.6,5.0
194103,20.5,1.9
194203,20,1.4
194303,9,-9.6
194403,12.7,-5.9
194503,20.5,1.9
194603,25.5,6.9
194703,15,-3.6
194803,13.2,-5.4
194903,16.2,-2.4
195003,15,-3.6
195103,7.5,-11.1
195203,12.5,-6.1
195303,20.7,2.1
195403,12.7,-5.9
195503,10.5,-8.1
195603,17.8,-0.8
195703,19.2,0.6
195803,17.9,-0.7
195903,23.3,4.7
196003,15.5,-3.1
196103,23.3,4.7
196203,13.7,-4.9
196303,23.3,4.7
196403,14.2,-4.4
196503,6.3,-12.3
196603,19.7,1.1
196703,16.3,-2.3
196803,24.7,6.1
196903,12.5,-6.1
197003,16.1,-2.5
197103,18.2,-0.4
197203,22.7,4.1
197303,22.5,3.9
197403,19.5,0.9
197503,16,-2.6
197603,16.1,-2.5
197703,20.3,1.7
197803,20,1.4
197903,19.3,0.7
198003,17.6,-1.0
198103,22.5,3.9
198203,19,0.4
198303,23.9,5.3
198403,22.6,4.0
198503,18.6,0.0
198603,28.6,10.0
198703,23.2,4.6
198803,22.4,3.8
198903,16.8,-1.8
199003,21.2,2.6
199103,20.3,1.7
199203,25.3,6.7
199303,23.6,5.0
199403,23.6,5.0
199503,18.4,-0.2
199603,13.7,-4.9
199703,20.4,1.8
199803,18.4,-0.2
199903,22.8,4.2
200003,23.8,5.2
200103,22.6,4.0
200203,9,-9.6
200303,18.9,0.3
200403,25.6,7.0
200503,23.1,4.5
200603,20.1,1.5
200703,26.7,8.1
200803,19.5,0.9
200903,16.7,-1.9
201003,24.3,5.7
201103,19,0.4
201203,26.8,8.2
201303,18.5,-0.1
201403,19.1,0.5
201503,26.4,7.8
201603,25.3,6.7
