North Carolina, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,52.6,-1.7
189605,61.2,6.9
189705,52.5,-1.8
189805,55.8,1.5
189905,56.3,2.0
190005,53.7,-0.6
190105,55.2,0.9
190205,57.3,3.0
190305,55.6,1.3
190405,53.3,-1.0
190505,58.6,4.3
190605,53.1,-1.2
190705,52.8,-1.5
190805,55.3,1.0
190905,52.8,-1.5
191005,52.1,-2.2
191105,55.1,0.8
191205,56.3,2.0
191305,54.3,0.0
191405,53.4,-0.9
191505,56.7,2.4
191605,56.8,2.5
191705,49.4,-4.9
191805,57.9,3.6
191905,56.1,1.8
192005,50.5,-3.8
192105,52.9,-1.4
192205,55.9,1.6
192305,53.5,-0.8
192405,52.3,-2.0
192505,50.4,-3.9
192605,52,-2.3
192705,55.4,1.1
192805,51.9,-2.4
192905,54.3,0.0
193005,56.1,1.8
193105,52.8,-1.5
193205,53.5,-0.8
193305,58.8,4.5
193405,54.1,-0.2
193505,53.4,-0.9
193605,54,-0.3
193705,53.3,-1.0
193805,56.1,1.8
193905,54,-0.3
194005,52.4,-1.9
194105,53.5,-0.8
194205,56.5,2.2
194305,56.9,2.6
194405,57.1,2.8
194505,51.7,-2.6
194605,54.7,0.4
194705,54.6,0.3
194805,54.9,0.6
194905,54.6,0.3
195005,56.6,2.3
195105,51.7,-2.6
195205,54.9,0.6
195305,59.8,5.5
195405,50.6,-3.7
195505,55.8,1.5
195605,54.9,0.6
195705,56.2,1.9
195805,55.8,1.5
195905,57.8,3.5
196005,52.7,-1.6
196105,51.7,-2.6
196205,57.8,3.5
196305,52.5,-1.8
196405,54.5,0.2
196505,57.8,3.5
196605,53.9,-0.4
196705,50.7,-3.6
196805,52.1,-2.2
196905,53,-1.3
197005,54.4,0.1
197105,51.8,-2.5
197205,53,-1.3
197305,52.2,-2.1
197405,55.5,1.2
197505,57.1,2.8
197605,52.5,-1.8
197705,55.4,1.1
197805,53.5,-0.8
197905,54.8,0.5
198005,54.2,-0.1
198105,51.2,-3.1
198205,56,1.7
198305,52.8,-1.5
198405,52.8,-1.5
198505,55,0.7
198605,54.8,0.5
198705,56.5,2.2
198805,51.9,-2.4
198905,51.4,-2.9
199005,54.9,0.6
199105,60.2,5.9
199205,51,-3.3
199305,55.4,1.1
199405,50.5,-3.8
199505,55.1,0.8
199605,55.4,1.1
199705,49.1,-5.2
199805,57.3,3.0
199905,53.1,-1.2
200005,56.4,2.1
200105,53.7,-0.6
200205,52.9,-1.4
200305,56.1,1.8
200405,59.9,5.6
200505,51.3,-3.0
200605,51.8,-2.5
200705,53.3,-1.0
200805,52.5,-1.8
200905,57.3,3.0
201005,58.6,4.3
201105,56,1.7
201205,58.9,4.6
201305,54.3,0.0
201405,56.5,2.2
201505,56.9,2.6
