North Dakota, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,-3.3,-5.1
189602,3,1.2
189702,-3.5,-5.3
189802,1.2,-0.6
189902,-11.3,-13.1
190002,-9.2,-11.0
190102,-3.3,-5.1
190202,1.4,-0.4
190302,-10.1,-11.9
190402,-13.3,-15.1
190502,-3.2,-5.0
190602,-.2,-2.0
190702,.6,-1.2
190802,4.5,2.7
190902,1.1,-0.7
191002,-7.9,-9.7
191102,-4.7,-6.5
191202,2,0.2
191302,-3.2,-5.0
191402,-10.1,-11.9
191502,8.3,6.5
191602,-3.1,-4.9
191702,-11.4,-13.2
191802,-1.4,-3.2
191902,-1.7,-3.5
192002,2.7,0.9
192102,8.3,6.5
192202,-10.8,-12.6
192302,-7.6,-9.4
192402,9.5,7.7
192502,5.8,4.0
192602,12.5,10.7
192702,3.8,2.0
192802,8,6.2
192902,-9.4,-11.2
193002,12.1,10.3
193102,17.7,15.9
193202,1.5,-0.3
193302,-3.3,-5.1
193402,8.7,6.9
193502,13.6,11.8
193602,-23.4,-25.2
193702,-4.4,-6.2
193802,-3.4,-5.2
193902,-13.3,-15.1
194002,5.9,4.1
194102,1,-0.8
194202,3.9,2.1
194302,3.6,1.8
194402,-1.3,-3.1
194502,3.1,1.3
194602,-2,-3.8
194702,-2.4,-4.2
194802,-4.3,-6.1
194902,-10.2,-12.0
195002,-3.2,-5.0
195102,.8,-1.0
195202,7.8,6.0
195302,8.3,6.5
195402,20.4,18.6
195502,-3.4,-5.2
195602,-3.2,-5.0
195702,1.8,0.0
195802,.3,-1.5
195902,-5.9,-7.7
196002,.8,-1.0
196102,7.1,5.3
196202,-2.4,-4.2
196302,2.2,0.4
196402,8.2,6.4
196502,-2.9,-4.7
196602,-2.4,-4.2
196702,-4.1,-5.9
196802,1.4,-0.4
196902,3.7,1.9
197002,1.1,-0.7
197102,2.6,0.8
197202,-3.5,-5.3
197302,8.3,6.5
197402,3.1,1.3
197502,0,-1.8
197602,12.5,10.7
197702,12.2,10.4
197802,-3.8,-5.6
197902,-11,-12.8
198002,2.9,1.1
198102,10.4,8.6
198202,-.8,-2.6
198302,14.7,12.9
198402,17.6,15.8
198502,.2,-1.6
198602,2.6,0.8
198702,18.3,16.5
198802,.3,-1.5
198902,-7.6,-9.4
199002,5.9,4.1
199102,15,13.2
199202,15.4,13.6
199302,0,-1.8
199402,-7.2,-9.0
199502,6.9,5.1
199602,4.8,3.0
199702,7,5.2
199802,21.2,19.4
199902,14,12.2
200002,11.3,9.5
200102,-4.9,-6.7
200202,13.1,11.3
200302,-2.1,-3.9
200402,6.4,4.6
200502,9.5,7.7
200602,4.8,3.0
200702,-1.4,-3.2
200802,-1.2,-3.0
200902,2.3,0.5
201002,.5,-1.3
201102,.7,-1.1
201202,10,8.2
201302,7.8,6.0
201402,-4.9,-6.7
201502,-2.9,-4.7
201602,17,15.2
