Florida, Minimum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,39.3,-8.6
189602,45.8,-2.1
189702,53,5.1
189802,44,-3.9
189902,46.7,-1.2
190002,46.4,-1.5
190102,43.5,-4.4
190202,42.1,-5.8
190302,51.5,3.6
190402,48.8,0.9
190502,46.9,-1.0
190602,47.2,-0.7
190702,46.9,-1.0
190802,44.2,-3.7
190902,45.9,-2.0
191002,45.3,-2.6
191102,49.4,1.5
191202,42,-5.9
191302,49.8,1.9
191402,47,-0.9
191502,47.4,-0.5
191602,45.7,-2.2
191702,45.8,-2.1
191802,52.6,4.7
191902,48.5,0.6
192002,45,-2.9
192102,48.5,0.6
192202,52.4,4.5
192302,49.3,1.4
192402,44.3,-3.6
192502,48.9,1.0
192602,46.5,-1.4
192702,53.8,5.9
192802,49,1.1
192902,50.7,2.8
193002,49.9,2.0
193102,45.5,-2.4
193202,55.6,7.7
193302,51.3,3.4
193402,44,-3.9
193502,45.6,-2.3
193602,46.1,-1.8
193702,48.2,0.3
193802,50.8,2.9
193902,53.5,5.6
194002,43.9,-4.0
194102,42.7,-5.2
194202,42.7,-5.2
194302,42.8,-5.1
194402,51.5,3.6
194502,50.9,3.0
194602,48.6,0.7
194702,40.8,-7.1
194802,51.9,4.0
194902,56.1,8.2
195002,50.4,2.5
195102,45.2,-2.7
195202,48.8,0.9
195302,50.5,2.6
195402,48.2,0.3
195502,48.6,0.7
195602,52.9,5.0
195702,54.4,6.5
195802,38.8,-9.1
195902,55.6,7.7
196002,46.1,-1.8
196102,50.6,2.7
196202,52.2,4.3
196302,43.7,-4.2
196402,44.2,-3.7
196502,49.7,1.8
196602,47.4,-0.5
196702,45.9,-2.0
196802,40.3,-7.6
196902,43.8,-4.1
197002,43.4,-4.5
197102,47.4,-0.5
197202,47.6,-0.3
197302,43.7,-4.2
197402,46.1,-1.8
197502,53.1,5.2
197602,47.8,-0.1
197702,42.6,-5.3
197802,40.9,-7.0
197902,44.8,-3.1
198002,42.9,-5.0
198102,46.7,-1.2
198202,53.5,5.6
198302,47.6,-0.3
198402,47.7,-0.2
198502,47.9,0.0
198602,50.9,3.0
198702,49.4,1.5
198802,44.8,-3.1
198902,49.5,1.6
199002,55.3,7.4
199102,50.5,2.6
199202,51.1,3.2
199302,47,-0.9
199402,53.3,5.4
199502,47.1,-0.8
199602,46,-1.9
199702,53,5.1
199802,49.5,1.6
199902,49.6,1.7
200002,47.6,-0.3
200102,53.6,5.7
200202,47.7,-0.2
200302,49.4,1.5
200402,49.2,1.3
200502,49.8,1.9
200602,46.1,-1.8
200702,46.2,-1.7
200802,50.9,3.0
200902,44.3,-3.6
201002,41.8,-6.1
201102,50.2,2.3
201202,54.1,6.2
201302,50.3,2.4
201402,51.8,3.9
201502,45.1,-2.8
201602,48,0.1
