New Mexico, Minimum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,38.3,-0.5
189610,41.1,2.3
189710,40.5,1.7
189810,36.6,-2.2
189910,39.2,0.4
190010,40.7,1.9
190110,40.5,1.7
190210,38.7,-0.1
190310,35.6,-3.2
190410,40.2,1.4
190510,38,-0.8
190610,36,-2.8
190710,41.4,2.6
190810,34.1,-4.7
190910,37.6,-1.2
191010,38,-0.8
191110,38.5,-0.3
191210,37.6,-1.2
191310,37.3,-1.5
191410,39.1,0.3
191510,36.5,-2.3
191610,39.5,0.7
191710,36.8,-2.0
191810,40.4,1.6
191910,40.2,1.4
192010,37.5,-1.3
192110,39.9,1.1
192210,38.5,-0.3
192310,37.7,-1.1
192410,38.3,-0.5
192510,39.5,0.7
192610,41.4,2.6
192710,37.6,-1.2
192810,41,2.2
192910,39.4,0.6
193010,39.1,0.3
193110,41.2,2.4
193210,37.3,-1.5
193310,41.2,2.4
193410,40.3,1.5
193510,39.8,1.0
193610,38.3,-0.5
193710,40.3,1.5
193810,39.9,1.1
193910,36.6,-2.2
194010,39.8,1.0
194110,41,2.2
194210,39.1,0.3
194310,36.6,-2.2
194410,40.9,2.1
194510,39.5,0.7
194610,38.7,-0.1
194710,40.8,2.0
194810,38.6,-0.2
194910,36.8,-2.0
195010,42.2,3.4
195110,39.1,0.3
195210,36.2,-2.6
195310,37.9,-0.9
195410,41.7,2.9
195510,39.1,0.3
195610,39.4,0.6
195710,40.8,2.0
195810,39.8,1.0
195910,37.5,-1.3
196010,38.4,-0.4
196110,36.7,-2.1
196210,40.6,1.8
196310,41.9,3.1
196410,38.1,-0.7
196510,36.8,-2.0
196610,36.6,-2.2
196710,37.7,-1.1
196810,38.1,-0.7
196910,38.7,-0.1
197010,34.8,-4.0
197110,38.3,-0.5
197210,42.9,4.1
197310,36.8,-2.0
197410,42.1,3.3
197510,36.4,-2.4
197610,34.2,-4.6
197710,40,1.2
197810,39.9,1.1
197910,38.7,-0.1
198010,35.5,-3.3
198110,40.4,1.6
198210,35.8,-3.0
198310,41.9,3.1
198410,38.2,-0.6
198510,40.1,1.3
198610,38.3,-0.5
198710,40.3,1.5
198810,40.7,1.9
198910,38.1,-0.7
199010,37.8,-1.0
199110,38.4,-0.4
199210,40,1.2
199310,37,-1.8
199410,38.5,-0.3
199510,37.2,-1.6
199610,38.7,-0.1
199710,38.1,-0.7
199810,41.5,2.7
199910,37,-1.8
200010,41.3,2.5
200110,40,1.2
200210,39.3,0.5
200310,43.2,4.4
200410,40.7,1.9
200510,41.1,2.3
200610,39.3,0.5
200710,39.3,0.5
200810,38.7,-0.1
200910,37.8,-1.0
201010,41.3,2.5
201110,39.2,0.4
201210,39.1,0.3
201310,36.5,-2.3
201410,42,3.2
201510,44.5,5.7
