Michigan, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,51.5,0.5
189606,51.4,0.4
189706,47.8,-3.2
189806,51.2,0.2
189906,51.7,0.7
190006,49.6,-1.4
190106,52.1,1.1
190206,47.7,-3.3
190306,47.1,-3.9
190406,50.5,-0.5
190506,50,-1.0
190606,51.8,0.8
190706,49.4,-1.6
190806,50.9,-0.1
190906,51.1,0.1
191006,49.8,-1.2
191106,53.6,2.6
191206,47.9,-3.1
191306,51,0.0
191406,50.2,-0.8
191506,46.3,-4.7
191606,47.6,-3.4
191706,47,-4.0
191806,48.6,-2.4
191906,57.6,6.6
192006,51.6,0.6
192106,55.1,4.1
192206,51.2,0.2
192306,53.2,2.2
192406,47.9,-3.1
192506,52.3,1.3
192606,46,-5.0
192706,47.1,-3.9
192806,47.5,-3.5
192906,47.6,-3.4
193006,52.3,1.3
193106,53.6,2.6
193206,52.4,1.4
193306,55.3,4.3
193406,53,2.0
193506,48.9,-2.1
193606,47.3,-3.7
193706,51.2,0.2
193806,50.9,-0.1
193906,53.2,2.2
194006,51.4,0.4
194106,52.7,1.7
194206,52.1,1.1
194306,54.8,3.8
194406,53.2,2.2
194506,48,-3.0
194606,50.3,-0.7
194706,48.5,-2.5
194806,49.9,-1.1
194906,55,4.0
195006,50.7,-0.3
195106,49.8,-1.2
195206,53.4,2.4
195306,52.8,1.8
195406,54.4,3.4
195506,51.3,0.3
195606,53,2.0
195706,52.4,1.4
195806,46,-5.0
195906,52.6,1.6
196006,49.4,-1.6
196106,49.6,-1.4
196206,50.4,-0.6
196306,51.3,0.3
196406,50.5,-0.5
196506,48.6,-2.4
196606,52.1,1.1
196706,53.8,2.8
196806,51.4,0.4
196906,47.9,-3.1
197006,51.4,0.4
197106,54,3.0
197206,47.6,-3.4
197306,54.4,3.4
197406,49.7,-1.3
197506,53.5,2.5
197606,53.5,2.5
197706,48.7,-2.3
197806,49.7,-1.3
197906,50.6,-0.4
198006,48.3,-2.7
198106,52.5,1.5
198206,46.7,-4.3
198306,51.2,0.2
198406,53.8,2.8
198506,47.9,-3.1
198606,49.1,-1.9
198706,54.7,3.7
198806,50.8,-0.2
198906,51.6,0.6
199006,52.1,1.1
199106,54.7,3.7
199206,47.7,-3.3
199306,50.6,-0.4
199406,52.5,1.5
199506,54.7,3.7
199606,53.9,2.9
199706,52.8,1.8
199806,52.4,1.4
199906,54.7,3.7
200006,52.8,1.8
200106,53.1,2.1
200206,54.5,3.5
200306,49.6,-1.4
200406,50.8,-0.2
200506,57.7,6.7
200606,52.1,1.1
200706,54,3.0
200806,53.9,2.9
200906,51.3,0.3
201006,54.7,3.7
201106,52.9,1.9
201206,53.9,2.9
201306,52.6,1.6
201406,54,3.0
201506,51.2,0.2
