California, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,33.6,0.9
189601,37.1,4.4
189701,34.2,1.5
189801,28.3,-4.4
189901,35,2.3
190001,37,4.3
190101,32.7,0.0
190201,30.9,-1.8
190301,32.3,-0.4
190401,30.2,-2.5
190501,36.9,4.2
190601,33.5,0.8
190701,32.9,0.2
190801,34.8,2.1
190901,38,5.3
191001,30.1,-2.6
191101,34.1,1.4
191201,33.7,1.0
191301,28.7,-4.0
191401,36.8,4.1
191501,32.5,-0.2
191601,31.4,-1.3
191701,26.8,-5.9
191801,31.9,-0.8
191901,30.5,-2.2
192001,33.2,0.5
192101,32.4,-0.3
192201,27.4,-5.3
192301,32.7,0.0
192401,28.8,-3.9
192501,32.4,-0.3
192601,30.6,-2.1
192701,34,1.3
192801,32.8,0.1
192901,30,-2.7
193001,31.6,-1.1
193101,33.5,0.8
193201,29.9,-2.8
193301,29.1,-3.6
193401,34.9,2.2
193501,32.9,0.2
193601,34.8,2.1
193701,23.2,-9.5
193801,34.6,1.9
193901,32.9,0.2
194001,37.4,4.7
194101,36.6,3.9
194201,33.5,0.8
194301,32.8,0.1
194401,32,-0.7
194501,32.2,-0.5
194601,31,-1.7
194701,28.6,-4.1
194801,32.5,-0.2
194901,22.3,-10.4
195001,28.2,-4.5
195101,33.1,0.4
195201,30.7,-2.0
195301,37.7,5.0
195401,33.4,0.7
195501,29.1,-3.6
195601,36.4,3.7
195701,29.4,-3.3
195801,34.1,1.4
195901,35.9,3.2
196001,31.5,-1.2
196101,32.9,0.2
196201,30.1,-2.6
196301,28.6,-4.1
196401,31.1,-1.6
196501,34.8,2.1
196601,30.8,-1.9
196701,33.5,0.8
196801,31.1,-1.6
196901,34.9,2.2
197001,36.2,3.5
197101,32.7,0.0
197201,29.4,-3.3
197301,31.1,-1.6
197401,33,0.3
197501,31.2,-1.5
197601,31.8,-0.9
197701,31.5,-1.2
197801,38.2,5.5
197901,31.8,-0.9
198001,37.7,5.0
198101,37.1,4.4
198201,30.9,-1.8
198301,35.1,2.4
198401,35.1,2.4
198501,31.9,-0.8
198601,39,6.3
198701,31.4,-1.3
198801,33.3,0.6
198901,30,-2.7
199001,32.7,0.0
199101,32.6,-0.1
199201,33.2,0.5
199301,33,0.3
199401,34.4,1.7
199501,38.3,5.6
199601,36,3.3
199701,36.1,3.4
199801,36.8,4.1
199901,34.6,1.9
200001,36.6,3.9
200101,32,-0.7
200201,32.1,-0.6
200301,39.8,7.1
200401,34,1.3
200501,35.8,3.1
200601,35,2.3
200701,29.5,-3.2
200801,32.6,-0.1
200901,35.5,2.8
201001,36.6,3.9
201101,34.7,2.0
201201,34.4,1.7
201301,31,-1.7
201401,37.2,4.5
201501,37.9,5.2
201601,36.2,3.5
