North Carolina, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,62.8,0.5
189606,63.6,1.3
189706,63.8,1.5
189806,63.4,1.1
189906,64.3,2.0
190006,64.4,2.1
190106,63.1,0.8
190206,62.5,0.2
190306,60,-2.3
190406,61.7,-0.6
190506,63.2,0.9
190606,63.9,1.6
190706,58.7,-3.6
190806,61.1,-1.2
190906,64.9,2.6
191006,60.4,-1.9
191106,63.6,1.3
191206,61,-1.3
191306,61.6,-0.7
191406,65.3,3.0
191506,60.8,-1.5
191606,60.6,-1.7
191706,61.2,-1.1
191806,61.3,-1.0
191906,62.2,-0.1
192006,61,-1.3
192106,63.3,1.0
192206,64.5,2.2
192306,63.2,0.9
192406,63.8,1.5
192506,64.6,2.3
192606,60.8,-1.5
192706,60.9,-1.4
192806,62.5,0.2
192906,60.8,-1.5
193006,60.1,-2.2
193106,61.1,-1.2
193206,63.2,0.9
193306,62.2,-0.1
193406,65.1,2.8
193506,62.2,-0.1
193606,61.5,-0.8
193706,64,1.7
193806,61.6,-0.7
193906,66.5,4.2
194006,63.9,1.6
194106,63.2,0.9
194206,64.5,2.2
194306,66.9,4.6
194406,64,1.7
194506,62.8,0.5
194606,61.1,-1.2
194706,61,-1.3
194806,62.4,0.1
194906,64.3,2.0
195006,62.5,0.2
195106,62.5,0.2
195206,66.4,4.1
195306,62.9,0.6
195406,61.4,-0.9
195506,57.3,-5.0
195606,61.9,-0.4
195706,64.4,2.1
195806,61.7,-0.6
195906,61,-1.3
196006,62.6,0.3
196106,60.9,-1.4
196206,62.5,0.2
196306,61.5,-0.8
196406,63,0.7
196506,61,-1.3
196606,58.7,-3.6
196706,59.6,-2.7
196806,61.5,-0.8
196906,64,1.7
197006,61.4,-0.9
197106,63.6,1.3
197206,57.4,-4.9
197306,64.2,1.9
197406,60,-2.3
197506,62,-0.3
197606,61.4,-0.9
197706,61,-1.3
197806,61.7,-0.6
197906,59,-3.3
198006,60.4,-1.9
198106,66.2,3.9
198206,62.8,0.5
198306,60.4,-1.9
198406,62.9,0.6
198506,61.9,-0.4
198606,64.5,2.2
198706,64.2,1.9
198806,58.8,-3.5
198906,65.1,2.8
199006,61.8,-0.5
199106,63.4,1.1
199206,60.9,-1.4
199306,62.8,0.5
199406,65.3,3.0
199506,62.8,0.5
199606,63,0.7
199706,60.2,-2.1
199806,64.8,2.5
199906,62.3,0.0
200006,64.2,1.9
200106,64.2,1.9
200206,63.2,0.9
200306,62.5,0.2
200406,65.2,2.9
200506,63.8,1.5
200606,62.3,0.0
200706,62.7,0.4
200806,64.8,2.5
200906,64.5,2.2
201006,68,5.7
201106,65.1,2.8
201206,60.5,-1.8
201306,64.8,2.5
201406,64.5,2.2
201506,66.7,4.4
