Wyoming, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,27.7,1.2
189604,25,-1.5
189704,26.4,-0.1
189804,26.9,0.4
189904,26.7,0.2
190004,29.8,3.3
190104,27.5,1.0
190204,25.8,-0.7
190304,25.7,-0.8
190404,27.2,0.7
190504,26.6,0.1
190604,28.1,1.6
190704,25.3,-1.2
190804,27,0.5
190904,21.6,-4.9
191004,29.8,3.3
191104,24.7,-1.8
191204,26,-0.5
191304,28.3,1.8
191404,29.1,2.6
191504,33.9,7.4
191604,26.6,0.1
191704,23.3,-3.2
191804,23.3,-3.2
191904,27.6,1.1
192004,21.9,-4.6
192104,24.6,-1.9
192204,24.5,-2.0
192304,24.8,-1.7
192404,25.4,-1.1
192504,30.2,3.7
192604,28.4,1.9
192704,25.7,-0.8
192804,23,-3.5
192904,25.1,-1.4
193004,31.8,5.3
193104,26.1,-0.4
193204,27.9,1.4
193304,23.5,-3.0
193404,28.9,2.4
193504,24.7,-1.8
193604,25.5,-1.0
193704,25.4,-1.1
193804,27.1,0.6
193904,28.6,2.1
194004,28.4,1.9
194104,27.8,1.3
194204,29.8,3.3
194304,32.5,6.0
194404,26.8,0.3
194504,21.8,-4.7
194604,31.1,4.6
194704,26,-0.5
194804,27.7,1.2
194904,29.1,2.6
195004,24.8,-1.7
195104,23.5,-3.0
195204,27.9,1.4
195304,22.9,-3.6
195404,28,1.5
195504,24.9,-1.6
195604,24.8,-1.7
195704,25.3,-1.2
195804,25.6,-0.9
195904,25.7,-0.8
196004,27.7,1.2
196104,24.9,-1.6
196204,28.6,2.1
196304,26.5,0.0
196404,26.4,-0.1
196504,29.6,3.1
196604,23.4,-3.1
196704,25.4,-1.1
196804,22.6,-3.9
196904,29.5,3.0
197004,22.4,-4.1
197104,25.8,-0.7
197204,26.8,0.3
197304,23,-3.5
197404,27.5,1.0
197504,22.2,-4.3
197604,27.8,1.3
197704,28.7,2.2
197804,29.2,2.7
197904,26.3,-0.2
198004,26.9,0.4
198104,30.6,4.1
198204,22.6,-3.9
198304,23.5,-3.0
198404,23.9,-2.6
198504,28.6,2.1
198604,28.3,1.8
198704,29.4,2.9
198804,27.6,1.1
198904,28.3,1.8
199004,28.9,2.4
199104,26.4,-0.1
199204,30.7,4.2
199304,26.7,0.2
199404,27.4,0.9
199504,25.3,-1.2
199604,26.9,0.4
199704,22,-4.5
199804,26.9,0.4
199904,25.5,-1.0
200004,28.7,2.2
200104,28.9,2.4
200204,26.5,0.0
200304,29.8,3.3
200404,29.3,2.8
200504,27.1,0.6
200604,29.6,3.1
200704,27.8,1.3
200804,21.7,-4.8
200904,26.6,0.1
201004,27,0.5
201104,25.6,-0.9
201204,30.6,4.1
201304,22.2,-4.3
201404,26.8,0.3
201504,28.1,1.6
