South Carolina, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,33.1,-0.5
189601,32.1,-1.5
189701,30.7,-2.9
189801,37.5,3.9
189901,33,-0.6
190001,32.1,-1.5
190101,32.7,-0.9
190201,29.8,-3.8
190301,33,-0.6
190401,28.4,-5.2
190501,27.8,-5.8
190601,35.9,2.3
190701,40.6,7.0
190801,31.9,-1.7
190901,37.3,3.7
191001,32.1,-1.5
191101,36.4,2.8
191201,28.6,-5.0
191301,42,8.4
191401,33.7,0.1
191501,33.3,-0.3
191601,40,6.4
191701,38.3,4.7
191801,25.3,-8.3
191901,33.4,-0.2
192001,34.1,0.5
192101,34.1,0.5
192201,33.6,0.0
192301,36.7,3.1
192401,30.7,-2.9
192501,34,0.4
192601,33.5,-0.1
192701,33.6,0.0
192801,31.1,-2.5
192901,35.6,2.0
193001,35.6,2.0
193101,31.8,-1.8
193201,43.4,9.8
193301,40.3,6.7
193401,35.6,2.0
193501,35.2,1.6
193601,30.1,-3.5
193701,47.1,13.5
193801,34.2,0.6
193901,34.9,1.3
194001,22.9,-10.7
194101,32.5,-1.1
194201,31.8,-1.8
194301,35.8,2.2
194401,33.3,-0.3
194501,33,-0.6
194601,35.7,2.1
194701,39.3,5.7
194801,28.6,-5.0
194901,42.6,9.0
195001,44.4,10.8
195101,32.9,-0.7
195201,39.9,6.3
195301,37.1,3.5
195401,34.6,1.0
195501,32.6,-1.0
195601,29.4,-4.2
195701,36.6,3.0
195801,28.3,-5.3
195901,30.5,-3.1
196001,34,0.4
196101,28.2,-5.4
196201,32.6,-1.0
196301,29.1,-4.5
196401,31.3,-2.3
196501,32.4,-1.2
196601,29.9,-3.7
196701,34.5,0.9
196801,28.9,-4.7
196901,30,-3.6
197001,26.3,-7.3
197101,33.8,0.2
197201,39.5,5.9
197301,33.2,-0.4
197401,46.2,12.6
197501,38,4.4
197601,29.3,-4.3
197701,23.5,-10.1
197801,27.2,-6.4
197901,29,-4.6
198001,35.8,2.2
198101,25.8,-7.8
198201,29,-4.6
198301,31.5,-2.1
198401,30.8,-2.8
198501,27.7,-5.9
198601,29.6,-4.0
198701,32.5,-1.1
198801,28.8,-4.8
198901,37.4,3.8
199001,38.2,4.6
199101,36.8,3.2
199201,34.7,1.1
199301,38.6,5.0
199401,29.9,-3.7
199501,34.3,0.7
199601,31.9,-1.7
199701,35.4,1.8
199801,38.1,4.5
199901,36.3,2.7
200001,32.9,-0.7
200101,31.4,-2.2
200201,34.9,1.3
200301,30.1,-3.5
200401,30.8,-2.8
200501,36.3,2.7
200601,38.7,5.1
200701,37.5,3.9
200801,33.1,-0.5
200901,33.4,-0.2
201001,29.4,-4.2
201101,29.5,-4.1
201201,36,2.4
201301,38.8,5.2
201401,27.9,-5.7
201501,32.7,-0.9
201601,32.7,-0.9
