Michigan, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,15.9,-0.4
189612,17.4,1.1
189712,13.5,-2.8
189812,12.9,-3.4
189912,16.1,-0.2
190012,17.2,0.9
190112,12.6,-3.7
190212,14.9,-1.4
190312,8.9,-7.4
190412,10.9,-5.4
190512,18.8,2.5
190612,14.8,-1.5
190712,17.5,1.2
190812,14.9,-1.4
190912,13.7,-2.6
191012,11.4,-4.9
191112,21.5,5.2
191212,18.6,2.3
191312,22.3,6.0
191412,11.8,-4.5
191512,15.3,-1.0
191612,10.9,-5.4
191712,7.9,-8.4
191812,22.2,5.9
191912,7.8,-8.5
192012,21.2,4.9
192112,17.5,1.2
192212,13.8,-2.5
192312,24.7,8.4
192412,9.6,-6.7
192512,15,-1.3
192612,11.7,-4.6
192712,14.5,-1.8
192812,20.3,4.0
192912,14.9,-1.4
193012,16.8,0.5
193112,23.9,7.6
193212,15.3,-1.0
193312,13.3,-3.0
193412,13.8,-2.5
193512,14.2,-2.1
193612,18.2,1.9
193712,13.8,-2.5
193812,18.5,2.2
193912,22.3,6.0
194012,19.6,3.3
194112,23.5,7.2
194212,14.4,-1.9
194312,14.2,-2.1
194412,13.3,-3.0
194512,12.2,-4.1
194612,16.9,0.6
194712,16.9,0.6
194812,17.8,1.5
194912,18.5,2.2
195012,12.9,-3.4
195112,14.6,-1.7
195212,22.8,6.5
195312,20.7,4.4
195412,17.2,0.9
195512,13.9,-2.4
195612,19.9,3.6
195712,19,2.7
195812,7,-9.3
195912,22.4,6.1
196012,11.6,-4.7
196112,16.4,0.1
196212,13.2,-3.1
196312,10.2,-6.1
196412,14.6,-1.7
196512,23.3,7.0
196612,16.4,0.1
196712,18.8,2.5
196812,15.7,-0.6
196912,16.5,0.2
197012,16,-0.3
197112,20,3.7
197212,16.2,-0.1
197312,16.5,0.2
197412,20.8,4.5
197512,16.3,0.0
197612,5.8,-10.5
197712,15.3,-1.0
197812,14.9,-1.4
197912,20.3,4.0
198012,12.4,-3.9
198112,18.5,2.2
198212,24.6,8.3
198312,8.8,-7.5
198412,19.6,3.3
198512,11.2,-5.1
198612,21.3,5.0
198712,23.5,7.2
198812,15.9,-0.4
198912,5.5,-10.8
199012,18.2,1.9
199112,18.3,2.0
199212,20.6,4.3
199312,18.6,2.3
199412,23.2,6.9
199512,13,-3.3
199612,20.2,3.9
199712,23.5,7.2
199812,21.2,4.9
199912,19.4,3.1
200012,8.2,-8.1
200112,25.6,9.3
200212,18.9,2.6
200312,21.8,5.5
200412,15.9,-0.4
200512,17.9,1.6
200612,25.3,9.0
200712,17.6,1.3
200812,13.1,-3.2
200912,17,0.7
201012,17,0.7
201112,23.5,7.2
201212,24.3,8.0
201312,12.2,-4.1
201412,22.1,5.8
201512,29.9,13.6
