Arizona, Minimum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,48.6,2.3
189610,50.1,3.8
189710,46.8,0.5
189810,44.8,-1.5
189910,45.9,-0.4
190010,47.3,1.0
190110,47.5,1.2
190210,47.9,1.6
190310,44.9,-1.4
190410,45.6,-0.7
190510,45.2,-1.1
190610,43.8,-2.5
190710,49.4,3.1
190810,41.2,-5.1
190910,43.6,-2.7
191010,46.2,-0.1
191110,45,-1.3
191210,45.3,-1.0
191310,43,-3.3
191410,47.5,1.2
191510,44.2,-2.1
191610,44.4,-1.9
191710,45.6,-0.7
191810,48.2,1.9
191910,43.1,-3.2
192010,42.9,-3.4
192110,48.8,2.5
192210,45.6,-0.7
192310,42.1,-4.2
192410,42.6,-3.7
192510,46.3,0.0
192610,47.8,1.5
192710,45.9,-0.4
192810,47.5,1.2
192910,47.1,0.8
193010,43,-3.3
193110,47,0.7
193210,45.6,-0.7
193310,50.4,4.1
193410,46.7,0.4
193510,45.2,-1.1
193610,46.5,0.2
193710,47.4,1.1
193810,45.6,-0.7
193910,43.8,-2.5
194010,48.1,1.8
194110,44.9,-1.4
194210,46.7,0.4
194310,46.5,0.2
194410,48.5,2.2
194510,48.8,2.5
194610,42.7,-3.6
194710,46.5,0.2
194810,47.8,1.5
194910,43.8,-2.5
195010,49.5,3.2
195110,46.3,0.0
195210,47.6,1.3
195310,44.9,-1.4
195410,47.6,1.3
195510,48.2,1.9
195610,45.1,-1.2
195710,47.6,1.3
195810,49.3,3.0
195910,46.2,-0.1
196010,46.3,0.0
196110,44.2,-2.1
196210,47.3,1.0
196310,50.1,3.8
196410,48.9,2.6
196510,46.4,0.1
196610,45.2,-1.1
196710,46.4,0.1
196810,45.8,-0.5
196910,43.7,-2.6
197010,42.3,-4.0
197110,43.3,-3.0
197210,48.9,2.6
197310,44.4,-1.9
197410,49.1,2.8
197510,44.1,-2.2
197610,44.6,-1.7
197710,49.4,3.1
197810,50,3.7
197910,47.4,1.1
198010,45.3,-1.0
198110,45.7,-0.6
198210,42.4,-3.9
198310,49.1,2.8
198410,44.1,-2.2
198510,47.5,1.2
198610,44.7,-1.6
198710,50.6,4.3
198810,51.3,5.0
198910,46.4,0.1
199010,46.5,0.2
199110,48.9,2.6
199210,48.8,2.5
199310,47.1,0.8
199410,45.2,-1.1
199510,46.2,-0.1
199610,46.3,0.0
199710,45.3,-1.0
199810,45.9,-0.4
199910,47.2,0.9
200010,47.9,1.6
200110,49.5,3.2
200210,46.2,-0.1
200310,52.3,6.0
200410,46.9,0.6
200510,48.6,2.3
200610,46.5,0.2
200710,47.2,0.9
200810,46.9,0.6
200910,44.8,-1.5
201010,49.3,3.0
201110,47.6,1.3
201210,48.1,1.8
201310,43.6,-2.7
201410,50.4,4.1
201510,51.9,5.6
