Michigan, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,4.2,-6.1
189601,12.3,2.0
189701,10.1,-0.2
189801,13.2,2.9
189901,7.1,-3.2
190001,14.3,4.0
190101,10.1,-0.2
190201,10.7,0.4
190301,10.2,-0.1
190401,1.8,-8.5
190501,5.7,-4.6
190601,18.1,7.8
190701,9.3,-1.0
190801,11.9,1.6
190901,12.6,2.3
191001,10.5,0.2
191101,10.8,0.5
191201,-4,-14.3
191301,13.2,2.9
191401,15.4,5.1
191501,8.4,-1.9
191601,13.2,2.9
191701,6.1,-4.2
191801,-1.8,-12.1
191901,16.8,6.5
192001,.6,-9.7
192101,16.5,6.2
192201,7.1,-3.2
192301,11.1,0.8
192401,4.6,-5.7
192501,6.2,-4.1
192601,11.1,0.8
192701,8,-2.3
192801,12.6,2.3
192901,3.2,-7.1
193001,6.7,-3.6
193101,15.3,5.0
193201,23,12.7
193301,18.1,7.8
193401,16.6,6.3
193501,9.9,-0.4
193601,8.5,-1.8
193701,11,0.7
193801,9.2,-1.1
193901,13.6,3.3
194001,7.3,-3.0
194101,13.2,2.9
194201,12.3,2.0
194301,6.9,-3.4
194401,18.3,8.0
194501,5.2,-5.1
194601,13.3,3.0
194701,13.6,3.3
194801,3.7,-6.6
194901,16.1,5.8
195001,12.4,2.1
195101,11.2,0.9
195201,13.7,3.4
195301,16,5.7
195401,9.6,-0.7
195501,12.1,1.8
195601,12.1,1.8
195701,5.7,-4.6
195801,13,2.7
195901,4.8,-5.5
196001,15,4.7
196101,7.5,-2.8
196201,7.1,-3.2
196301,2.5,-7.8
196401,15.5,5.2
196501,8.9,-1.4
196601,5.8,-4.5
196701,14.5,4.2
196801,9,-1.3
196901,12.2,1.9
197001,4.7,-5.6
197101,6.6,-3.7
197201,7.2,-3.1
197301,15,4.7
197401,12.3,2.0
197501,14.6,4.3
197601,6.7,-3.6
197701,.6,-9.7
197801,7.4,-2.9
197901,5.2,-5.1
198001,11.9,1.6
198101,6.6,-3.7
198201,1.8,-8.5
198301,15.8,5.5
198401,4.8,-5.5
198501,8.5,-1.8
198601,10.7,0.4
198701,15.4,5.1
198801,8.9,-1.4
198901,17.3,7.0
199001,19.9,9.6
199101,9.5,-0.8
199201,16.5,6.2
199301,13.8,3.5
199401,.5,-9.8
199501,16.6,6.3
199601,7.3,-3.0
199701,9.6,-0.7
199801,18.7,8.4
199901,9.8,-0.5
200001,10.6,0.3
200101,16.4,6.1
200201,20.6,10.3
200301,9.5,-0.8
200401,6.7,-3.6
200501,10,-0.3
200601,23.9,13.6
200701,17.2,6.9
200801,15.7,5.4
200901,3.5,-6.8
201001,15.1,4.8
201101,9.6,-0.7
201201,17.4,7.1
201301,15.3,5.0
201401,4.2,-6.1
201501,8.5,-1.8
201601,15.7,5.4
