Washington, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,39.2,-0.9
189605,37.9,-2.2
189705,42.9,2.8
189805,39.4,-0.7
189905,37.1,-3.0
190005,41,0.9
190105,41,0.9
190205,41.9,1.8
190305,39,-1.1
190405,38.2,-1.9
190505,39.4,-0.7
190605,40.6,0.5
190705,40.4,0.3
190805,38.3,-1.8
190905,37.6,-2.5
191005,40.7,0.6
191105,37.8,-2.3
191205,40.9,0.8
191305,39.8,-0.3
191405,40.7,0.6
191505,41.6,1.5
191605,37.2,-2.9
191705,39.4,-0.7
191805,37.5,-2.6
191905,38.4,-1.7
192005,35.7,-4.4
192105,38.9,-1.2
192205,37.7,-2.4
192305,40.1,0.0
192405,41.2,1.1
192505,41.8,1.7
192605,39.9,-0.2
192705,38.2,-1.9
192805,41.3,1.2
192905,39,-1.1
193005,39,-1.1
193105,41.5,1.4
193205,39.4,-0.7
193305,37.7,-2.4
193405,42.1,2.0
193505,37.8,-2.3
193605,43.3,3.2
193705,39.4,-0.7
193805,39.3,-0.8
193905,40.3,0.2
194005,42,1.9
194105,41.3,1.2
194205,40.3,0.2
194305,37.9,-2.2
194405,40,-0.1
194505,41.5,1.4
194605,41,0.9
194705,42.8,2.7
194805,40.6,0.5
194905,42,1.9
195005,37.3,-2.8
195105,39.8,-0.3
195205,40.1,0.0
195305,39,-1.1
195405,39.5,-0.6
195505,37.2,-2.9
195605,42,1.9
195705,44.7,4.6
195805,44.5,4.4
195905,38,-2.1
196005,39.2,-0.9
196105,40.7,0.6
196205,39.1,-1.0
196305,39.6,-0.5
196405,37.8,-2.3
196505,38,-2.1
196605,39.2,-0.9
196705,39.5,-0.6
196805,39.9,-0.2
196905,41.7,1.6
197005,38.8,-1.3
197105,40.8,0.7
197205,41.6,1.5
197305,40,-0.1
197405,38.1,-2.0
197505,39,-1.1
197605,38.9,-1.2
197705,38.4,-1.7
197805,39,-1.1
197905,41,0.9
198005,41.9,1.8
198105,41,0.9
198205,38.4,-1.7
198305,41.3,1.2
198405,38,-2.1
198505,40.8,0.7
198605,41.2,1.1
198705,42.2,2.1
198805,40.3,0.2
198905,40.4,0.3
199005,40.6,0.5
199105,40.4,0.3
199205,42.3,2.2
199305,45.4,5.3
199405,42.5,2.4
199505,42.5,2.4
199605,38.4,-1.7
199705,43,2.9
199805,43,2.9
199905,37.1,-3.0
200005,40.6,0.5
200105,40.2,0.1
200205,38.9,-1.2
200305,40.2,0.1
200405,41.9,1.8
200505,44.2,4.1
200605,40.8,0.7
200705,40.2,0.1
200805,41.9,1.8
200905,39.8,-0.3
201005,38.4,-1.7
201105,38.3,-1.8
201205,39.4,-0.7
201305,41.9,1.8
201405,42.4,2.3
201505,44.5,4.4
